region_bld,region_nuts,year,urt,value
C-EEU-BGR,C-EEU-BGR-BG311,2020,rur,0.22704223411527238
C-EEU-BGR,C-EEU-BGR-BG311,2020,urb,0.7729577658847275
C-EEU-BGR,C-EEU-BGR-BG311,2025,rur,0.20834752324768183
C-EEU-BGR,C-EEU-BGR-BG311,2025,urb,0.7916524767523181
C-EEU-BGR,C-EEU-BGR-BG311,2030,rur,0.19196027977380073
C-EEU-BGR,C-EEU-BGR-BG311,2030,urb,0.8080397202261993
C-EEU-BGR,C-EEU-BGR-BG311,2035,rur,0.17752024122106594
C-EEU-BGR,C-EEU-BGR-BG311,2035,urb,0.8224797587789341
C-EEU-BGR,C-EEU-BGR-BG311,2040,rur,0.16474809328641943
C-EEU-BGR,C-EEU-BGR-BG311,2040,urb,0.8352519067135806
C-EEU-BGR,C-EEU-BGR-BG311,2045,rur,0.15338659767159823
C-EEU-BGR,C-EEU-BGR-BG311,2045,urb,0.8466134023284018
C-EEU-BGR,C-EEU-BGR-BG311,2050,rur,0.14322867128948502
C-EEU-BGR,C-EEU-BGR-BG311,2050,urb,0.8567713287105151
C-EEU-BGR,C-EEU-BGR-BG311,2055,rur,0.13411670061466077
C-EEU-BGR,C-EEU-BGR-BG311,2055,urb,0.8658832993853391
C-EEU-BGR,C-EEU-BGR-BG311,2060,rur,0.12589423004934347
C-EEU-BGR,C-EEU-BGR-BG311,2060,urb,0.8741057699506565
C-EEU-BGR,C-EEU-BGR-BG311,2065,rur,0.11845350800392751
C-EEU-BGR,C-EEU-BGR-BG311,2065,urb,0.8815464919960725
C-EEU-BGR,C-EEU-BGR-BG311,2070,rur,0.11169696818124207
C-EEU-BGR,C-EEU-BGR-BG311,2070,urb,0.888303031818758
C-EEU-BGR,C-EEU-BGR-BG311,2075,rur,0.10553709482390557
C-EEU-BGR,C-EEU-BGR-BG311,2075,urb,0.8944629051760943
C-EEU-BGR,C-EEU-BGR-BG311,2080,rur,0.09989631146369653
C-EEU-BGR,C-EEU-BGR-BG311,2080,urb,0.9001036885363035
C-EEU-BGR,C-EEU-BGR-BG311,2085,rur,0.09472592686551294
C-EEU-BGR,C-EEU-BGR-BG311,2085,urb,0.905274073134487
C-EEU-BGR,C-EEU-BGR-BG311,2090,rur,0.08996795022793977
C-EEU-BGR,C-EEU-BGR-BG311,2090,urb,0.9100320497720603
C-EEU-BGR,C-EEU-BGR-BG311,2095,rur,0.08557410599191616
C-EEU-BGR,C-EEU-BGR-BG311,2095,urb,0.9144258940080839
C-EEU-BGR,C-EEU-BGR-BG311,2100,rur,0.08151528458090393
C-EEU-BGR,C-EEU-BGR-BG311,2100,urb,0.918484715419096
C-EEU-BGR,C-EEU-BGR-BG312,2020,rur,0.2270422341152725
C-EEU-BGR,C-EEU-BGR-BG312,2020,urb,0.7729577658847275
C-EEU-BGR,C-EEU-BGR-BG312,2025,rur,0.2083475232476826
C-EEU-BGR,C-EEU-BGR-BG312,2025,urb,0.7916524767523174
C-EEU-BGR,C-EEU-BGR-BG312,2030,rur,0.19196027977380148
C-EEU-BGR,C-EEU-BGR-BG312,2030,urb,0.8080397202261985
C-EEU-BGR,C-EEU-BGR-BG312,2035,rur,0.17752024122106633
C-EEU-BGR,C-EEU-BGR-BG312,2035,urb,0.8224797587789336
C-EEU-BGR,C-EEU-BGR-BG312,2040,rur,0.16474809328641904
C-EEU-BGR,C-EEU-BGR-BG312,2040,urb,0.835251906713581
C-EEU-BGR,C-EEU-BGR-BG312,2045,rur,0.15338659767159937
C-EEU-BGR,C-EEU-BGR-BG312,2045,urb,0.8466134023284007
C-EEU-BGR,C-EEU-BGR-BG312,2050,rur,0.14322867128948583
C-EEU-BGR,C-EEU-BGR-BG312,2050,urb,0.8567713287105141
C-EEU-BGR,C-EEU-BGR-BG312,2055,rur,0.13411670061466172
C-EEU-BGR,C-EEU-BGR-BG312,2055,urb,0.8658832993853383
C-EEU-BGR,C-EEU-BGR-BG312,2060,rur,0.12589423004934341
C-EEU-BGR,C-EEU-BGR-BG312,2060,urb,0.8741057699506567
C-EEU-BGR,C-EEU-BGR-BG312,2065,rur,0.11845350800392879
C-EEU-BGR,C-EEU-BGR-BG312,2065,urb,0.8815464919960712
C-EEU-BGR,C-EEU-BGR-BG312,2070,rur,0.11169696818124251
C-EEU-BGR,C-EEU-BGR-BG312,2070,urb,0.8883030318187575
C-EEU-BGR,C-EEU-BGR-BG312,2075,rur,0.10553709482390668
C-EEU-BGR,C-EEU-BGR-BG312,2075,urb,0.8944629051760934
C-EEU-BGR,C-EEU-BGR-BG312,2080,rur,0.09989631146369835
C-EEU-BGR,C-EEU-BGR-BG312,2080,urb,0.9001036885363016
C-EEU-BGR,C-EEU-BGR-BG312,2085,rur,0.09472592686551186
C-EEU-BGR,C-EEU-BGR-BG312,2085,urb,0.9052740731344882
C-EEU-BGR,C-EEU-BGR-BG312,2090,rur,0.08996795022794069
C-EEU-BGR,C-EEU-BGR-BG312,2090,urb,0.9100320497720593
C-EEU-BGR,C-EEU-BGR-BG312,2095,rur,0.08557410599191695
C-EEU-BGR,C-EEU-BGR-BG312,2095,urb,0.914425894008083
C-EEU-BGR,C-EEU-BGR-BG312,2100,rur,0.08151528458090512
C-EEU-BGR,C-EEU-BGR-BG312,2100,urb,0.9184847154190949
C-EEU-BGR,C-EEU-BGR-BG313,2020,rur,0.22704223411527208
C-EEU-BGR,C-EEU-BGR-BG313,2020,urb,0.7729577658847279
C-EEU-BGR,C-EEU-BGR-BG313,2025,rur,0.20834752324768263
C-EEU-BGR,C-EEU-BGR-BG313,2025,urb,0.7916524767523174
C-EEU-BGR,C-EEU-BGR-BG313,2030,rur,0.19196027977380103
C-EEU-BGR,C-EEU-BGR-BG313,2030,urb,0.808039720226199
C-EEU-BGR,C-EEU-BGR-BG313,2035,rur,0.17752024122106602
C-EEU-BGR,C-EEU-BGR-BG313,2035,urb,0.822479758778934
C-EEU-BGR,C-EEU-BGR-BG313,2040,rur,0.16474809328641932
C-EEU-BGR,C-EEU-BGR-BG313,2040,urb,0.8352519067135806
C-EEU-BGR,C-EEU-BGR-BG313,2045,rur,0.15338659767159912
C-EEU-BGR,C-EEU-BGR-BG313,2045,urb,0.8466134023284009
C-EEU-BGR,C-EEU-BGR-BG313,2050,rur,0.14322867128948633
C-EEU-BGR,C-EEU-BGR-BG313,2050,urb,0.8567713287105136
C-EEU-BGR,C-EEU-BGR-BG313,2055,rur,0.13411670061466144
C-EEU-BGR,C-EEU-BGR-BG313,2055,urb,0.8658832993853386
C-EEU-BGR,C-EEU-BGR-BG313,2060,rur,0.12589423004934244
C-EEU-BGR,C-EEU-BGR-BG313,2060,urb,0.8741057699506576
C-EEU-BGR,C-EEU-BGR-BG313,2065,rur,0.11845350800392837
C-EEU-BGR,C-EEU-BGR-BG313,2065,urb,0.8815464919960716
C-EEU-BGR,C-EEU-BGR-BG313,2070,rur,0.11169696818124263
C-EEU-BGR,C-EEU-BGR-BG313,2070,urb,0.8883030318187574
C-EEU-BGR,C-EEU-BGR-BG313,2075,rur,0.10553709482390651
C-EEU-BGR,C-EEU-BGR-BG313,2075,urb,0.8944629051760934
C-EEU-BGR,C-EEU-BGR-BG313,2080,rur,0.09989631146369754
C-EEU-BGR,C-EEU-BGR-BG313,2080,urb,0.9001036885363025
C-EEU-BGR,C-EEU-BGR-BG313,2085,rur,0.09472592686551244
C-EEU-BGR,C-EEU-BGR-BG313,2085,urb,0.9052740731344875
C-EEU-BGR,C-EEU-BGR-BG313,2090,rur,0.0899679502279414
C-EEU-BGR,C-EEU-BGR-BG313,2090,urb,0.9100320497720585
C-EEU-BGR,C-EEU-BGR-BG313,2095,rur,0.08557410599191696
C-EEU-BGR,C-EEU-BGR-BG313,2095,urb,0.914425894008083
C-EEU-BGR,C-EEU-BGR-BG313,2100,rur,0.08151528458090582
C-EEU-BGR,C-EEU-BGR-BG313,2100,urb,0.9184847154190942
C-EEU-BGR,C-EEU-BGR-BG314,2020,rur,0.22704223411527247
C-EEU-BGR,C-EEU-BGR-BG314,2020,urb,0.7729577658847275
C-EEU-BGR,C-EEU-BGR-BG314,2025,rur,0.20834752324768238
C-EEU-BGR,C-EEU-BGR-BG314,2025,urb,0.7916524767523176
C-EEU-BGR,C-EEU-BGR-BG314,2030,rur,0.191960279773801
C-EEU-BGR,C-EEU-BGR-BG314,2030,urb,0.808039720226199
C-EEU-BGR,C-EEU-BGR-BG314,2035,rur,0.17752024122106622
C-EEU-BGR,C-EEU-BGR-BG314,2035,urb,0.8224797587789338
C-EEU-BGR,C-EEU-BGR-BG314,2040,rur,0.1647480932864195
C-EEU-BGR,C-EEU-BGR-BG314,2040,urb,0.8352519067135805
C-EEU-BGR,C-EEU-BGR-BG314,2045,rur,0.1533865976715996
C-EEU-BGR,C-EEU-BGR-BG314,2045,urb,0.8466134023284004
C-EEU-BGR,C-EEU-BGR-BG314,2050,rur,0.14322867128948671
C-EEU-BGR,C-EEU-BGR-BG314,2050,urb,0.8567713287105132
C-EEU-BGR,C-EEU-BGR-BG314,2055,rur,0.13411670061466174
C-EEU-BGR,C-EEU-BGR-BG314,2055,urb,0.8658832993853381
C-EEU-BGR,C-EEU-BGR-BG314,2060,rur,0.12589423004934294
C-EEU-BGR,C-EEU-BGR-BG314,2060,urb,0.874105769950657
C-EEU-BGR,C-EEU-BGR-BG314,2065,rur,0.11845350800392915
C-EEU-BGR,C-EEU-BGR-BG314,2065,urb,0.8815464919960709
C-EEU-BGR,C-EEU-BGR-BG314,2070,rur,0.11169696818124314
C-EEU-BGR,C-EEU-BGR-BG314,2070,urb,0.8883030318187568
C-EEU-BGR,C-EEU-BGR-BG314,2075,rur,0.10553709482390737
C-EEU-BGR,C-EEU-BGR-BG314,2075,urb,0.8944629051760926
C-EEU-BGR,C-EEU-BGR-BG314,2080,rur,0.09989631146369778
C-EEU-BGR,C-EEU-BGR-BG314,2080,urb,0.9001036885363023
C-EEU-BGR,C-EEU-BGR-BG314,2085,rur,0.09472592686551215
C-EEU-BGR,C-EEU-BGR-BG314,2085,urb,0.9052740731344879
C-EEU-BGR,C-EEU-BGR-BG314,2090,rur,0.08996795022794184
C-EEU-BGR,C-EEU-BGR-BG314,2090,urb,0.9100320497720581
C-EEU-BGR,C-EEU-BGR-BG314,2095,rur,0.08557410599191652
C-EEU-BGR,C-EEU-BGR-BG314,2095,urb,0.9144258940080834
C-EEU-BGR,C-EEU-BGR-BG314,2100,rur,0.08151528458090541
C-EEU-BGR,C-EEU-BGR-BG314,2100,urb,0.9184847154190946
C-EEU-BGR,C-EEU-BGR-BG315,2020,rur,0.22704223411527225
C-EEU-BGR,C-EEU-BGR-BG315,2020,urb,0.7729577658847278
C-EEU-BGR,C-EEU-BGR-BG315,2025,rur,0.20834752324768224
C-EEU-BGR,C-EEU-BGR-BG315,2025,urb,0.7916524767523178
C-EEU-BGR,C-EEU-BGR-BG315,2030,rur,0.19196027977380095
C-EEU-BGR,C-EEU-BGR-BG315,2030,urb,0.8080397202261991
C-EEU-BGR,C-EEU-BGR-BG315,2035,rur,0.17752024122106644
C-EEU-BGR,C-EEU-BGR-BG315,2035,urb,0.8224797587789336
C-EEU-BGR,C-EEU-BGR-BG315,2040,rur,0.16474809328641957
C-EEU-BGR,C-EEU-BGR-BG315,2040,urb,0.8352519067135805
C-EEU-BGR,C-EEU-BGR-BG315,2045,rur,0.15338659767159873
C-EEU-BGR,C-EEU-BGR-BG315,2045,urb,0.8466134023284012
C-EEU-BGR,C-EEU-BGR-BG315,2050,rur,0.14322867128948683
C-EEU-BGR,C-EEU-BGR-BG315,2050,urb,0.8567713287105132
C-EEU-BGR,C-EEU-BGR-BG315,2055,rur,0.1341167006146613
C-EEU-BGR,C-EEU-BGR-BG315,2055,urb,0.8658832993853388
C-EEU-BGR,C-EEU-BGR-BG315,2060,rur,0.1258942300493433
C-EEU-BGR,C-EEU-BGR-BG315,2060,urb,0.8741057699506567
C-EEU-BGR,C-EEU-BGR-BG315,2065,rur,0.1184535080039291
C-EEU-BGR,C-EEU-BGR-BG315,2065,urb,0.8815464919960708
C-EEU-BGR,C-EEU-BGR-BG315,2070,rur,0.11169696818124195
C-EEU-BGR,C-EEU-BGR-BG315,2070,urb,0.8883030318187581
C-EEU-BGR,C-EEU-BGR-BG315,2075,rur,0.10553709482390686
C-EEU-BGR,C-EEU-BGR-BG315,2075,urb,0.8944629051760931
C-EEU-BGR,C-EEU-BGR-BG315,2080,rur,0.09989631146369805
C-EEU-BGR,C-EEU-BGR-BG315,2080,urb,0.900103688536302
C-EEU-BGR,C-EEU-BGR-BG315,2085,rur,0.09472592686551186
C-EEU-BGR,C-EEU-BGR-BG315,2085,urb,0.9052740731344882
C-EEU-BGR,C-EEU-BGR-BG315,2090,rur,0.08996795022794112
C-EEU-BGR,C-EEU-BGR-BG315,2090,urb,0.9100320497720589
C-EEU-BGR,C-EEU-BGR-BG315,2095,rur,0.08557410599191688
C-EEU-BGR,C-EEU-BGR-BG315,2095,urb,0.914425894008083
C-EEU-BGR,C-EEU-BGR-BG315,2100,rur,0.08151528458090486
C-EEU-BGR,C-EEU-BGR-BG315,2100,urb,0.9184847154190952
C-EEU-BGR,C-EEU-BGR-BG321,2020,rur,0.2270422341152725
C-EEU-BGR,C-EEU-BGR-BG321,2020,urb,0.7729577658847275
C-EEU-BGR,C-EEU-BGR-BG321,2025,rur,0.20834752324768246
C-EEU-BGR,C-EEU-BGR-BG321,2025,urb,0.7916524767523175
C-EEU-BGR,C-EEU-BGR-BG321,2030,rur,0.19196027977380117
C-EEU-BGR,C-EEU-BGR-BG321,2030,urb,0.8080397202261989
C-EEU-BGR,C-EEU-BGR-BG321,2035,rur,0.17752024122106602
C-EEU-BGR,C-EEU-BGR-BG321,2035,urb,0.8224797587789341
C-EEU-BGR,C-EEU-BGR-BG321,2040,rur,0.16474809328641934
C-EEU-BGR,C-EEU-BGR-BG321,2040,urb,0.8352519067135806
C-EEU-BGR,C-EEU-BGR-BG321,2045,rur,0.15338659767159935
C-EEU-BGR,C-EEU-BGR-BG321,2045,urb,0.8466134023284007
C-EEU-BGR,C-EEU-BGR-BG321,2050,rur,0.1432286712894867
C-EEU-BGR,C-EEU-BGR-BG321,2050,urb,0.8567713287105133
C-EEU-BGR,C-EEU-BGR-BG321,2055,rur,0.13411670061466174
