region_gea,fuel_heat,urt,value
AFR,biomass_solid,rur,0.425186006
AFR,biomass_solid,urb,0.425186006
AFR,biomass_solid,sub,0.425186006
AFR,coal,rur,0.236079161
AFR,coal,urb,0.236079161
AFR,coal,sub,0.236079161
AFR,electricity,rur,0.143612585
AFR,electricity,urb,0.143612585
AFR,electricity,sub,0.143612585
AFR,gas,rur,9.46e-05
AFR,gas,urb,9.46e-05
AFR,gas,sub,9.46e-05
AFR,oil,rur,0.19502765
AFR,oil,urb,0.19502765
AFR,oil,sub,0.19502765
CPA,biomass_solid,rur,0.24
CPA,biomass_solid,urb,0.0
CPA,biomass_solid,sub,0.12
CPA,coal,rur,0.53
CPA,coal,urb,0.388806046
CPA,coal,sub,0.459403023
CPA,electricity,rur,0.23
CPA,electricity,urb,0.611193954
CPA,electricity,sub,0.420596977
CPA,gas,rur,0.0
CPA,gas,urb,0.0
CPA,gas,sub,0.0
CPA,oil,rur,0.0
CPA,oil,urb,0.0
CPA,oil,sub,0.0
EEU,biomass_solid,rur,0.386577172
EEU,biomass_solid,urb,0.0
EEU,biomass_solid,sub,0.193288586
EEU,coal,rur,0.231720524
EEU,coal,urb,0.377750084
EEU,coal,sub,0.304735304
EEU,electricity,rur,0.083846695
EEU,electricity,urb,0.136686623
EEU,electricity,sub,0.110266659
EEU,gas,rur,0.264410865
EEU,gas,urb,0.431041776
EEU,gas,sub,0.3477263204999999
EEU,oil,rur,0.033444743
EEU,oil,urb,0.054521518
EEU,oil,sub,0.0439831304999999
FSU,biomass_solid,rur,0.13881736
FSU,biomass_solid,urb,0.0
FSU,biomass_solid,sub,0.06940868
FSU,coal,rur,0.075822197
FSU,coal,urb,0.08804427
FSU,coal,sub,0.0819332335
FSU,electricity,rur,0.081087313
FSU,electricity,urb,0.09415809
FSU,electricity,sub,0.0876227015
FSU,gas,rur,0.56659192
FSU,gas,urb,0.657923062
FSU,gas,sub,0.612257491
FSU,oil,rur,0.13768121
FSU,oil,urb,0.159874577
FSU,oil,sub,0.1487778934999999
LAC,biomass_solid,rur,0.078653406
LAC,biomass_solid,urb,0.0
LAC,biomass_solid,sub,0.039326703
LAC,coal,rur,0.004777782
LAC,coal,urb,0.005185651
LAC,coal,sub,0.0049817165
LAC,electricity,rur,0.179963009
LAC,electricity,urb,0.195326069
LAC,electricity,sub,0.187644539
LAC,gas,rur,0.155113755
LAC,gas,urb,0.168355488
LAC,gas,sub,0.1617346215
LAC,oil,rur,0.581492049
LAC,oil,urb,0.631132792
LAC,oil,sub,0.6063124205
MEA,biomass_solid,rur,0.011920334
MEA,biomass_solid,urb,0.0
MEA,biomass_solid,sub,0.005960167
MEA,coal,rur,0.000887375
MEA,coal,urb,0.000898081
MEA,coal,sub,0.000892728
MEA,electricity,rur,0.16499435
MEA,electricity,urb,0.166984866
MEA,electricity,sub,0.165989608
MEA,gas,rur,0.338736076
MEA,gas,urb,0.342822636
MEA,gas,sub,0.340779356
MEA,oil,rur,0.483461865
MEA,oil,urb,0.489294417
MEA,oil,sub,0.486378141
NAM,biomass_solid,rur,0.145371728
NAM,biomass_solid,urb,0.0
NAM,biomass_solid,sub,0.072685864
NAM,coal,rur,0.0
NAM,coal,urb,0.0
NAM,coal,sub,0.0
NAM,electricity,rur,0.131356843
NAM,electricity,urb,0.153700559
NAM,electricity,sub,0.1425287009999999
NAM,gas,rur,0.583580785
NAM,gas,urb,0.682847507
NAM,gas,sub,0.633214146
NAM,oil,rur,0.139690644
NAM,oil,urb,0.163451934
NAM,oil,sub,0.151571289
PAO,biomass_solid,rur,0.075698925
PAO,biomass_solid,urb,0.0
PAO,biomass_solid,sub,0.0378494625
PAO,coal,rur,0.030610944
PAO,coal,urb,0.033117936
PAO,coal,sub,0.03186444
PAO,electricity,rur,0.132686242
PAO,electricity,urb,0.143553053
PAO,electricity,sub,0.1381196475
PAO,gas,rur,0.369369036
PAO,gas,urb,0.399619827
PAO,gas,sub,0.3844944314999999
PAO,oil,rur,0.391634853
PAO,oil,urb,0.423709183
PAO,oil,sub,0.4076720179999999
PAS,biomass_solid,rur,0.88372093
PAS,biomass_solid,urb,0.88372093
PAS,biomass_solid,sub,0.88372093
PAS,coal,rur,0.0
PAS,coal,urb,0.0
PAS,coal,sub,0.0
PAS,electricity,rur,0.11627907
PAS,electricity,urb,0.11627907
PAS,electricity,sub,0.11627907
PAS,gas,rur,0.0
PAS,gas,urb,0.0
PAS,gas,sub,0.0
PAS,oil,rur,0.0
PAS,oil,urb,0.0
PAS,oil,sub,0.0
SAS,biomass_solid,rur,0.88372093
SAS,biomass_solid,urb,0.88372093
SAS,biomass_solid,sub,0.88372093
SAS,coal,rur,0.0
SAS,coal,urb,0.0
SAS,coal,sub,0.0
SAS,electricity,rur,0.11627907
SAS,electricity,urb,0.11627907
SAS,electricity,sub,0.11627907
SAS,gas,rur,0.0
SAS,gas,urb,0.0
SAS,gas,sub,0.0
SAS,oil,rur,0.0
SAS,oil,urb,0.0
SAS,oil,sub,0.0
WEU,biomass_solid,rur,0.229082599
WEU,biomass_solid,urb,0.0
WEU,biomass_solid,sub,0.1145412995
WEU,coal,rur,0.041143476
WEU,coal,urb,0.0533695
WEU,coal,sub,0.047256488
WEU,electricity,rur,0.123912749
WEU,electricity,urb,0.160734144
WEU,electricity,sub,0.1423234465
WEU,gas,rur,0.429793136
WEU,gas,urb,0.557508671
WEU,gas,sub,0.4936509035
WEU,oil,rur,0.17606804
WEU,oil,urb,0.228387684
WEU,oil,sub,0.202227862
