region_gea,fuel_heat,value
AFR,biomass_solid,0.42518600599999995
AFR,coal,0.236079161
AFR,electricity,0.143612585
AFR,gas,9.459999999999998e-05
AFR,oil,0.19502765
CPA,biomass_solid,0.12
CPA,coal,0.45940302299999997
CPA,electricity,0.420596977
CPA,gas,0.0
CPA,oil,0.0
EEU,biomass_solid,0.193288586
EEU,coal,0.304735304
EEU,electricity,0.110266659
EEU,gas,0.3477263204999999
EEU,oil,0.04398313049999997
FSU,biomass_solid,0.06940868
FSU,coal,0.0819332335
FSU,electricity,0.0876227015
FSU,gas,0.6122574909999999
FSU,oil,0.14877789349999995
LAC,biomass_solid,0.039326703
LAC,coal,0.0049817165
LAC,electricity,0.187644539
LAC,gas,0.16173462149999998
LAC,oil,0.6063124205
MEA,biomass_solid,0.005960167
MEA,coal,0.0008927280000000001
MEA,electricity,0.165989608
MEA,gas,0.34077935600000003
MEA,oil,0.48637814100000004
NAM,biomass_solid,0.072685864
NAM,coal,0.0
NAM,electricity,0.14252870099999995
NAM,gas,0.6332141459999999
NAM,oil,0.151571289
PAO,biomass_solid,0.0378494625
PAO,coal,0.03186444
PAO,electricity,0.13811964750000003
PAO,gas,0.3844944315
PAO,oil,0.40767201799999997
PAS,biomass_solid,0.88372093
PAS,coal,0.0
PAS,electricity,0.11627907
PAS,gas,0.0
PAS,oil,0.0
SAS,biomass_solid,0.88372093
SAS,coal,0.0
SAS,electricity,0.11627907
SAS,gas,0.0
SAS,oil,0.0
WEU,biomass_solid,0.11454129949999999
WEU,coal,0.047256488000000006
WEU,electricity,0.14232344649999998
WEU,gas,0.4936509035
WEU,oil,0.202227862
