region_bld,clim,urt,inc_cl,mat,year,region_nuts,value
C-WEU-AUT,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-AUT-AT111,0.0
C-WEU-AUT,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-AUT-AT111,0.0
C-WEU-AUT,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-AUT-AT112,0.0
C-WEU-AUT,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-AUT-AT112,0.0
C-WEU-AUT,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-AUT-AT113,0.0
C-WEU-AUT,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-AUT-AT113,0.0
C-WEU-AUT,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-AUT-AT121,0.0
C-WEU-AUT,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-AUT-AT121,0.0
C-WEU-AUT,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-AUT-AT122,0.0
C-WEU-AUT,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-AUT-AT122,0.0
C-WEU-AUT,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-AUT-AT123,0.0
C-WEU-AUT,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-AUT-AT123,0.0
C-WEU-AUT,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-AUT-AT124,0.0
C-WEU-AUT,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-AUT-AT124,0.0
C-WEU-AUT,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-AUT-AT125,0.0
C-WEU-AUT,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-AUT-AT125,0.0
C-WEU-AUT,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-AUT-AT126,0.0
C-WEU-AUT,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-AUT-AT126,0.0
C-WEU-AUT,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-AUT-AT127,0.0
C-WEU-AUT,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-AUT-AT127,0.0
C-WEU-AUT,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-AUT-AT130,0.0
C-WEU-AUT,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-AUT-AT130,0.0
C-WEU-AUT,Zone_6A Cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT211,0.0
C-WEU-AUT,Zone_6A Cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT211,0.0
C-WEU-AUT,Zone_7A Very cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT212,0.0
C-WEU-AUT,Zone_7A Very cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT212,0.0
C-WEU-AUT,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-AUT-AT213,0.0
C-WEU-AUT,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-AUT-AT213,0.0
C-WEU-AUT,Zone_6A Cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT221,0.0
C-WEU-AUT,Zone_6A Cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT221,0.0
C-WEU-AUT,Zone_6A Cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT222,0.0
C-WEU-AUT,Zone_6A Cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT222,0.0
C-WEU-AUT,Zone_6A Cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT223,0.0
C-WEU-AUT,Zone_6A Cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT223,0.0
C-WEU-AUT,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-AUT-AT224,0.0
C-WEU-AUT,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-AUT-AT224,0.0
C-WEU-AUT,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-AUT-AT225,0.0
C-WEU-AUT,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-AUT-AT225,0.0
C-WEU-AUT,Zone_6A Cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT226,0.0
C-WEU-AUT,Zone_6A Cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT226,0.0
C-WEU-AUT,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-AUT-AT311,0.0
C-WEU-AUT,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-AUT-AT311,0.0
C-WEU-AUT,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-AUT-AT312,0.0
C-WEU-AUT,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-AUT-AT312,0.0
C-WEU-AUT,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-AUT-AT313,0.0
C-WEU-AUT,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-AUT-AT313,0.0
C-WEU-AUT,Zone_6A Cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT314,0.0
C-WEU-AUT,Zone_6A Cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT314,0.0
C-WEU-AUT,Zone_6A Cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT315,0.0
C-WEU-AUT,Zone_6A Cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT315,0.0
C-WEU-AUT,Zone_7A Very cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT321,0.0
C-WEU-AUT,Zone_7A Very cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT321,0.0
C-WEU-AUT,Zone_7A Very cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT322,0.0
C-WEU-AUT,Zone_7A Very cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT322,0.0
C-WEU-AUT,Zone_6A Cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT323,0.0
C-WEU-AUT,Zone_6A Cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT323,0.0
C-WEU-AUT,Zone_7A Very cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT331,0.0
C-WEU-AUT,Zone_7A Very cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT331,0.0
C-WEU-AUT,Zone_7A Very cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT332,0.0
C-WEU-AUT,Zone_7A Very cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT332,0.0
C-WEU-AUT,Zone_7A Very cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT333,0.0
C-WEU-AUT,Zone_7A Very cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT333,0.0
C-WEU-AUT,Zone_7A Very cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT334,0.0
C-WEU-AUT,Zone_7A Very cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT334,0.0
C-WEU-AUT,Zone_6A Cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT335,0.0
C-WEU-AUT,Zone_6A Cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT335,0.0
C-WEU-AUT,Zone_6A Cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT341,0.0
C-WEU-AUT,Zone_6A Cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT341,0.0
C-WEU-AUT,Zone_6A Cold Humid,rur,q1,sub,2015,C-WEU-AUT-AT342,0.0
C-WEU-AUT,Zone_6A Cold Humid,urb,q1,sub,2015,C-WEU-AUT-AT342,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE100,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE100,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE211,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE211,0.0
