region_bld,clim,urt,inc_cl,year,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2015,0.027842198
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2020,0.035627068
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2025,0.045251471
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2030,0.057109699
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2035,0.073066194
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2040,0.086056438
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2045,0.10466725
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2050,0.121264548
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2055,0.144220689
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2060,0.160786865
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2065,0.189011892
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2070,0.222240826
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2075,0.237105953
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2080,0.258885822
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2085,0.274065191
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2090,0.30322403
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2095,0.309907881
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2100,0.330323133
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2015,0.0764892
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2020,0.121830939
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2025,0.193924561
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2030,0.277710507
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2035,0.362210669
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2040,0.423354551
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2045,0.475715236
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2050,0.501154694
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2055,0.518278927
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2060,0.532873969
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2065,0.538370407
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2070,0.541446686
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2075,0.542664342
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2080,0.543587081
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2085,0.543923353
