region_bld,clim,inc_cl,year,urt,region_nuts,value
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,rur,C-WEU-AUT-AT111,0.11504482
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,urb,C-WEU-AUT-AT111,0.22379194
C-WEU-AUT,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-AUT-AT112,0.18382767
C-WEU-AUT,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-AUT-AT112,0.35759236
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,rur,C-WEU-AUT-AT113,0.11504482
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,urb,C-WEU-AUT-AT113,0.22379194
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,rur,C-WEU-AUT-AT121,0.11504482
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,urb,C-WEU-AUT-AT121,0.22379194
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,rur,C-WEU-AUT-AT122,0.11504482
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,urb,C-WEU-AUT-AT122,0.22379194
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,rur,C-WEU-AUT-AT123,0.11504482
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,urb,C-WEU-AUT-AT123,0.22379194
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,rur,C-WEU-AUT-AT124,0.11504482
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,urb,C-WEU-AUT-AT124,0.22379194
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,rur,C-WEU-AUT-AT125,0.11504482
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,urb,C-WEU-AUT-AT125,0.22379194
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,rur,C-WEU-AUT-AT126,0.11504482
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,urb,C-WEU-AUT-AT126,0.22379194
C-WEU-AUT,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-AUT-AT127,0.18382767
C-WEU-AUT,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-AUT-AT127,0.35759236
C-WEU-AUT,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-AUT-AT130,0.18382767
C-WEU-AUT,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-AUT-AT130,0.35759236
C-WEU-AUT,Zone_6A Cold Humid,q1,2015,rur,C-WEU-AUT-AT211,0.03443409
C-WEU-AUT,Zone_6A Cold Humid,q1,2015,urb,C-WEU-AUT-AT211,0.06698321
C-WEU-AUT,Zone_7A Very cold Humid,q1,2015,rur,C-WEU-AUT-AT212,0.03443409
C-WEU-AUT,Zone_7A Very cold Humid,q1,2015,urb,C-WEU-AUT-AT212,0.06698321
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,rur,C-WEU-AUT-AT213,0.11504482
C-WEU-AUT,Zone_5A Cool Humid,q1,2015,urb,C-WEU-AUT-AT213,0.22379194
C-WEU-AUT,Zone_6A Cold Humid,q1,2015,rur,C-WEU-AUT-AT221,0.03443409
C-WEU-AUT,Zone_6A Cold Humid,q1,2015,urb,C-WEU-AUT-AT221,0.06698321
C-WEU-AUT,Zone_6A Cold Humid,q1,2015,rur,C-WEU-AUT-AT222,0.03443409
C-WEU-AUT,Zone_6A Cold Humid,q1,2015,urb,C-WEU-AUT-AT222,0.06698321
C-WEU-AUT,Zone_6A Cold Humid,q1,2015,rur,C-WEU-AUT-AT223,0.03443409
