region_bld,clim,inc_cl,year,urt,value
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,sub,0.04089764
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,0.05395308000000001
C-EEU-BGR,Zone_4A Mixed Humid,q1,2020,rur,0.03562707
C-EEU-BGR,Zone_4A Mixed Humid,q1,2020,sub,0.058377750000000006
C-EEU-BGR,Zone_4A Mixed Humid,q1,2020,urb,0.08112843
C-EEU-BGR,Zone_4A Mixed Humid,q1,2025,rur,0.04525147
C-EEU-BGR,Zone_4A Mixed Humid,q1,2025,sub,0.07947301
C-EEU-BGR,Zone_4A Mixed Humid,q1,2025,urb,0.11369455
C-EEU-BGR,Zone_4A Mixed Humid,q1,2030,rur,0.0571097
C-EEU-BGR,Zone_4A Mixed Humid,q1,2030,sub,0.10877533000000002
C-EEU-BGR,Zone_4A Mixed Humid,q1,2030,urb,0.16044097
C-EEU-BGR,Zone_4A Mixed Humid,q1,2035,rur,0.07306619
C-EEU-BGR,Zone_4A Mixed Humid,q1,2035,sub,0.14092058
C-EEU-BGR,Zone_4A Mixed Humid,q1,2035,urb,0.20877498
C-EEU-BGR,Zone_4A Mixed Humid,q1,2040,rur,0.08605644
C-EEU-BGR,Zone_4A Mixed Humid,q1,2040,sub,0.17975672
C-EEU-BGR,Zone_4A Mixed Humid,q1,2040,urb,0.27345701
C-EEU-BGR,Zone_4A Mixed Humid,q1,2045,rur,0.10466725
C-EEU-BGR,Zone_4A Mixed Humid,q1,2045,sub,0.20724358
C-EEU-BGR,Zone_4A Mixed Humid,q1,2045,urb,0.30981992
C-EEU-BGR,Zone_4A Mixed Humid,q1,2050,rur,0.12126455
C-EEU-BGR,Zone_4A Mixed Humid,q1,2050,sub,0.24024042000000004
C-EEU-BGR,Zone_4A Mixed Humid,q1,2050,urb,0.3592163
C-EEU-BGR,Zone_4A Mixed Humid,q1,2055,rur,0.14422069
C-EEU-BGR,Zone_4A Mixed Humid,q1,2055,sub,0.26881635000000004
C-EEU-BGR,Zone_4A Mixed Humid,q1,2055,urb,0.39341201000000003
C-EEU-BGR,Zone_4A Mixed Humid,q1,2060,rur,0.16078686000000003
C-EEU-BGR,Zone_4A Mixed Humid,q1,2060,sub,0.29468872
C-EEU-BGR,Zone_4A Mixed Humid,q1,2060,urb,0.42859057
C-EEU-BGR,Zone_4A Mixed Humid,q1,2065,rur,0.18901189
C-EEU-BGR,Zone_4A Mixed Humid,q1,2065,sub,0.32621483
C-EEU-BGR,Zone_4A Mixed Humid,q1,2065,urb,0.46341777
C-EEU-BGR,Zone_4A Mixed Humid,q1,2070,rur,0.22224082999999997
C-EEU-BGR,Zone_4A Mixed Humid,q1,2070,sub,0.35369774
C-EEU-BGR,Zone_4A Mixed Humid,q1,2070,urb,0.4851546400000001
C-EEU-BGR,Zone_4A Mixed Humid,q1,2075,rur,0.23710595
C-EEU-BGR,Zone_4A Mixed Humid,q1,2075,sub,0.36991627
C-EEU-BGR,Zone_4A Mixed Humid,q1,2075,urb,0.50272659
C-EEU-BGR,Zone_4A Mixed Humid,q1,2080,rur,0.25888582
C-EEU-BGR,Zone_4A Mixed Humid,q1,2080,sub,0.38659265
C-EEU-BGR,Zone_4A Mixed Humid,q1,2080,urb,0.51429948
C-EEU-BGR,Zone_4A Mixed Humid,q1,2085,rur,0.27406519
C-EEU-BGR,Zone_4A Mixed Humid,q1,2085,sub,0.39782433999999994
C-EEU-BGR,Zone_4A Mixed Humid,q1,2085,urb,0.52158348
C-EEU-BGR,Zone_4A Mixed Humid,q1,2090,rur,0.30322403
C-EEU-BGR,Zone_4A Mixed Humid,q1,2090,sub,0.4136174
C-EEU-BGR,Zone_4A Mixed Humid,q1,2090,urb,0.5240107700000001
C-EEU-BGR,Zone_4A Mixed Humid,q1,2095,rur,0.30990788
C-EEU-BGR,Zone_4A Mixed Humid,q1,2095,sub,0.41932880000000006
C-EEU-BGR,Zone_4A Mixed Humid,q1,2095,urb,0.52874972
C-EEU-BGR,Zone_4A Mixed Humid,q1,2100,rur,0.33032313
C-EEU-BGR,Zone_4A Mixed Humid,q1,2100,sub,0.43085459
C-EEU-BGR,Zone_4A Mixed Humid,q1,2100,urb,0.53138605
C-EEU-BGR,Zone_4A Mixed Humid,q2,2015,rur,0.0764892
C-EEU-BGR,Zone_4A Mixed Humid,q2,2015,sub,0.14893304
C-EEU-BGR,Zone_4A Mixed Humid,q2,2015,urb,0.22137688
C-EEU-BGR,Zone_4A Mixed Humid,q2,2020,rur,0.12183094
C-EEU-BGR,Zone_4A Mixed Humid,q2,2020,sub,0.24281819000000002
C-EEU-BGR,Zone_4A Mixed Humid,q2,2020,urb,0.36380544
C-EEU-BGR,Zone_4A Mixed Humid,q2,2025,rur,0.19392456
C-EEU-BGR,Zone_4A Mixed Humid,q2,2025,sub,0.32888845
C-EEU-BGR,Zone_4A Mixed Humid,q2,2025,urb,0.46385235
C-EEU-BGR,Zone_4A Mixed Humid,q2,2030,rur,0.27771051
C-EEU-BGR,Zone_4A Mixed Humid,q2,2030,sub,0.39624106000000003
C-EEU-BGR,Zone_4A Mixed Humid,q2,2030,urb,0.51477162
C-EEU-BGR,Zone_4A Mixed Humid,q2,2035,rur,0.36221067
C-EEU-BGR,Zone_4A Mixed Humid,q2,2035,sub,0.44832893
C-EEU-BGR,Zone_4A Mixed Humid,q2,2035,urb,0.53444719
C-EEU-BGR,Zone_4A Mixed Humid,q2,2040,rur,0.42335455
C-EEU-BGR,Zone_4A Mixed Humid,q2,2040,sub,0.48242891
C-EEU-BGR,Zone_4A Mixed Humid,q2,2040,urb,0.54150326
C-EEU-BGR,Zone_4A Mixed Humid,q2,2045,rur,0.47571524
C-EEU-BGR,Zone_4A Mixed Humid,q2,2045,sub,0.50951334
C-EEU-BGR,Zone_4A Mixed Humid,q2,2045,urb,0.54331144
C-EEU-BGR,Zone_4A Mixed Humid,q2,2050,rur,0.50115469
C-EEU-BGR,Zone_4A Mixed Humid,q2,2050,sub,0.52262906
C-EEU-BGR,Zone_4A Mixed Humid,q2,2050,urb,0.54410344
C-EEU-BGR,Zone_4A Mixed Humid,q2,2055,rur,0.51827893
