region_bld,region_nuts,urt,mat,year,arch,value
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2015,mfh,0.4637694335848713
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2015,sfh,0.5362305664151287
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2020,mfh,0.4637694335848713
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2020,sfh,0.5362305664151287
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2025,mfh,0.4637694335848713
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2025,sfh,0.5362305664151287
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2030,mfh,0.4753636694244931
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2030,sfh,0.5246363305755068
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2035,mfh,0.48695790526411487
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2035,sfh,0.5130420947358851
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2040,mfh,0.4985521411037367
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2040,sfh,0.5014478588962633
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2045,mfh,0.5101463769433584
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2045,sfh,0.4898536230566416
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2050,mfh,0.5217406127829802
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2050,sfh,0.47825938721701977
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2055,mfh,0.5217406127829802
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2055,sfh,0.47825938721701977
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2060,mfh,0.5217406127829802
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2060,sfh,0.47825938721701977
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2065,mfh,0.5217406127829802
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2065,sfh,0.47825938721701977
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2070,mfh,0.5217406127829802
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2070,sfh,0.47825938721701977
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2075,mfh,0.5217406127829802
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2075,sfh,0.47825938721701977
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2080,mfh,0.5217406127829802
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2080,sfh,0.47825938721701977
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2085,mfh,0.5217406127829802
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2085,sfh,0.47825938721701977
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2090,mfh,0.5217406127829802
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2090,sfh,0.47825938721701977
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2095,mfh,0.5217406127829802
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2095,sfh,0.47825938721701977
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2100,mfh,0.5217406127829802
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,2100,sfh,0.47825938721701977
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2015,mfh,0.4637694335848713
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2015,sfh,0.5362305664151287
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2020,mfh,0.4637694335848713
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2020,sfh,0.5362305664151287
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2025,mfh,0.4637694335848713
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2025,sfh,0.5362305664151287
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2030,mfh,0.4753636694244931
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2030,sfh,0.5246363305755068
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2035,mfh,0.48695790526411487
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2035,sfh,0.5130420947358851
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2040,mfh,0.4985521411037367
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2040,sfh,0.5014478588962633
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2045,mfh,0.5101463769433584
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2045,sfh,0.4898536230566416
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2050,mfh,0.5217406127829802
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2050,sfh,0.47825938721701977
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2055,mfh,0.5217406127829802
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2055,sfh,0.47825938721701977
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2060,mfh,0.5217406127829802
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,2060,sfh,0.47825938721701977
