region_bld,urt,mat,arch,year,value
C-EEU-BGR,rur,perm,mfh,2015,0.6620600252020152
C-EEU-BGR,rur,perm,mfh,2020,0.6620600252020152
C-EEU-BGR,rur,perm,mfh,2025,0.6667207574414971
C-EEU-BGR,rur,perm,mfh,2030,0.670784121419903
C-EEU-BGR,rur,perm,mfh,2035,0.674469987544523
C-EEU-BGR,rur,perm,mfh,2040,0.677930161840557
C-EEU-BGR,rur,perm,mfh,2045,0.6811718154833538
C-EEU-BGR,rur,perm,mfh,2050,0.6841994066060572
C-EEU-BGR,rur,perm,mfh,2055,0.6869488221416657
C-EEU-BGR,rur,perm,mfh,2060,0.6893163607290274
C-EEU-BGR,rur,perm,mfh,2065,0.6912291265881352
C-EEU-BGR,rur,perm,mfh,2070,0.6926873085386518
C-EEU-BGR,rur,perm,mfh,2075,0.6937748100879981
C-EEU-BGR,rur,perm,mfh,2080,0.6945602382803654
C-EEU-BGR,rur,perm,mfh,2085,0.6951047418603105
C-EEU-BGR,rur,perm,mfh,2090,0.6954653228216102
C-EEU-BGR,rur,perm,mfh,2095,0.6956907915928651
C-EEU-BGR,rur,perm,mfh,2100,0.6958002754443439
C-EEU-BGR,rur,perm,sfh,2015,0.33793997479798465
C-EEU-BGR,rur,perm,sfh,2020,0.33793997479798465
C-EEU-BGR,rur,perm,sfh,2025,0.333279242558503
C-EEU-BGR,rur,perm,sfh,2030,0.32921587858009704
C-EEU-BGR,rur,perm,sfh,2035,0.32553001245547697
C-EEU-BGR,rur,perm,sfh,2040,0.32206983815944307
C-EEU-BGR,rur,perm,sfh,2045,0.31882818451664624
C-EEU-BGR,rur,perm,sfh,2050,0.31580059339394284
C-EEU-BGR,rur,perm,sfh,2055,0.31305117785833414
C-EEU-BGR,rur,perm,sfh,2060,0.31068363927097264
C-EEU-BGR,rur,perm,sfh,2065,0.3087708734118647
C-EEU-BGR,rur,perm,sfh,2070,0.3073126914613481
C-EEU-BGR,rur,perm,sfh,2075,0.30622518991200176
C-EEU-BGR,rur,perm,sfh,2080,0.30543976171963455
C-EEU-BGR,rur,perm,sfh,2085,0.30489525813968943
C-EEU-BGR,rur,perm,sfh,2090,0.3045346771783898
C-EEU-BGR,rur,perm,sfh,2095,0.3043092084071349
C-EEU-BGR,rur,perm,sfh,2100,0.30419972455565614
C-EEU-BGR,urb,perm,mfh,2015,0.6531686513210061
C-EEU-BGR,urb,perm,mfh,2020,0.6531686513210061
C-EEU-BGR,urb,perm,mfh,2025,0.6576388022343164
C-EEU-BGR,urb,perm,mfh,2030,0.6615376025153961
C-EEU-BGR,urb,perm,mfh,2035,0.6650818894291035
C-EEU-BGR,urb,perm,mfh,2040,0.6684130917113681
C-EEU-BGR,urb,perm,mfh,2045,0.671530014711154
C-EEU-BGR,urb,perm,mfh,2050,0.6744376844022755
C-EEU-BGR,urb,perm,mfh,2055,0.6770744032563606
C-EEU-BGR,urb,perm,mfh,2060,0.6793423368145401
C-EEU-BGR,urb,perm,mfh,2065,0.6811725335712422
C-EEU-BGR,urb,perm,mfh,2070,0.6825625972835803
C-EEU-BGR,urb,perm,mfh,2075,0.683594937515565
C-EEU-BGR,urb,perm,mfh,2080,0.6843375487644737
C-EEU-BGR,urb,perm,mfh,2085,0.6848507871811854
C-EEU-BGR,urb,perm,mfh,2090,0.6851881561532475
C-EEU-BGR,urb,perm,mfh,2095,0.6853911333668264
C-EEU-BGR,urb,perm,mfh,2100,0.6854772446260121
C-EEU-BGR,urb,perm,sfh,2015,0.34683134867899384
C-EEU-BGR,urb,perm,sfh,2020,0.34683134867899384
C-EEU-BGR,urb,perm,sfh,2025,0.3423611977656836
C-EEU-BGR,urb,perm,sfh,2030,0.33846239748460394
C-EEU-BGR,urb,perm,sfh,2035,0.33491811057089643
C-EEU-BGR,urb,perm,sfh,2040,0.33158690828863185
C-EEU-BGR,urb,perm,sfh,2045,0.32846998528884586
C-EEU-BGR,urb,perm,sfh,2050,0.3255623155977244
C-EEU-BGR,urb,perm,sfh,2055,0.32292559674363935
C-EEU-BGR,urb,perm,sfh,2060,0.32065766318545985
C-EEU-BGR,urb,perm,sfh,2065,0.31882746642875776
C-EEU-BGR,urb,perm,sfh,2070,0.31743740271641974
C-EEU-BGR,urb,perm,sfh,2075,0.31640506248443495
C-EEU-BGR,urb,perm,sfh,2080,0.31566245123552616
C-EEU-BGR,urb,perm,sfh,2085,0.3151492128188145
C-EEU-BGR,urb,perm,sfh,2090,0.3148118438467524
C-EEU-BGR,urb,perm,sfh,2095,0.31460886663317345
C-EEU-BGR,urb,perm,sfh,2100,0.31452275537398783
C-EEU-CZE,rur,perm,mfh,2015,0.7151179985406128
C-EEU-CZE,rur,perm,mfh,2020,0.7151179985406128
C-EEU-CZE,rur,perm,mfh,2025,0.7155687004494209
C-EEU-CZE,rur,perm,mfh,2030,0.7156106643893687
C-EEU-CZE,rur,perm,mfh,2035,0.7156464409534474
C-EEU-CZE,rur,perm,mfh,2040,0.7156968328898994
C-EEU-CZE,rur,perm,mfh,2045,0.7157907539047844
C-EEU-CZE,rur,perm,mfh,2050,0.7159460479224238
C-EEU-CZE,rur,perm,mfh,2055,0.7161539582799316
C-EEU-CZE,rur,perm,mfh,2060,0.716400918203657
C-EEU-CZE,rur,perm,mfh,2065,0.7166536803973979
C-EEU-CZE,rur,perm,mfh,2070,0.7168552317275294
C-EEU-CZE,rur,perm,mfh,2075,0.7169590677833932
C-EEU-CZE,rur,perm,mfh,2080,0.7169691466018842
C-EEU-CZE,rur,perm,mfh,2085,0.7169382707925528
C-EEU-CZE,rur,perm,mfh,2090,0.7168947699937394
C-EEU-CZE,rur,perm,mfh,2095,0.7168472199738563
C-EEU-CZE,rur,perm,mfh,2100,0.7168117018793189
C-EEU-CZE,rur,perm,sfh,2015,0.28488200145938725
C-EEU-CZE,rur,perm,sfh,2020,0.28488200145938725
C-EEU-CZE,rur,perm,sfh,2025,0.28443129955057916
C-EEU-CZE,rur,perm,sfh,2030,0.2843893356106313
C-EEU-CZE,rur,perm,sfh,2035,0.2843535590465526
C-EEU-CZE,rur,perm,sfh,2040,0.2843031671101006
C-EEU-CZE,rur,perm,sfh,2045,0.2842092460952156
C-EEU-CZE,rur,perm,sfh,2050,0.2840539520775763
C-EEU-CZE,rur,perm,sfh,2055,0.2838460417200685
C-EEU-CZE,rur,perm,sfh,2060,0.28359908179634297
C-EEU-CZE,rur,perm,sfh,2065,0.2833463196026021
C-EEU-CZE,rur,perm,sfh,2070,0.2831447682724706
C-EEU-CZE,rur,perm,sfh,2075,0.28304093221660676
