region_bld,urt,mat,arch,year,value
C-EEU-BGR,rur,perm,mfh,2015,0.655306265208362
C-EEU-BGR,rur,perm,sfh,2015,0.3446937347916379
C-EEU-CZE,rur,perm,mfh,2015,0.7151179985406128
C-EEU-CZE,rur,perm,sfh,2015,0.2848820014593872
C-EEU-EST,rur,perm,mfh,2015,0.7223819278251845
C-EEU-EST,rur,perm,sfh,2015,0.27761807217481554
C-EEU-HRV,rur,perm,mfh,2015,0.5177515855993305
C-EEU-HRV,rur,perm,sfh,2015,0.48224841440066946
C-EEU-HUN,rur,perm,mfh,2015,0.40475325551812646
C-EEU-HUN,rur,perm,sfh,2015,0.5952467444818735
C-EEU-LTU,rur,perm,mfh,2015,0.6379379887585909
C-EEU-LTU,rur,perm,sfh,2015,0.36206201124140913
C-EEU-LVA,rur,perm,mfh,2015,0.7565491830667556
C-EEU-LVA,rur,perm,sfh,2015,0.2434508169332444
C-EEU-POL,rur,perm,mfh,2015,0.5921098589238719
C-EEU-POL,rur,perm,sfh,2015,0.40789014107612803
C-EEU-ROU,rur,perm,mfh,2015,0.4862693108682862
C-EEU-ROU,rur,perm,sfh,2015,0.5137306891317138
C-EEU-SVK,rur,perm,mfh,2015,0.5047537287343722
C-EEU-SVK,rur,perm,sfh,2015,0.4952462712656278
C-EEU-SVN,rur,perm,mfh,2015,0.4584443875655175
C-EEU-SVN,rur,perm,sfh,2015,0.5415556124344826
C-WEU-AUT,rur,perm,mfh,2015,0.6834235626729641
C-WEU-AUT,rur,perm,sfh,2015,0.3165764373270358
C-WEU-BEL,rur,perm,mfh,2015,0.3218223085110635
C-WEU-BEL,rur,perm,sfh,2015,0.6781776914889364
C-WEU-CYP,rur,perm,mfh,2015,0.5177601349057245
C-WEU-CYP,rur,perm,sfh,2015,0.48223986509427547
C-WEU-DEU,rur,perm,mfh,2015,0.6850278544214852
C-WEU-DEU,rur,perm,sfh,2015,0.3149721455785147
C-WEU-DNK,rur,perm,mfh,2015,0.48111758090424306
C-WEU-DNK,rur,perm,sfh,2015,0.5188824190957569
C-WEU-ESP,rur,perm,mfh,2015,0.744352829123844
C-WEU-ESP,rur,perm,sfh,2015,0.2556471708761559
C-WEU-FIN,rur,perm,mfh,2015,0.6651508439815662
C-WEU-FIN,rur,perm,sfh,2015,0.33484915601843385
C-WEU-FRA,rur,perm,mfh,2015,0.46184126628884115
C-WEU-FRA,rur,perm,sfh,2015,0.5381587337111587
C-WEU-GRC,rur,perm,mfh,2015,0.702129091753474
C-WEU-GRC,rur,perm,sfh,2015,0.29787090824652607
C-WEU-IRL,rur,perm,mfh,2015,0.1443964987927568
C-WEU-IRL,rur,perm,sfh,2015,0.8556035012072432
C-WEU-ITA,rur,perm,mfh,2015,0.8225807162828718
C-WEU-ITA,rur,perm,sfh,2015,0.1774192837171281
C-WEU-LUX,rur,perm,mfh,2015,0.5223430389432564
C-WEU-LUX,rur,perm,sfh,2015,0.47765696105674366
C-WEU-MLT,rur,perm,mfh,2015,0.6539664586845086
C-WEU-MLT,rur,perm,sfh,2015,0.34603354131549124
C-WEU-NLD,rur,perm,mfh,2015,0.34093653040231675
C-WEU-NLD,rur,perm,sfh,2015,0.6590634695976831
C-WEU-PRT,rur,perm,mfh,2015,0.5212276412746226
C-WEU-PRT,rur,perm,sfh,2015,0.4787723587253773
C-WEU-SWE,rur,perm,mfh,2015,0.5439176306600741
C-WEU-SWE,rur,perm,sfh,2015,0.45608236933992585
C-EEU-BGR,rur,perm,mfh,2020,0.655306265208362
C-EEU-BGR,rur,perm,sfh,2020,0.3446937347916379
C-EEU-CZE,rur,perm,mfh,2020,0.7151179985406128
C-EEU-CZE,rur,perm,sfh,2020,0.2848820014593872
C-EEU-EST,rur,perm,mfh,2020,0.7223819278251845
C-EEU-EST,rur,perm,sfh,2020,0.27761807217481554
C-EEU-HRV,rur,perm,mfh,2020,0.5177515855993305
C-EEU-HRV,rur,perm,sfh,2020,0.48224841440066946
C-EEU-HUN,rur,perm,mfh,2020,0.40475325551812646
C-EEU-HUN,rur,perm,sfh,2020,0.5952467444818735
C-EEU-LTU,rur,perm,mfh,2020,0.6379379887585909
C-EEU-LTU,rur,perm,sfh,2020,0.36206201124140913
C-EEU-LVA,rur,perm,mfh,2020,0.7565491830667556
C-EEU-LVA,rur,perm,sfh,2020,0.2434508169332444
C-EEU-POL,rur,perm,mfh,2020,0.5921098589238719
C-EEU-POL,rur,perm,sfh,2020,0.40789014107612803
C-EEU-ROU,rur,perm,mfh,2020,0.4862693108682862
C-EEU-ROU,rur,perm,sfh,2020,0.5137306891317138
C-EEU-SVK,rur,perm,mfh,2020,0.5047537287343722
C-EEU-SVK,rur,perm,sfh,2020,0.4952462712656278
C-EEU-SVN,rur,perm,mfh,2020,0.4584443875655175
C-EEU-SVN,rur,perm,sfh,2020,0.5415556124344826
C-WEU-AUT,rur,perm,mfh,2020,0.6834235626729641
C-WEU-AUT,rur,perm,sfh,2020,0.3165764373270358
C-WEU-BEL,rur,perm,mfh,2020,0.3218223085110635
C-WEU-BEL,rur,perm,sfh,2020,0.6781776914889364
C-WEU-CYP,rur,perm,mfh,2020,0.5177601349057245
C-WEU-CYP,rur,perm,sfh,2020,0.48223986509427547
C-WEU-DEU,rur,perm,mfh,2020,0.6850278544214852
C-WEU-DEU,rur,perm,sfh,2020,0.3149721455785147
C-WEU-DNK,rur,perm,mfh,2020,0.48111758090424306
C-WEU-DNK,rur,perm,sfh,2020,0.5188824190957569
C-WEU-ESP,rur,perm,mfh,2020,0.744352829123844
C-WEU-ESP,rur,perm,sfh,2020,0.2556471708761559
C-WEU-FIN,rur,perm,mfh,2020,0.6651508439815662
C-WEU-FIN,rur,perm,sfh,2020,0.33484915601843385
C-WEU-FRA,rur,perm,mfh,2020,0.46184126628884115
C-WEU-FRA,rur,perm,sfh,2020,0.5381587337111587
C-WEU-GRC,rur,perm,mfh,2020,0.702129091753474
C-WEU-GRC,rur,perm,sfh,2020,0.29787090824652607
C-WEU-IRL,rur,perm,mfh,2020,0.1443964987927568
C-WEU-IRL,rur,perm,sfh,2020,0.8556035012072432
C-WEU-ITA,rur,perm,mfh,2020,0.8225807162828718
C-WEU-ITA,rur,perm,sfh,2020,0.1774192837171281
C-WEU-LUX,rur,perm,mfh,2020,0.5223430389432564
C-WEU-LUX,rur,perm,sfh,2020,0.47765696105674366
C-WEU-MLT,rur,perm,mfh,2020,0.6539664586845086
C-WEU-MLT,rur,perm,sfh,2020,0.34603354131549124
C-WEU-NLD,rur,perm,mfh,2020,0.34093653040231675
C-WEU-NLD,rur,perm,sfh,2020,0.6590634695976831
C-WEU-PRT,rur,perm,mfh,2020,0.5212276412746226
C-WEU-PRT,rur,perm,sfh,2020,0.4787723587253773
C-WEU-SWE,rur,perm,mfh,2020,0.5439176306600741
C-WEU-SWE,rur,perm,sfh,2020,0.45608236933992585
C-EEU-BGR,rur,perm,mfh,2025,0.6596470092232093
C-EEU-BGR,rur,perm,sfh,2025,0.3403529907767906
C-EEU-CZE,rur,perm,mfh,2025,0.7155687004494209
C-EEU-CZE,rur,perm,sfh,2025,0.28443129955057916
C-EEU-EST,rur,perm,mfh,2025,0.724991840925108
C-EEU-EST,rur,perm,sfh,2025,0.27500815907489196
C-EEU-HRV,rur,perm,mfh,2025,0.5205635034510524
C-EEU-HRV,rur,perm,sfh,2025,0.4794364965489476
C-EEU-HUN,rur,perm,mfh,2025,0.40624382808493903
C-EEU-HUN,rur,perm,sfh,2025,0.5937561719150609
C-EEU-LTU,rur,perm,mfh,2025,0.6421774076460346
C-EEU-LTU,rur,perm,sfh,2025,0.35782259235396546
C-EEU-LVA,rur,perm,mfh,2025,0.7587536021442292
C-EEU-LVA,rur,perm,sfh,2025,0.24124639785577084
C-EEU-POL,rur,perm,mfh,2025,0.5917307524806683
C-EEU-POL,rur,perm,sfh,2025,0.40826924751933175
C-EEU-ROU,rur,perm,mfh,2025,0.48856806248211576
C-EEU-ROU,rur,perm,sfh,2025,0.5114319375178842
C-EEU-SVK,rur,perm,mfh,2025,0.5063764455177291
C-EEU-SVK,rur,perm,sfh,2025,0.49362355448227097
C-EEU-SVN,rur,perm,mfh,2025,0.4595958937706385
C-EEU-SVN,rur,perm,sfh,2025,0.5404041062293615
C-WEU-AUT,rur,perm,mfh,2025,0.684690957538657
C-WEU-AUT,rur,perm,sfh,2025,0.3153090424613429
C-WEU-BEL,rur,perm,mfh,2025,0.32312385940484184
C-WEU-BEL,rur,perm,sfh,2025,0.6768761405951582
C-WEU-CYP,rur,perm,mfh,2025,0.5177601349057244
C-WEU-CYP,rur,perm,sfh,2025,0.48223986509427547
C-WEU-DEU,rur,perm,mfh,2025,0.6862736647909135
C-WEU-DEU,rur,perm,sfh,2025,0.3137263352090865
C-WEU-DNK,rur,perm,mfh,2025,0.48285814076990363
C-WEU-DNK,rur,perm,sfh,2025,0.5171418592300963
C-WEU-ESP,rur,perm,mfh,2025,0.7465923160292349
C-WEU-ESP,rur,perm,sfh,2025,0.2534076839707651
C-WEU-FIN,rur,perm,mfh,2025,0.6682035633246627
C-WEU-FIN,rur,perm,sfh,2025,0.3317964366753372
C-WEU-FRA,rur,perm,mfh,2025,0.46496983779204526
C-WEU-FRA,rur,perm,sfh,2025,0.5350301622079546
C-WEU-GRC,rur,perm,mfh,2025,0.699158965654207
C-WEU-GRC,rur,perm,sfh,2025,0.3008410343457929
C-WEU-IRL,rur,perm,mfh,2025,0.14504449388411855
C-WEU-IRL,rur,perm,sfh,2025,0.8549555061158813
C-WEU-ITA,rur,perm,mfh,2025,0.8230596670028507
C-WEU-ITA,rur,perm,sfh,2025,0.1769403329971493
C-WEU-LUX,rur,perm,mfh,2025,0.5223430389432564
C-WEU-LUX,rur,perm,sfh,2025,0.4776569610567436
C-WEU-MLT,rur,perm,mfh,2025,0.6549782912925918
C-WEU-MLT,rur,perm,sfh,2025,0.3450217087074083
C-WEU-NLD,rur,perm,mfh,2025,0.3428503743212016
C-WEU-NLD,rur,perm,sfh,2025,0.6571496256787984
C-WEU-PRT,rur,perm,mfh,2025,0.5251136918530628
C-WEU-PRT,rur,perm,sfh,2025,0.4748863081469371
C-WEU-SWE,rur,perm,mfh,2025,0.5450273637672748
C-WEU-SWE,rur,perm,sfh,2025,0.4549726362327252
C-EEU-BGR,rur,perm,mfh,2030,0.6634252702089125
C-EEU-BGR,rur,perm,sfh,2030,0.33657472979108755
C-EEU-CZE,rur,perm,mfh,2030,0.7156106643893687
C-EEU-CZE,rur,perm,sfh,2030,0.2843893356106313
C-EEU-EST,rur,perm,mfh,2030,0.7271976220033848
C-EEU-EST,rur,perm,sfh,2030,0.2728023779966152
C-EEU-HRV,rur,perm,mfh,2030,0.5228433373406637
C-EEU-HRV,rur,perm,sfh,2030,0.4771566626593363
C-EEU-HUN,rur,perm,mfh,2030,0.40724458025571525
C-EEU-HUN,rur,perm,sfh,2030,0.5927554197442848
C-EEU-LTU,rur,perm,mfh,2030,0.6456766977639619
C-EEU-LTU,rur,perm,sfh,2030,0.35432330223603825
C-EEU-LVA,rur,perm,mfh,2030,0.7605119463184422
C-EEU-LVA,rur,perm,sfh,2030,0.23948805368155762
C-EEU-POL,rur,perm,mfh,2030,0.591033719709888
C-EEU-POL,rur,perm,sfh,2030,0.40896628029011184
