region_bld,region_nuts,urt,mat,arch,year,value
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2015,0.4637694335848713
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2015,0.5362305664151287
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2015,0.4131592442112737
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2015,0.5868407557887263
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,mfh,2015,0.44495837187789083
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,sfh,2015,0.5550416281221091
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,mfh,2015,0.48934048257372653
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,sfh,2015,0.5106595174262735
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,mfh,2015,0.41898551340328816
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,sfh,2015,0.5810144865967118
C-EEU-BGR,C-EEU-BGR-BG321,rur,perm,mfh,2015,0.555822961791469
C-EEU-BGR,C-EEU-BGR-BG321,rur,perm,sfh,2015,0.44417703820853105
C-EEU-BGR,C-EEU-BGR-BG322,rur,perm,mfh,2015,0.6496191007060572
C-EEU-BGR,C-EEU-BGR-BG322,rur,perm,sfh,2015,0.3503808992939428
C-EEU-BGR,C-EEU-BGR-BG323,rur,perm,mfh,2015,0.6371631981173562
C-EEU-BGR,C-EEU-BGR-BG323,rur,perm,sfh,2015,0.3628368018826438
C-EEU-BGR,C-EEU-BGR-BG324,rur,perm,mfh,2015,0.3561603019317674
C-EEU-BGR,C-EEU-BGR-BG324,rur,perm,sfh,2015,0.6438396980682326
C-EEU-BGR,C-EEU-BGR-BG325,rur,perm,mfh,2015,0.4010851311200103
C-EEU-BGR,C-EEU-BGR-BG325,rur,perm,sfh,2015,0.5989148688799897
C-EEU-BGR,C-EEU-BGR-BG331,rur,perm,mfh,2015,0.7516431680627091
C-EEU-BGR,C-EEU-BGR-BG331,rur,perm,sfh,2015,0.24835683193729086
C-EEU-BGR,C-EEU-BGR-BG332,rur,perm,mfh,2015,0.543206432556613
C-EEU-BGR,C-EEU-BGR-BG332,rur,perm,sfh,2015,0.45679356744338695
C-EEU-BGR,C-EEU-BGR-BG333,rur,perm,mfh,2015,0.5370920850619018
C-EEU-BGR,C-EEU-BGR-BG333,rur,perm,sfh,2015,0.46290791493809824
C-EEU-BGR,C-EEU-BGR-BG334,rur,perm,mfh,2015,0.47127270907361996
C-EEU-BGR,C-EEU-BGR-BG334,rur,perm,sfh,2015,0.52872729092638
C-EEU-BGR,C-EEU-BGR-BG341,rur,perm,mfh,2015,0.7100073046018992
C-EEU-BGR,C-EEU-BGR-BG341,rur,perm,sfh,2015,0.2899926953981008
C-EEU-BGR,C-EEU-BGR-BG342,rur,perm,mfh,2015,0.5031946095917559
C-EEU-BGR,C-EEU-BGR-BG342,rur,perm,sfh,2015,0.4968053904082441
C-EEU-BGR,C-EEU-BGR-BG343,rur,perm,mfh,2015,0.5575694842091353
C-EEU-BGR,C-EEU-BGR-BG343,rur,perm,sfh,2015,0.4424305157908647
C-EEU-BGR,C-EEU-BGR-BG344,rur,perm,mfh,2015,0.6331912260193908
