region_bld,urt,mat,arch,year,value
C-EEU-BGR,rur,perm,mfh,2015,0.5867205463804286
C-EEU-BGR,rur,perm,mfh,2020,0.5887841170410215
C-EEU-BGR,rur,perm,mfh,2025,0.590510407845599
C-EEU-BGR,rur,perm,mfh,2030,0.5918664788742626
C-EEU-BGR,rur,perm,mfh,2035,0.5928365472172001
C-EEU-BGR,rur,perm,mfh,2040,0.5934245245552561
C-EEU-BGR,rur,perm,mfh,2045,0.5936548042025109
C-EEU-BGR,rur,perm,mfh,2050,0.5935712369266186
C-EEU-BGR,rur,perm,mfh,2055,0.5932345960055355
C-EEU-BGR,rur,perm,mfh,2060,0.592719121160562
C-EEU-BGR,rur,perm,mfh,2065,0.5921088814105315
C-EEU-BGR,rur,perm,mfh,2070,0.591494699157459
C-EEU-BGR,rur,perm,mfh,2075,0.5909722781984635
C-EEU-BGR,rur,perm,mfh,2080,0.5906420570892236
C-EEU-BGR,rur,perm,mfh,2085,0.5906112568836809
C-EEU-BGR,rur,perm,mfh,2090,0.5909987014084968
C-EEU-BGR,rur,perm,mfh,2095,0.5919433736334759
C-EEU-BGR,rur,perm,mfh,2100,0.5936185331892752
C-EEU-BGR,rur,perm,sfh,2015,0.4132794536195714
C-EEU-BGR,rur,perm,sfh,2020,0.41121588295897854
C-EEU-BGR,rur,perm,sfh,2025,0.40948959215440095
C-EEU-BGR,rur,perm,sfh,2030,0.40813352112573736
C-EEU-BGR,rur,perm,sfh,2035,0.4071634527827998
C-EEU-BGR,rur,perm,sfh,2040,0.406575475444744
C-EEU-BGR,rur,perm,sfh,2045,0.4063451957974891
C-EEU-BGR,rur,perm,sfh,2050,0.4064287630733813
C-EEU-BGR,rur,perm,sfh,2055,0.4067654039944644
C-EEU-BGR,rur,perm,sfh,2060,0.407280878839438
C-EEU-BGR,rur,perm,sfh,2065,0.40789111858946836
C-EEU-BGR,rur,perm,sfh,2070,0.40850530084254105
C-EEU-BGR,rur,perm,sfh,2075,0.4090277218015364
C-EEU-BGR,rur,perm,sfh,2080,0.4093579429107764
C-EEU-BGR,rur,perm,sfh,2085,0.4093887431163191
C-EEU-BGR,rur,perm,sfh,2090,0.4090012985915033
C-EEU-BGR,rur,perm,sfh,2095,0.408056626366524
C-EEU-BGR,rur,perm,sfh,2100,0.40638146681072485
C-EEU-BGR,sub,perm,mfh,2015,0.6045783398240241
C-EEU-BGR,sub,perm,mfh,2020,0.6048842074903031
C-EEU-BGR,sub,perm,mfh,2025,0.6051016581930299
C-EEU-BGR,sub,perm,mfh,2030,0.6052381875557376
C-EEU-BGR,sub,perm,mfh,2035,0.6053013158745343
C-EEU-BGR,sub,perm,mfh,2040,0.6052988918524419
C-EEU-BGR,sub,perm,mfh,2045,0.6052394020343113
C-EEU-BGR,sub,perm,mfh,2050,0.6051322860717248
C-EEU-BGR,sub,perm,mfh,2055,0.6049882523736467
C-EEU-BGR,sub,perm,mfh,2060,0.6048195814792796
C-EEU-BGR,sub,perm,mfh,2065,0.6046403954300116
C-EEU-BGR,sub,perm,mfh,2070,0.6044668607282234
C-EEU-BGR,sub,perm,mfh,2075,0.6043172810581483
C-EEU-BGR,sub,perm,mfh,2080,0.6042120257416431
C-EEU-BGR,sub,perm,mfh,2085,0.6041732341283597
C-EEU-BGR,sub,perm,mfh,2090,0.6042242392428034
C-EEU-BGR,sub,perm,mfh,2095,0.6043886711089718
C-EEU-BGR,sub,perm,mfh,2100,0.6046892354124008
C-EEU-BGR,sub,perm,sfh,2015,0.3954216601759758
C-EEU-BGR,sub,perm,sfh,2020,0.3951157925096968
C-EEU-BGR,sub,perm,sfh,2025,0.3948983418069701
C-EEU-BGR,sub,perm,sfh,2030,0.3947618124442624
C-EEU-BGR,sub,perm,sfh,2035,0.39469868412546577
C-EEU-BGR,sub,perm,sfh,2040,0.39470110814755804
C-EEU-BGR,sub,perm,sfh,2045,0.3947605979656887
C-EEU-BGR,sub,perm,sfh,2050,0.3948677139282753
C-EEU-BGR,sub,perm,sfh,2055,0.3950117476263533
C-EEU-BGR,sub,perm,sfh,2060,0.39518041852072044
C-EEU-BGR,sub,perm,sfh,2065,0.39535960456998837
C-EEU-BGR,sub,perm,sfh,2070,0.39553313927177663
C-EEU-BGR,sub,perm,sfh,2075,0.39568271894185175
C-EEU-BGR,sub,perm,sfh,2080,0.39578797425835677
C-EEU-BGR,sub,perm,sfh,2085,0.3958267658716403
C-EEU-BGR,sub,perm,sfh,2090,0.3957757607571965
C-EEU-BGR,sub,perm,sfh,2095,0.3956113288910282
C-EEU-BGR,sub,perm,sfh,2100,0.39531076458759923
C-EEU-BGR,urb,perm,mfh,2015,0.7821453820144385
C-EEU-BGR,urb,perm,mfh,2020,0.7816149812471019
C-EEU-BGR,urb,perm,mfh,2025,0.7809773120144521
C-EEU-BGR,urb,perm,mfh,2030,0.7802325402960446
C-EEU-BGR,urb,perm,mfh,2035,0.7793807998377116
C-EEU-BGR,urb,perm,mfh,2040,0.7784229809779564
C-EEU-BGR,urb,perm,mfh,2045,0.777361737091692
C-EEU-BGR,urb,perm,mfh,2050,0.7762027903519579
C-EEU-BGR,urb,perm,mfh,2055,0.774956611364756
C-EEU-BGR,urb,perm,mfh,2060,0.7736405161233005
C-EEU-BGR,urb,perm,mfh,2065,0.7722811474770247
C-EEU-BGR,urb,perm,mfh,2070,0.7709171594503316
C-EEU-BGR,urb,perm,mfh,2075,0.7696016759392356
C-EEU-BGR,urb,perm,mfh,2080,0.7684037504388402
C-EEU-BGR,urb,perm,mfh,2085,0.7674076785653903
C-EEU-BGR,urb,perm,mfh,2090,0.7667087988816885
C-EEU-BGR,urb,perm,mfh,2095,0.7664046827841421
C-EEU-BGR,urb,perm,mfh,2100,0.7665817005029526
C-EEU-BGR,urb,perm,sfh,2015,0.21785461798556136
C-EEU-BGR,urb,perm,sfh,2020,0.21838501875289806
C-EEU-BGR,urb,perm,sfh,2025,0.21902268798554783
C-EEU-BGR,urb,perm,sfh,2030,0.21976745970395542
C-EEU-BGR,urb,perm,sfh,2035,0.22061920016228842
C-EEU-BGR,urb,perm,sfh,2040,0.22157701902204358
C-EEU-BGR,urb,perm,sfh,2045,0.22263826290830804
C-EEU-BGR,urb,perm,sfh,2050,0.22379720964804212
C-EEU-BGR,urb,perm,sfh,2055,0.22504338863524403
C-EEU-BGR,urb,perm,sfh,2060,0.22635948387669944
C-EEU-BGR,urb,perm,sfh,2065,0.22771885252297533
C-EEU-BGR,urb,perm,sfh,2070,0.22908284054966835
C-EEU-BGR,urb,perm,sfh,2075,0.23039832406076433
C-EEU-BGR,urb,perm,sfh,2080,0.23159624956115968
