region_bld,mat,arch,year,value
C-EEU-BGR,perm,mfh,2015,0.6502957113449505
C-EEU-BGR,perm,mfh,2020,0.6520697275786378
C-EEU-BGR,perm,mfh,2025,0.6532927718773462
C-EEU-BGR,perm,mfh,2030,0.6539750218653403
C-EEU-BGR,perm,mfh,2035,0.6541375833686622
C-EEU-BGR,perm,mfh,2040,0.6538136081662027
C-EEU-BGR,perm,mfh,2045,0.6530492729548348
C-EEU-BGR,perm,mfh,2050,0.6519045784684373
C-EEU-BGR,perm,mfh,2055,0.6504539344444713
C-EEU-BGR,perm,mfh,2060,0.6487865066939629
C-EEU-BGR,perm,mfh,2065,0.6470063166975071
C-EEU-BGR,perm,mfh,2070,0.6452321013598401
C-EEU-BGR,perm,mfh,2075,0.6435969599224537
C-EEU-BGR,perm,mfh,2080,0.6422478354380128
C-EEU-BGR,perm,mfh,2085,0.6413448984436214
C-EEU-BGR,perm,mfh,2090,0.6410609194181139
C-EEU-BGR,perm,mfh,2095,0.6415807334500632
C-EEU-BGR,perm,mfh,2100,0.6431009149376626
C-EEU-BGR,perm,sfh,2015,0.34970428865504954
C-EEU-BGR,perm,sfh,2020,0.34793027242136215
C-EEU-BGR,perm,sfh,2025,0.34670722812265364
C-EEU-BGR,perm,sfh,2030,0.34602497813465966
C-EEU-BGR,perm,sfh,2035,0.34586241663133777
C-EEU-BGR,perm,sfh,2040,0.3461863918337974
C-EEU-BGR,perm,sfh,2045,0.34695072704516505
C-EEU-BGR,perm,sfh,2050,0.34809542153156253
C-EEU-BGR,perm,sfh,2055,0.3495460655555287
C-EEU-BGR,perm,sfh,2060,0.35121349330603713
C-EEU-BGR,perm,sfh,2065,0.35299368330249287
C-EEU-BGR,perm,sfh,2070,0.3547678986401598
C-EEU-BGR,perm,sfh,2075,0.3564030400775463
C-EEU-BGR,perm,sfh,2080,0.35775216456198716
C-EEU-BGR,perm,sfh,2085,0.35865510155637864
C-EEU-BGR,perm,sfh,2090,0.3589390805818861
C-EEU-BGR,perm,sfh,2095,0.3584192665499368
C-EEU-BGR,perm,sfh,2100,0.3568990850623373
C-EEU-CZE,perm,mfh,2015,0.7174756373474445
C-EEU-CZE,perm,mfh,2020,0.7172380852156027
C-EEU-CZE,perm,mfh,2025,0.7169686781738397
C-EEU-CZE,perm,mfh,2030,0.7166685964136538
C-EEU-CZE,perm,mfh,2035,0.7163388995922925
C-EEU-CZE,perm,mfh,2040,0.7159807806956715
C-EEU-CZE,perm,mfh,2045,0.715595818342616
C-EEU-CZE,perm,mfh,2050,0.7151862421423539
C-EEU-CZE,perm,mfh,2055,0.7147552174788758
C-EEU-CZE,perm,mfh,2060,0.7143071470170512
C-EEU-CZE,perm,mfh,2065,0.7138479748021707
C-EEU-CZE,perm,mfh,2070,0.7133854643051023
C-EEU-CZE,perm,mfh,2075,0.712929404594287
C-EEU-CZE,perm,mfh,2080,0.7124916813745905
C-EEU-CZE,perm,mfh,2085,0.712086136986488
C-EEU-CZE,perm,mfh,2090,0.7117281434998025
C-EEU-CZE,perm,mfh,2095,0.7114338351013709
C-EEU-CZE,perm,mfh,2100,0.7112189971055305
C-EEU-CZE,perm,sfh,2015,0.2825243626525554
C-EEU-CZE,perm,sfh,2020,0.2827619147843973
C-EEU-CZE,perm,sfh,2025,0.28303132182616025
C-EEU-CZE,perm,sfh,2030,0.2833314035863462
C-EEU-CZE,perm,sfh,2035,0.2836611004077075
C-EEU-CZE,perm,sfh,2040,0.2840192193043284
C-EEU-CZE,perm,sfh,2045,0.284404181657384
C-EEU-CZE,perm,sfh,2050,0.28481375785764607
C-EEU-CZE,perm,sfh,2055,0.2852447825211242
C-EEU-CZE,perm,sfh,2060,0.2856928529829487
C-EEU-CZE,perm,sfh,2065,0.2861520251978292
C-EEU-CZE,perm,sfh,2070,0.28661453569489764
C-EEU-CZE,perm,sfh,2075,0.287070595405713
C-EEU-CZE,perm,sfh,2080,0.28750831862540943
C-EEU-CZE,perm,sfh,2085,0.2879138630135119
C-EEU-CZE,perm,sfh,2090,0.28827185650019743
C-EEU-CZE,perm,sfh,2095,0.2885661648986291
C-EEU-CZE,perm,sfh,2100,0.2887810028944695
C-EEU-EST,perm,mfh,2015,0.7156379983575656
C-EEU-EST,perm,mfh,2020,0.7156484713610001
C-EEU-EST,perm,mfh,2025,0.7156233662817482
C-EEU-EST,perm,mfh,2030,0.715572685295973
C-EEU-EST,perm,mfh,2035,0.7155061056535733
C-EEU-EST,perm,mfh,2040,0.7154335781536836
C-EEU-EST,perm,mfh,2045,0.7153658185596532
C-EEU-EST,perm,mfh,2050,0.715314706151793
C-EEU-EST,perm,mfh,2055,0.7152935739273859
C-EEU-EST,perm,mfh,2060,0.7153173467329631
C-EEU-EST,perm,mfh,2065,0.7154024568940005
C-EEU-EST,perm,mfh,2070,0.7155664462811674
C-EEU-EST,perm,mfh,2075,0.7158271591872631
C-EEU-EST,perm,mfh,2080,0.7162014568183371
C-EEU-EST,perm,mfh,2085,0.7167034576013067
C-EEU-EST,perm,mfh,2090,0.7173424353757386
C-EEU-EST,perm,mfh,2095,0.7181206745190568
C-EEU-EST,perm,mfh,2100,0.7190317369183505
C-EEU-EST,perm,sfh,2015,0.2843620016424344
C-EEU-EST,perm,sfh,2020,0.284351528639
C-EEU-EST,perm,sfh,2025,0.28437663371825195
C-EEU-EST,perm,sfh,2030,0.28442731470402705
C-EEU-EST,perm,sfh,2035,0.2844938943464267
C-EEU-EST,perm,sfh,2040,0.28456642184631653
C-EEU-EST,perm,sfh,2045,0.2846341814403467
C-EEU-EST,perm,sfh,2050,0.28468529384820707
C-EEU-EST,perm,sfh,2055,0.28470642607261415
