region_bld,urt,mat,arch,year,value
C-EEU-BGR,rur,perm,mfh,2015,0.025641025641025644
C-EEU-BGR,rur,perm,sfh,2015,0.9743589743589743
C-EEU-BGR,sub,perm,mfh,2015,0.39506172839506176
C-EEU-BGR,sub,perm,sfh,2015,0.6049382716049383
C-EEU-BGR,urb,perm,mfh,2015,0.8086560364464692
C-EEU-BGR,urb,perm,sfh,2015,0.19134396355353078
C-EEU-CZE,rur,perm,mfh,2015,0.1966759002770083
C-EEU-CZE,rur,perm,sfh,2015,0.8033240997229917
C-EEU-CZE,sub,perm,mfh,2015,0.6158536585365854
C-EEU-CZE,sub,perm,sfh,2015,0.38414634146341464
C-EEU-CZE,urb,perm,mfh,2015,0.7908496732026143
C-EEU-CZE,urb,perm,sfh,2015,0.20915032679738566
C-EEU-EST,rur,perm,mfh,2015,0.33977900552486184
C-EEU-EST,rur,perm,sfh,2015,0.6602209944751382
C-EEU-EST,sub,perm,mfh,2015,0.6134020618556701
C-EEU-EST,sub,perm,sfh,2015,0.38659793814432986
C-EEU-EST,urb,perm,mfh,2015,0.8405466970387244
C-EEU-EST,urb,perm,sfh,2015,0.15945330296127558
C-EEU-HRV,rur,perm,mfh,2015,0.03581267217630854
C-EEU-HRV,rur,perm,sfh,2015,0.9641873278236914
C-EEU-HRV,sub,perm,mfh,2015,0.14953271028037382
C-EEU-HRV,sub,perm,sfh,2015,0.8504672897196262
C-EEU-HRV,urb,perm,mfh,2015,0.5428571428571428
C-EEU-HRV,urb,perm,sfh,2015,0.4571428571428572
C-EEU-HUN,rur,perm,mfh,2015,0.00946372239747634
C-EEU-HUN,rur,perm,sfh,2015,0.9905362776025236
C-EEU-HUN,sub,perm,mfh,2015,0.19390581717451524
C-EEU-HUN,sub,perm,sfh,2015,0.8060941828254847
C-EEU-HUN,urb,perm,mfh,2015,0.6214511041009463
C-EEU-HUN,urb,perm,sfh,2015,0.3785488958990537
C-EEU-LTU,rur,perm,mfh,2015,0.37296037296037293
C-EEU-LTU,rur,perm,sfh,2015,0.627039627039627
C-EEU-LTU,sub,perm,mfh,2015,0.5434782608695652
C-EEU-LTU,sub,perm,sfh,2015,0.4565217391304348
C-EEU-LTU,urb,perm,mfh,2015,0.8452380952380952
C-EEU-LTU,urb,perm,sfh,2015,0.15476190476190477
C-EEU-LVA,rur,perm,mfh,2015,0.40869565217391307
C-EEU-LVA,rur,perm,sfh,2015,0.5913043478260869
C-EEU-LVA,sub,perm,mfh,2015,0.5972222222222223
C-EEU-LVA,sub,perm,sfh,2015,0.4027777777777777
C-EEU-LVA,urb,perm,mfh,2015,0.888631090487239
C-EEU-LVA,urb,perm,sfh,2015,0.11136890951276102
C-EEU-POL,rur,perm,mfh,2015,0.11351351351351353
C-EEU-POL,rur,perm,sfh,2015,0.8864864864864864
C-EEU-POL,sub,perm,mfh,2015,0.46453900709219864
C-EEU-POL,sub,perm,sfh,2015,0.5354609929078014
C-EEU-POL,urb,perm,mfh,2015,0.7855072463768117
C-EEU-POL,urb,perm,sfh,2015,0.21449275362318831
C-EEU-ROU,rur,perm,mfh,2015,0.016786570743405275
C-EEU-ROU,rur,perm,sfh,2015,0.9832134292565947
