region_bld,clim,urt,arch,eneff,region_nuts,value
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT111,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT111,19.87244702
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT112,19.87244702
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT112,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT113,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT113,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT121,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT121,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT122,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT122,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT123,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT123,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT124,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT124,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT125,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT125,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT126,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT126,19.87244702
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT127,19.87244702
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT127,19.87244702
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT130,19.87244702
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT130,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT211,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT211,19.87244702
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,C-WEU-AUT-AT212,19.87244702
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,C-WEU-AUT-AT212,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT213,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT213,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT221,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT221,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT222,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT222,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT223,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT223,19.87244702
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT224,19.87244702
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT224,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT225,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT225,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT226,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT226,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT311,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT311,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT312,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT312,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT313,19.87244702
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT313,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT314,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT314,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT315,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT315,19.87244702
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,C-WEU-AUT-AT321,19.87244702
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,C-WEU-AUT-AT321,19.87244702
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,C-WEU-AUT-AT322,19.87244702
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,C-WEU-AUT-AT322,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT323,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT323,19.87244702
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,C-WEU-AUT-AT331,19.87244702
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,C-WEU-AUT-AT331,19.87244702
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,C-WEU-AUT-AT332,19.87244702
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,C-WEU-AUT-AT332,19.87244702
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,C-WEU-AUT-AT333,19.87244702
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,C-WEU-AUT-AT333,19.87244702
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,C-WEU-AUT-AT334,19.87244702
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,C-WEU-AUT-AT334,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT335,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT335,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT341,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT341,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT342,19.87244702
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT342,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE100,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE100,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE211,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE211,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE212,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE212,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE213,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE213,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE223,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE223,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE224,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE224,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE225,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE225,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE231,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE231,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE232,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE232,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE233,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE233,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE234,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE234,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE235,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE235,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE236,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE236,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE241,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE241,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE242,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE242,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE251,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE251,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE252,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE252,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE253,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE253,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE254,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE254,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE255,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE255,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE256,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE256,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE257,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE257,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE258,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE258,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE310,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE310,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE323,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE323,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE328,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE328,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE329,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE329,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE32A,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE32A,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,rur,inf,ns,C-WEU-BEL-BE32B,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,urb,inf,ns,C-WEU-BEL-BE32B,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE32C,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE32C,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE32D,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE32D,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE331,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE331,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE332,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE332,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-BEL-BE334,19.87244702
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-BEL-BE334,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,rur,inf,ns,C-WEU-BEL-BE335,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,urb,inf,ns,C-WEU-BEL-BE335,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,rur,inf,ns,C-WEU-BEL-BE336,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,urb,inf,ns,C-WEU-BEL-BE336,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,rur,inf,ns,C-WEU-BEL-BE341,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,urb,inf,ns,C-WEU-BEL-BE341,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,rur,inf,ns,C-WEU-BEL-BE342,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,urb,inf,ns,C-WEU-BEL-BE342,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,rur,inf,ns,C-WEU-BEL-BE343,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,urb,inf,ns,C-WEU-BEL-BE343,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,rur,inf,ns,C-WEU-BEL-BE344,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,urb,inf,ns,C-WEU-BEL-BE344,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,rur,inf,ns,C-WEU-BEL-BE345,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,urb,inf,ns,C-WEU-BEL-BE345,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,rur,inf,ns,C-WEU-BEL-BE351,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,urb,inf,ns,C-WEU-BEL-BE351,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,rur,inf,ns,C-WEU-BEL-BE352,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,urb,inf,ns,C-WEU-BEL-BE352,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,rur,inf,ns,C-WEU-BEL-BE353,19.87244702
C-WEU-BEL,Zone_5A Cool Humid,urb,inf,ns,C-WEU-BEL-BE353,19.87244702
C-EEU-BGR,Zone_4A Mixed Humid,rur,inf,ns,C-EEU-BGR-BG311,19.87244702
