region_bld,clim,urt,arch,eneff,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,inf,ns,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s1,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s2,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s3,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s51_std,53.09722222
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s52_low,62.04166667
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr11_std,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr12_low,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr21_std,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr22_low,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr31_std,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr32_low,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,s1,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,s2,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,s3,36.75
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,s51_std,40.39583333
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,s52_low,53.20833333
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr11_std,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr12_low,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr21_std,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr22_low,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr31_std,36.75
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr32_low,36.75
C-EEU-BGR,Zone_4A Mixed Humid,urb,inf,ns,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s1,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s2,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s3,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s51_std,53.09722222
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s52_low,62.04166667
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr11_std,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr12_low,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr21_std,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr22_low,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr31_std,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr32_low,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s1,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s2,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s3,36.75
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s51_std,40.39583333
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s52_low,53.20833333
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr11_std,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr12_low,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr21_std,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr22_low,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr31_std,36.75
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr32_low,36.75
C-EEU-BGR,Zone_5A Cool Humid,rur,inf,ns,11.66666667
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s1,16.125
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s2,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s3,20.55555556
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s51_std,24.625
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s52_low,36.56944444
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,sr11_std,16.125
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,sr12_low,16.125
