region_bld,clim,urt,arch,eneff,value
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,14.893012360362896
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,14.893012360362896
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,14.893012360362896
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,14.893012360362896
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,14.893012360362896
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,14.893012360362896
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,14.893012360362896
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,14.893012360362896
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,9.46428572
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,9.46428572
C-WEU-BEL,Zone_5A Cool Humid,rur,inf,ns,9.46428572
C-WEU-BEL,Zone_5A Cool Humid,urb,inf,ns,9.46428572
C-EEU-BGR,Zone_4A Mixed Humid,rur,inf,ns,54.708971646260366
C-EEU-BGR,Zone_4A Mixed Humid,urb,inf,ns,54.708971646260366
C-EEU-BGR,Zone_5A Cool Humid,rur,inf,ns,54.708971646260366
C-EEU-BGR,Zone_5A Cool Humid,urb,inf,ns,54.708971646260366
C-WEU-CYP,Zone_3A Warm Humid,rur,inf,ns,91.7865089
C-WEU-CYP,Zone_3A Warm Humid,urb,inf,ns,91.7865089
C-EEU-CZE,Zone_5A Cool Humid,rur,inf,ns,14.6025641
C-EEU-CZE,Zone_5A Cool Humid,urb,inf,ns,14.6025641
C-WEU-DEU,Zone_5A Cool Humid,rur,inf,ns,14.065279911960424
C-WEU-DEU,Zone_5A Cool Humid,urb,inf,ns,14.065279911960424
C-WEU-DEU,Zone_4A Mixed Humid,rur,inf,ns,14.065279911960424
C-WEU-DEU,Zone_4A Mixed Humid,urb,inf,ns,14.065279911960424
C-WEU-DEU,Zone_6A Cold Humid,rur,inf,ns,14.065279911960424
C-WEU-DEU,Zone_6A Cold Humid,urb,inf,ns,14.065279911960424
C-WEU-DNK,Zone_5A Cool Humid,rur,inf,ns,5.40625
C-WEU-DNK,Zone_5A Cool Humid,urb,inf,ns,5.40625
C-EEU-EST,Zone_6A Cold Humid,rur,inf,ns,5.93181818
C-EEU-EST,Zone_6A Cold Humid,urb,inf,ns,5.93181818
C-WEU-GRC,Zone_3A Warm Humid,rur,inf,ns,98.91408966926664
C-WEU-GRC,Zone_3A Warm Humid,urb,inf,ns,98.91408966926664
C-WEU-GRC,Zone_4A Mixed Humid,rur,inf,ns,98.91408966926664
C-WEU-GRC,Zone_4A Mixed Humid,urb,inf,ns,98.91408966926664
C-WEU-GRC,Zone_4C Mixed Marine,rur,inf,ns,98.91408966926664
C-WEU-GRC,Zone_4C Mixed Marine,urb,inf,ns,98.91408966926664
C-WEU-GRC,Zone_5C Cool Marine,rur,inf,ns,98.91408966926664
C-WEU-GRC,Zone_5C Cool Marine,urb,inf,ns,98.91408966926664
C-WEU-GRC,Zone_5A Cool Humid,rur,inf,ns,98.91408966926664
C-WEU-GRC,Zone_5A Cool Humid,urb,inf,ns,98.91408966926664
C-WEU-ESP,Zone_3C Warm Marine,rur,inf,ns,79.33667751124113
C-WEU-ESP,Zone_3C Warm Marine,urb,inf,ns,79.33667751124113
C-WEU-ESP,Zone_4C Mixed Marine,rur,inf,ns,79.33667751124113
C-WEU-ESP,Zone_4C Mixed Marine,urb,inf,ns,79.33667751124113
C-WEU-ESP,Zone_4A Mixed Humid,rur,inf,ns,79.33667751124113
C-WEU-ESP,Zone_4A Mixed Humid,urb,inf,ns,79.33667751124113
C-WEU-ESP,Zone_3A Warm Humid,rur,inf,ns,79.33667751124113
C-WEU-ESP,Zone_3A Warm Humid,urb,inf,ns,79.33667751124113
C-WEU-ESP,Zone_3B Warm Dry,rur,inf,ns,79.33667751124113
C-WEU-ESP,Zone_3B Warm Dry,urb,inf,ns,79.33667751124113
C-WEU-ESP,Zone_2B Hot Dry,rur,inf,ns,79.33667751124113
C-WEU-ESP,Zone_2B Hot Dry,urb,inf,ns,79.33667751124113
C-WEU-FIN,Zone_6A Cold Humid,rur,inf,ns,1.8055951624028868
C-WEU-FIN,Zone_6A Cold Humid,urb,inf,ns,1.8055951624028868
C-WEU-FIN,Zone_7A Very cold Humid,rur,inf,ns,1.8055951624028868
C-WEU-FIN,Zone_7A Very cold Humid,urb,inf,ns,1.8055951624028868
C-WEU-FRA,Zone_4A Mixed Humid,rur,inf,ns,21.42690630179975
C-WEU-FRA,Zone_4A Mixed Humid,urb,inf,ns,21.42690630179975
C-WEU-FRA,Zone_5A Cool Humid,rur,inf,ns,21.42690630179975
C-WEU-FRA,Zone_5A Cool Humid,urb,inf,ns,21.42690630179975
C-WEU-FRA,Zone_3A Warm Humid,rur,inf,ns,21.42690630179975
C-WEU-FRA,Zone_3A Warm Humid,urb,inf,ns,21.42690630179975
C-WEU-FRA,Zone_7A Very cold Humid,rur,inf,ns,21.42690630179975
C-WEU-FRA,Zone_7A Very cold Humid,urb,inf,ns,21.42690630179975
C-WEU-FRA,Zone_4C Mixed Marine,rur,inf,ns,21.42690630179975
C-WEU-FRA,Zone_4C Mixed Marine,urb,inf,ns,21.42690630179975
C-WEU-FRA,Zone_3C Warm Marine,rur,inf,ns,21.42690630179975
C-WEU-FRA,Zone_3C Warm Marine,urb,inf,ns,21.42690630179975
C-WEU-FRA,Zone_1A Very hot Humid,rur,inf,ns,21.42690630179975
C-WEU-FRA,Zone_1A Very hot Humid,urb,inf,ns,21.42690630179975
C-WEU-FRA,Zone_2A Hot Humid,rur,inf,ns,21.42690630179975
C-WEU-FRA,Zone_2A Hot Humid,urb,inf,ns,21.42690630179975
C-WEU-FRA,Zone_0A Extremely hot Humid,rur,inf,ns,21.42690630179975
C-WEU-FRA,Zone_0A Extremely hot Humid,urb,inf,ns,21.42690630179975
C-EEU-HRV,Zone_4A Mixed Humid,rur,inf,ns,65.93299237303373
C-EEU-HRV,Zone_4A Mixed Humid,urb,inf,ns,65.93299237303373
C-EEU-HRV,Zone_5A Cool Humid,rur,inf,ns,65.93299237303373
C-EEU-HRV,Zone_5A Cool Humid,urb,inf,ns,65.93299237303373
C-EEU-HRV,Zone_4C Mixed Marine,rur,inf,ns,65.93299237303373
C-EEU-HRV,Zone_4C Mixed Marine,urb,inf,ns,65.93299237303373
C-EEU-HRV,Zone_3A Warm Humid,rur,inf,ns,65.93299237303373
C-EEU-HRV,Zone_3A Warm Humid,urb,inf,ns,65.93299237303373
C-EEU-HUN,Zone_4A Mixed Humid,rur,inf,ns,48.22904903570859
C-EEU-HUN,Zone_4A Mixed Humid,urb,inf,ns,48.22904903570859
C-EEU-HUN,Zone_5A Cool Humid,rur,inf,ns,48.22904903570859
C-EEU-HUN,Zone_5A Cool Humid,urb,inf,ns,48.22904903570859
C-WEU-IRL,Zone_5A Cool Humid,rur,inf,ns,0.0
C-WEU-IRL,Zone_5A Cool Humid,urb,inf,ns,0.0
C-WEU-IRL,Zone_4A Mixed Humid,rur,inf,ns,0.0
C-WEU-IRL,Zone_4A Mixed Humid,urb,inf,ns,0.0
C-WEU-ITA,Zone_4A Mixed Humid,rur,inf,ns,71.58078284266425
C-WEU-ITA,Zone_4A Mixed Humid,urb,inf,ns,71.58078284266425
C-WEU-ITA,Zone_5A Cool Humid,rur,inf,ns,71.58078284266425
C-WEU-ITA,Zone_5A Cool Humid,urb,inf,ns,71.58078284266425
C-WEU-ITA,Zone_7A Very cold Humid,rur,inf,ns,71.58078284266425
C-WEU-ITA,Zone_7A Very cold Humid,urb,inf,ns,71.58078284266425
C-WEU-ITA,Zone_6A Cold Humid,rur,inf,ns,71.58078284266425
C-WEU-ITA,Zone_6A Cold Humid,urb,inf,ns,71.58078284266425
C-WEU-ITA,Zone_3A Warm Humid,rur,inf,ns,71.58078284266425
C-WEU-ITA,Zone_3A Warm Humid,urb,inf,ns,71.58078284266425
C-WEU-ITA,Zone_4C Mixed Marine,rur,inf,ns,71.58078284266425
C-WEU-ITA,Zone_4C Mixed Marine,urb,inf,ns,71.58078284266425
C-WEU-ITA,Zone_5C Cool Marine,rur,inf,ns,71.58078284266425
C-WEU-ITA,Zone_5C Cool Marine,urb,inf,ns,71.58078284266425
C-EEU-LTU,Zone_6A Cold Humid,rur,inf,ns,14.53333334
C-EEU-LTU,Zone_6A Cold Humid,urb,inf,ns,14.53333334
C-EEU-LTU,Zone_5A Cool Humid,rur,inf,ns,14.53333334
C-EEU-LTU,Zone_5A Cool Humid,urb,inf,ns,14.53333334
C-WEU-LUX,Zone_5A Cool Humid,rur,inf,ns,6.855392160000001
C-WEU-LUX,Zone_5A Cool Humid,urb,inf,ns,6.855392160000001
C-EEU-LVA,Zone_6A Cold Humid,rur,inf,ns,9.93589744
C-EEU-LVA,Zone_6A Cold Humid,urb,inf,ns,9.93589744
C-WEU-MLT,Zone_3A Warm Humid,rur,inf,ns,76.25
C-WEU-MLT,Zone_3A Warm Humid,urb,inf,ns,76.25
C-WEU-NLD,Zone_5A Cool Humid,rur,inf,ns,6.014942651865076
C-WEU-NLD,Zone_5A Cool Humid,urb,inf,ns,6.014942651865076
C-WEU-NLD,Zone_4A Mixed Humid,rur,inf,ns,6.014942651865076
C-WEU-NLD,Zone_4A Mixed Humid,urb,inf,ns,6.014942651865076
C-EEU-POL,Zone_5A Cool Humid,rur,inf,ns,18.01219512
C-EEU-POL,Zone_5A Cool Humid,urb,inf,ns,18.01219512
C-EEU-POL,Zone_6A Cold Humid,rur,inf,ns,18.01219512
C-EEU-POL,Zone_6A Cold Humid,urb,inf,ns,18.01219512
C-WEU-PRT,Zone_3C Warm Marine,rur,inf,ns,51.608147131133876
C-WEU-PRT,Zone_3C Warm Marine,urb,inf,ns,51.608147131133876
C-WEU-PRT,Zone_4C Mixed Marine,rur,inf,ns,51.608147131133876
C-WEU-PRT,Zone_4C Mixed Marine,urb,inf,ns,51.608147131133876
C-WEU-PRT,Zone_4A Mixed Humid,rur,inf,ns,51.608147131133876
C-WEU-PRT,Zone_4A Mixed Humid,urb,inf,ns,51.608147131133876
C-WEU-PRT,Zone_3A Warm Humid,rur,inf,ns,51.608147131133876
C-WEU-PRT,Zone_3A Warm Humid,urb,inf,ns,51.608147131133876
C-EEU-ROU,Zone_5A Cool Humid,rur,inf,ns,43.653579379363464
C-EEU-ROU,Zone_5A Cool Humid,urb,inf,ns,43.653579379363464
C-EEU-ROU,Zone_6A Cold Humid,rur,inf,ns,43.653579379363464
C-EEU-ROU,Zone_6A Cold Humid,urb,inf,ns,43.653579379363464
C-EEU-ROU,Zone_4A Mixed Humid,rur,inf,ns,43.653579379363464
C-EEU-ROU,Zone_4A Mixed Humid,urb,inf,ns,43.653579379363464
C-WEU-SWE,Zone_6A Cold Humid,rur,inf,ns,5.173343879111406
C-WEU-SWE,Zone_6A Cold Humid,urb,inf,ns,5.173343879111406
C-WEU-SWE,Zone_5A Cool Humid,rur,inf,ns,5.173343879111406
C-WEU-SWE,Zone_5A Cool Humid,urb,inf,ns,5.173343879111406
C-WEU-SWE,Zone_7A Very cold Humid,rur,inf,ns,5.173343879111406
C-WEU-SWE,Zone_7A Very cold Humid,urb,inf,ns,5.173343879111406
C-WEU-SWE,Zone_8A Subarctic/arctic Humid,rur,inf,ns,5.173343879111406
C-WEU-SWE,Zone_8A Subarctic/arctic Humid,urb,inf,ns,5.173343879111406
C-EEU-SVN,Zone_4A Mixed Humid,rur,inf,ns,8.882497878614185
C-EEU-SVN,Zone_4A Mixed Humid,urb,inf,ns,8.882497878614185
C-EEU-SVN,Zone_5A Cool Humid,rur,inf,ns,8.882497878614185
C-EEU-SVN,Zone_5A Cool Humid,urb,inf,ns,8.882497878614185
C-EEU-SVN,Zone_7A Very cold Humid,rur,inf,ns,8.882497878614185
C-EEU-SVN,Zone_7A Very cold Humid,urb,inf,ns,8.882497878614185
C-EEU-SVK,Zone_5A Cool Humid,rur,inf,ns,19.851592776075424
C-EEU-SVK,Zone_5A Cool Humid,urb,inf,ns,19.851592776075424
C-EEU-SVK,Zone_6A Cold Humid,rur,inf,ns,19.851592776075424
C-EEU-SVK,Zone_6A Cold Humid,urb,inf,ns,19.851592776075424
C-WEU-AUT,Zone_5A Cool Humid,rur,mfh,s1,10.037706807400305
C-WEU-AUT,Zone_5A Cool Humid,urb,mfh,s1,10.037706807400305
C-WEU-AUT,Zone_4A Mixed Humid,rur,mfh,s1,10.037706807400305
C-WEU-AUT,Zone_4A Mixed Humid,urb,mfh,s1,10.037706807400305
C-WEU-AUT,Zone_6A Cold Humid,rur,mfh,s1,10.037706807400305
C-WEU-AUT,Zone_6A Cold Humid,urb,mfh,s1,10.037706807400305
C-WEU-AUT,Zone_7A Very cold Humid,rur,mfh,s1,10.037706807400305
C-WEU-AUT,Zone_7A Very cold Humid,urb,mfh,s1,10.037706807400305
C-WEU-BEL,Zone_4A Mixed Humid,rur,mfh,s1,6.83928571
C-WEU-BEL,Zone_4A Mixed Humid,urb,mfh,s1,6.83928571
C-WEU-BEL,Zone_5A Cool Humid,rur,mfh,s1,6.83928571
C-WEU-BEL,Zone_5A Cool Humid,urb,mfh,s1,6.83928571
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s1,33.614439468627445
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s1,33.614439468627445
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s1,33.614439468627445
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s1,33.614439468627445
C-WEU-CYP,Zone_3A Warm Humid,rur,mfh,s1,48.84375
C-WEU-CYP,Zone_3A Warm Humid,urb,mfh,s1,48.84375
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s1,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s1,10.98717949
