region_bld,clim,arch,eneff,urt,value
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,72.55555556
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,sub,72.55555556
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,72.55555556
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s1,rur,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s1,sub,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s1,urb,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s2,rur,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s2,sub,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s2,urb,43.09027778000001
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s3,rur,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s3,sub,48.951388890000004
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s3,urb,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s51_std,rur,53.09722222
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s51_std,sub,53.097222220000006
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s51_std,urb,53.09722222
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s52_low,rur,62.04166667
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s52_low,sub,62.041666670000005
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s52_low,urb,62.04166667
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr11_std,rur,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr11_std,sub,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr11_std,urb,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr12_low,rur,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr12_low,sub,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr12_low,urb,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr21_std,rur,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr21_std,sub,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr21_std,urb,43.09027778000001
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr22_low,rur,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr22_low,sub,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr22_low,urb,43.09027778000001
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr31_std,rur,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr31_std,sub,48.951388890000004
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr31_std,urb,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr32_low,rur,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr32_low,sub,48.951388890000004
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr32_low,urb,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s1,rur,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s1,sub,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s1,urb,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s2,rur,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s2,sub,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s2,urb,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s3,rur,36.75
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s3,sub,36.75
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s3,urb,36.75
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s51_std,rur,40.39583333
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s51_std,sub,40.39583333
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s51_std,urb,40.39583333
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s52_low,rur,53.20833333
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s52_low,sub,53.20833333
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s52_low,urb,53.20833333
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr11_std,rur,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr11_std,sub,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr11_std,urb,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr12_low,rur,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr12_low,sub,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr12_low,urb,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr21_std,rur,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr21_std,sub,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr21_std,urb,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr22_low,rur,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr22_low,sub,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr22_low,urb,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr31_std,rur,36.75
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr31_std,sub,36.75
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr31_std,urb,36.75
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr32_low,rur,36.75
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr32_low,sub,36.75
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr32_low,urb,36.75
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,23.333333339999996
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,sub,23.33333334
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,23.333333339999996
C-EEU-BGR,Zone_5A Cool Humid,mfh,s1,rur,16.125
C-EEU-BGR,Zone_5A Cool Humid,mfh,s1,sub,16.125
C-EEU-BGR,Zone_5A Cool Humid,mfh,s1,urb,16.125
C-EEU-BGR,Zone_5A Cool Humid,mfh,s2,rur,15.722222219999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,s2,sub,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,mfh,s2,urb,15.722222219999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,s3,rur,20.55555556
C-EEU-BGR,Zone_5A Cool Humid,mfh,s3,sub,20.555555559999995
C-EEU-BGR,Zone_5A Cool Humid,mfh,s3,urb,20.555555559999995
C-EEU-BGR,Zone_5A Cool Humid,mfh,s51_std,rur,24.625
C-EEU-BGR,Zone_5A Cool Humid,mfh,s51_std,sub,24.625
C-EEU-BGR,Zone_5A Cool Humid,mfh,s51_std,urb,24.625
C-EEU-BGR,Zone_5A Cool Humid,mfh,s52_low,rur,36.56944444
C-EEU-BGR,Zone_5A Cool Humid,mfh,s52_low,sub,36.56944444
C-EEU-BGR,Zone_5A Cool Humid,mfh,s52_low,urb,36.56944443999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr11_std,rur,16.125
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr11_std,sub,16.125
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr11_std,urb,16.125
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr12_low,rur,16.125
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr12_low,sub,16.125
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr12_low,urb,16.125
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr21_std,rur,15.722222219999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr21_std,sub,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr21_std,urb,15.722222219999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr22_low,rur,15.722222219999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr22_low,sub,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr22_low,urb,15.722222219999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr31_std,rur,20.55555556
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr31_std,sub,20.555555559999995
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr31_std,urb,20.555555559999995
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr32_low,rur,20.55555556
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr32_low,sub,20.555555559999995
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr32_low,urb,20.555555559999995
C-EEU-BGR,Zone_5A Cool Humid,sfh,s1,rur,11.666666669999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,s1,sub,11.666666669999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,s1,urb,11.666666669999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,s2,rur,10.374999999999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,s2,sub,10.375
C-EEU-BGR,Zone_5A Cool Humid,sfh,s2,urb,10.374999999999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,s3,rur,11.847222219999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,s3,sub,11.84722222
C-EEU-BGR,Zone_5A Cool Humid,sfh,s3,urb,11.847222219999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,s51_std,rur,13.999999999999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,s51_std,sub,14.0
C-EEU-BGR,Zone_5A Cool Humid,sfh,s51_std,urb,13.999999999999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,s52_low,rur,24.819444439999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,s52_low,sub,24.81944444
C-EEU-BGR,Zone_5A Cool Humid,sfh,s52_low,urb,24.81944444
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr11_std,rur,11.666666669999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr11_std,sub,11.666666669999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr11_std,urb,11.666666669999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr12_low,rur,11.666666669999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr12_low,sub,11.666666669999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr12_low,urb,11.666666669999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr21_std,rur,10.374999999999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr21_std,sub,10.375
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr21_std,urb,10.374999999999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr22_low,rur,10.374999999999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr22_low,sub,10.375
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr22_low,urb,10.374999999999998
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr31_std,rur,11.847222219999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr31_std,sub,11.84722222
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr31_std,urb,11.847222219999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr32_low,rur,11.847222219999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr32_low,sub,11.84722222
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr32_low,urb,11.847222219999999
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,14.6025641
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,sub,14.6025641
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,14.602564099999999
C-EEU-CZE,Zone_5A Cool Humid,mfh,s1,rur,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,mfh,s1,sub,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,mfh,s1,urb,10.987179489999999
C-EEU-CZE,Zone_5A Cool Humid,mfh,s2,rur,10.74358974
