region_bld,arch,eneff,value
C-EEU-BGR,inf,ns,23.972222225
C-EEU-BGR,mfh,s1,29.84375
C-EEU-BGR,mfh,s2,29.40625
C-EEU-BGR,mfh,s3,34.753472224999996
C-EEU-BGR,mfh,s51_std,38.861111109999996
C-EEU-BGR,mfh,s52_low,49.305555555
C-EEU-BGR,mfh,sr11_std,29.84375
C-EEU-BGR,mfh,sr12_low,29.84375
C-EEU-BGR,mfh,sr21_std,29.40625
C-EEU-BGR,mfh,sr22_low,29.40625
C-EEU-BGR,mfh,sr31_std,34.753472224999996
C-EEU-BGR,mfh,sr32_low,34.753472224999996
C-EEU-BGR,sfh,s1,23.972222225
C-EEU-BGR,sfh,s2,21.836805555
C-EEU-BGR,sfh,s3,24.29861111
C-EEU-BGR,sfh,s51_std,27.197916665
C-EEU-BGR,sfh,s52_low,39.013888885
C-EEU-BGR,sfh,sr11_std,23.972222225
C-EEU-BGR,sfh,sr12_low,23.972222225
C-EEU-BGR,sfh,sr21_std,21.836805555
C-EEU-BGR,sfh,sr22_low,21.836805555
C-EEU-BGR,sfh,sr31_std,24.29861111
C-EEU-BGR,sfh,sr32_low,24.29861111
C-EEU-CZE,inf,ns,7.301282051
C-EEU-CZE,mfh,s1,10.98717949
C-EEU-CZE,mfh,s2,10.74358974
C-EEU-CZE,mfh,s3,13.96794872
C-EEU-CZE,mfh,s51_std,16.71153846
C-EEU-CZE,mfh,s52_low,25.8525641
C-EEU-CZE,mfh,sr11_std,10.98717949
C-EEU-CZE,mfh,sr12_low,10.98717949
C-EEU-CZE,mfh,sr21_std,10.74358974
C-EEU-CZE,mfh,sr22_low,10.74358974
C-EEU-CZE,mfh,sr31_std,13.96794872
C-EEU-CZE,mfh,sr32_low,13.96794872
C-EEU-CZE,sfh,s1,7.301282051
C-EEU-CZE,sfh,s2,6.307692308
C-EEU-CZE,sfh,s3,7.794871795
C-EEU-CZE,sfh,s51_std,9.519230769
C-EEU-CZE,sfh,s52_low,16.80128205
C-EEU-CZE,sfh,sr11_std,7.301282051
C-EEU-CZE,sfh,sr12_low,7.301282051
C-EEU-CZE,sfh,sr21_std,6.307692308
C-EEU-CZE,sfh,sr22_low,6.307692308
C-EEU-CZE,sfh,sr31_std,7.794871795
C-EEU-CZE,sfh,sr32_low,7.794871795
C-EEU-EST,inf,ns,2.965909091
C-EEU-EST,mfh,s1,5.448863636
C-EEU-EST,mfh,s2,5.352272727
C-EEU-EST,mfh,s3,7.926136364
C-EEU-EST,mfh,s51_std,10.34659091
C-EEU-EST,mfh,s52_low,19.125
C-EEU-EST,mfh,sr11_std,5.448863636
C-EEU-EST,mfh,sr12_low,5.448863636
C-EEU-EST,mfh,sr21_std,5.352272727
C-EEU-EST,mfh,sr22_low,5.352272727
C-EEU-EST,mfh,sr31_std,7.926136364
C-EEU-EST,mfh,sr32_low,7.926136364
C-EEU-EST,sfh,s1,2.965909091
C-EEU-EST,sfh,s2,2.278409091
C-EEU-EST,sfh,s3,3.494318182
C-EEU-EST,sfh,s51_std,4.704545455
C-EEU-EST,sfh,s52_low,10.41477273
C-EEU-EST,sfh,sr11_std,2.965909091
C-EEU-EST,sfh,sr12_low,2.965909091
C-EEU-EST,sfh,sr21_std,2.278409091
C-EEU-EST,sfh,sr22_low,2.278409091
C-EEU-EST,sfh,sr31_std,3.494318182
C-EEU-EST,sfh,sr32_low,3.494318182
C-EEU-HRV,inf,ns,57.42335105193913
C-EEU-HRV,mfh,s1,13.334558488466325
C-EEU-HRV,mfh,s2,32.317258107551254
C-EEU-HRV,mfh,s3,9.746580178681823
C-EEU-HRV,mfh,s51_std,10.411165564474995
C-EEU-HRV,mfh,s52_low,15.953052880637582
C-EEU-HRV,mfh,sr11_std,12.474403693987494
C-EEU-HRV,mfh,sr12_low,12.801989171816679
C-EEU-HRV,mfh,sr21_std,16.9445145281871
C-EEU-HRV,mfh,sr22_low,14.772695493648829
C-EEU-HRV,mfh,sr31_std,9.176696997145207
C-EEU-HRV,mfh,sr32_low,16.333972123725616
C-EEU-HRV,sfh,s1,30.264409331281374
C-EEU-HRV,sfh,s2,17.736646480763657
C-EEU-HRV,sfh,s3,9.602251516783705
C-EEU-HRV,sfh,s51_std,26.606779110945144
C-EEU-HRV,sfh,s52_low,43.299714339117514
C-EEU-HRV,sfh,sr11_std,21.687182123928995
C-EEU-HRV,sfh,sr12_low,26.159415004121566
C-EEU-HRV,sfh,sr21_std,34.67553908516843
C-EEU-HRV,sfh,sr22_low,4.903378352064921
C-EEU-HRV,sfh,sr31_std,9.875386311347816
C-EEU-HRV,sfh,sr32_low,14.423196358137037
C-EEU-HUN,inf,ns,21.9875
C-EEU-HUN,mfh,s1,28.230208335
C-EEU-HUN,mfh,s2,27.74375
C-EEU-HUN,mfh,s3,34.366666665
C-EEU-HUN,mfh,s51_std,38.567708335
C-EEU-HUN,mfh,s52_low,49.892708334999995
C-EEU-HUN,mfh,sr11_std,28.230208335
