region_bld,clim,urt,arch,eneff,region_nuts,value
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT111,7.420454545
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT111,7.420454545
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT112,16.0
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT112,16.0
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT113,7.420454545
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT113,7.420454545
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT121,7.420454545
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT121,7.420454545
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT122,7.420454545
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT122,7.420454545
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT123,7.420454545
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT123,7.420454545
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT124,7.420454545
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT124,7.420454545
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT125,7.420454545
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT125,7.420454545
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT126,7.420454545
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT126,7.420454545
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT127,16.0
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT127,16.0
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT130,16.0
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT130,16.0
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT211,0.1875
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT211,0.1875
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,C-WEU-AUT-AT212,20.239238519684427
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,C-WEU-AUT-AT212,20.239238519684427
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT213,7.420454545
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT213,7.420454545
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT221,0.1875
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT221,0.1875
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT222,0.1875
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT222,0.1875
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT223,0.1875
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT223,0.1875
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT224,16.0
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT224,16.0
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT225,7.420454545
