region_bld,clim,urt,arch,eneff,region_nuts,value
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT111,5.494575275
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT111,7.597851549
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT112,15.24607606
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT112,15.24607606
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT113,5.494575275
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT113,7.597851549
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT121,5.494575275
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT121,7.597851549
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT122,5.494575275
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT122,7.597851549
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT123,5.494575275
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT123,7.597851549
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT124,5.494575275
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT124,7.597851549
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT125,5.494575275
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT125,7.597851549
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT126,5.494575275
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT126,7.597851549
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT127,15.24607606
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT127,15.24607606
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT130,15.24607606
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT130,15.24607606
