region_bld,clim,urt,arch,eneff,value
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,13.716568087432611
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,13.716568087432611
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,13.716568087432611
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,13.716568087432611
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,13.716568087432611
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,13.716568087432611
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,13.716568087432611
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,13.716568087432611
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,8.1800675098154
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,8.1800675098154
C-WEU-BEL,Zone_5A Cool Humid,rur,inf,ns,8.1800675098154
C-WEU-BEL,Zone_5A Cool Humid,urb,inf,ns,8.1800675098154
C-EEU-BGR,Zone_4A Mixed Humid,rur,inf,ns,47.736839568401415
C-EEU-BGR,Zone_4A Mixed Humid,urb,inf,ns,47.736839568401415
C-EEU-BGR,Zone_5A Cool Humid,rur,inf,ns,47.736839568401415
C-EEU-BGR,Zone_5A Cool Humid,urb,inf,ns,47.736839568401415
C-WEU-CYP,Zone_3A Warm Humid,rur,inf,ns,283.654266381031
C-WEU-CYP,Zone_3A Warm Humid,urb,inf,ns,283.654266381031
C-EEU-CZE,Zone_5A Cool Humid,rur,inf,ns,8.19719712184
C-EEU-CZE,Zone_5A Cool Humid,urb,inf,ns,8.19719712184
C-WEU-DEU,Zone_5A Cool Humid,rur,inf,ns,12.425725769388393
C-WEU-DEU,Zone_5A Cool Humid,urb,inf,ns,12.425725769388393
C-WEU-DEU,Zone_4A Mixed Humid,rur,inf,ns,12.425725769388393
C-WEU-DEU,Zone_4A Mixed Humid,urb,inf,ns,12.425725769388393
C-WEU-DEU,Zone_6A Cold Humid,rur,inf,ns,12.425725769388393
C-WEU-DEU,Zone_6A Cold Humid,urb,inf,ns,12.425725769388393
C-WEU-DNK,Zone_5A Cool Humid,rur,inf,ns,3.3494220515584
C-WEU-DNK,Zone_5A Cool Humid,urb,inf,ns,3.3494220515584
C-EEU-EST,Zone_6A Cold Humid,rur,inf,ns,3.0458271118400004
C-EEU-EST,Zone_6A Cold Humid,urb,inf,ns,3.0458271118400004
C-WEU-GRC,Zone_3A Warm Humid,rur,inf,ns,157.86086263085843
C-WEU-GRC,Zone_3A Warm Humid,urb,inf,ns,157.86086263085843
C-WEU-GRC,Zone_4A Mixed Humid,rur,inf,ns,157.86086263085843
C-WEU-GRC,Zone_4A Mixed Humid,urb,inf,ns,157.86086263085843
C-WEU-GRC,Zone_4C Mixed Marine,rur,inf,ns,157.86086263085843
C-WEU-GRC,Zone_4C Mixed Marine,urb,inf,ns,157.86086263085843
C-WEU-GRC,Zone_5C Cool Marine,rur,inf,ns,157.86086263085843
