region_bld,clim,arch,eneff,urt,region_nuts,value
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT111,5.49457528
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT111,7.59785155
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-AUT-AT112,15.24607606
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-AUT-AT112,15.24607606
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT113,5.49457528
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT113,7.59785155
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT121,5.49457528
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT121,7.59785155
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT122,5.49457528
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT122,7.59785155
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT123,5.49457528
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT123,7.59785155
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT124,5.49457528
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT124,7.59785155
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT125,5.49457528
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT125,7.59785155
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT126,5.49457528
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT126,7.59785155
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-AUT-AT127,15.24607606
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-AUT-AT127,15.24607606
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-AUT-AT130,15.24607606
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-AUT-AT130,15.24607606
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT211,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT211,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,rur,C-WEU-AUT-AT212,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,urb,C-WEU-AUT-AT212,0.0
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT213,5.49457528
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT213,7.59785155
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT221,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT221,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT222,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT222,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT223,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT223,0.0
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-AUT-AT224,15.24607606
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-AUT-AT224,15.24607606
