region_bld,clim,arch,eneff,urt,value
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,64.26429792
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,sub,64.11843908
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,63.97258024
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s1,rur,24.31615313
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s1,sub,24.38046684
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s1,urb,24.44478056
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s2,rur,22.9619112
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s2,sub,23.0119668
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s2,urb,23.062022400000004
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s3,rur,23.90456116
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s3,sub,23.91095552
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s3,urb,23.91734987
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s51_std,rur,25.21327567
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s51_std,sub,25.19272959
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s51_std,urb,25.17218351
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s52_low,rur,29.64203319
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s52_low,sub,29.635446010000003
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s52_low,urb,29.62885883
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr11_std,rur,24.31615313
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr11_std,sub,24.38046684
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr11_std,urb,24.44478056
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr12_low,rur,24.31615313
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr12_low,sub,24.38046684
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr12_low,urb,24.44478056
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr21_std,rur,22.9619112
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr21_std,sub,23.0119668
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr21_std,urb,23.062022400000004
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr22_low,rur,22.9619112
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr22_low,sub,23.0119668
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr22_low,urb,23.062022400000004
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr31_std,rur,23.90456116
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr31_std,sub,23.91095552
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr31_std,urb,23.91734987
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr32_low,rur,23.90456116
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr32_low,sub,23.91095552
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr32_low,urb,23.91734987
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s1,rur,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s1,sub,32.05921954
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s1,urb,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s2,rur,26.95906447
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s2,sub,26.90206336
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s2,urb,26.845062240000004
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s3,rur,22.33590378
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s3,sub,22.30034922
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s3,urb,22.26479467
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s51_std,rur,21.58084986
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s51_std,sub,21.64255339
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s51_std,urb,21.70425692
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s52_low,rur,25.71223898
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s52_low,sub,25.68655336
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s52_low,urb,25.660867750000005
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr11_std,rur,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr11_std,sub,32.05921954
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr11_std,urb,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr12_low,rur,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr12_low,sub,32.05921954
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr12_low,urb,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr21_std,rur,26.95906447
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr21_std,sub,26.90206336
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr21_std,urb,26.845062240000004
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr22_low,rur,26.95906447
