region_bld,arch,eneff,value
C-EEU-BGR,inf,ns,20.6281263035
C-EEU-BGR,mfh,s1,16.108681964
C-EEU-BGR,mfh,s2,15.1741349535
C-EEU-BGR,mfh,s3,16.340546756
C-EEU-BGR,mfh,s51_std,17.72689016825
C-EEU-BGR,mfh,s52_low,22.6660646325
C-EEU-BGR,mfh,sr11_std,16.108681964
C-EEU-BGR,mfh,sr12_low,16.108681964
C-EEU-BGR,mfh,sr21_std,15.1741349535
C-EEU-BGR,mfh,sr22_low,15.1741349535
C-EEU-BGR,mfh,sr31_std,16.340546756
C-EEU-BGR,mfh,sr32_low,16.340546756
C-EEU-BGR,sfh,s1,20.6281263035
C-EEU-BGR,sfh,s2,17.20955646775
C-EEU-BGR,sfh,s3,14.38296727375
C-EEU-BGR,sfh,s51_std,14.13441531975
C-EEU-BGR,sfh,s52_low,18.08638386375
C-EEU-BGR,sfh,sr11_std,20.6281263035
C-EEU-BGR,sfh,sr12_low,20.6281263035
C-EEU-BGR,sfh,sr21_std,17.20955646775
C-EEU-BGR,sfh,sr22_low,17.20955646775
C-EEU-BGR,sfh,sr31_std,14.38296727375
C-EEU-BGR,sfh,sr32_low,14.38296727375
C-EEU-CZE,inf,ns,3.9727539385000004
C-EEU-CZE,mfh,s1,4.2303388385
C-EEU-CZE,mfh,s2,3.9949917700000004
C-EEU-CZE,mfh,s3,5.1050344905
C-EEU-CZE,mfh,s51_std,6.164113843
C-EEU-CZE,mfh,s52_low,10.0523812585
C-EEU-CZE,mfh,sr11_std,4.2303388385
C-EEU-CZE,mfh,sr12_low,4.2303388385
C-EEU-CZE,mfh,sr21_std,3.9949917700000004
C-EEU-CZE,mfh,sr22_low,3.9949917700000004
C-EEU-CZE,mfh,sr31_std,5.1050344905
C-EEU-CZE,mfh,sr32_low,5.1050344905
C-EEU-CZE,sfh,s1,3.9727539385000004
C-EEU-CZE,sfh,s2,3.205438545
C-EEU-CZE,sfh,s3,3.1113917840000003
C-EEU-CZE,sfh,s51_std,3.495092808
C-EEU-CZE,sfh,s52_low,6.276578505
C-EEU-CZE,sfh,sr11_std,3.9727539385000004
C-EEU-CZE,sfh,sr12_low,3.9727539385000004
C-EEU-CZE,sfh,sr21_std,3.205438545
C-EEU-CZE,sfh,sr22_low,3.205438545
C-EEU-CZE,sfh,sr31_std,3.1113917840000003
C-EEU-CZE,sfh,sr32_low,3.1113917840000003
C-EEU-EST,inf,ns,1.5016432425000001
C-EEU-EST,mfh,s1,1.9499155175
C-EEU-EST,mfh,s2,1.8443542025
C-EEU-EST,mfh,s3,2.8713020345
C-EEU-EST,mfh,s51_std,3.806944406
C-EEU-EST,mfh,s52_low,7.984046111
C-EEU-EST,mfh,sr11_std,1.9499155175
C-EEU-EST,mfh,sr12_low,1.9499155175
C-EEU-EST,mfh,sr21_std,1.8443542025
C-EEU-EST,mfh,sr22_low,1.8443542025
C-EEU-EST,mfh,sr31_std,2.8713020345
C-EEU-EST,mfh,sr32_low,2.8713020345
C-EEU-EST,sfh,s1,1.5016432425000001
C-EEU-EST,sfh,s2,1.1896153815
C-EEU-EST,sfh,s3,1.3246974985
