region_gea,arch,urt,value
AFR,mfh,rur,0.112314086
AFR,mfh,urb,0.112314086
AFR,mfh,sub,0.112314086
AFR,sfh,rur,0.07861986
AFR,sfh,urb,0.07861986
AFR,sfh,sub,0.07861986
CPA,mfh,rur,0.117637784
CPA,mfh,urb,0.117637784
CPA,mfh,sub,0.117637784
CPA,sfh,rur,0.082346449
CPA,sfh,urb,0.082346449
CPA,sfh,sub,0.082346449
EEU,mfh,rur,0.1
EEU,mfh,urb,0.1
EEU,mfh,sub,0.1
EEU,sfh,rur,0.07
EEU,sfh,urb,0.07
EEU,sfh,sub,0.07
FSU,mfh,rur,0.1
FSU,mfh,urb,0.1
FSU,mfh,sub,0.1
FSU,sfh,rur,0.07
FSU,sfh,urb,0.07
FSU,sfh,sub,0.07
LAC,mfh,rur,0.12190203
LAC,mfh,urb,0.12190203
LAC,mfh,sub,0.12190203
LAC,sfh,rur,0.085331421
LAC,sfh,urb,0.085331421
LAC,sfh,sub,0.085331421
MEA,mfh,rur,0.133018871
MEA,mfh,urb,0.133018871
MEA,mfh,sub,0.133018871
MEA,sfh,rur,0.09311321
MEA,sfh,urb,0.09311321
MEA,sfh,sub,0.09311321
NAM,mfh,rur,0.1
NAM,mfh,urb,0.1
NAM,mfh,sub,0.1
NAM,sfh,rur,0.07
NAM,sfh,urb,0.07
NAM,sfh,sub,0.07
PAO,mfh,rur,0.1
PAO,mfh,urb,0.1
PAO,mfh,sub,0.1
PAO,sfh,rur,0.07
PAO,sfh,urb,0.07
PAO,sfh,sub,0.07
PAS,mfh,rur,0.125634328
PAS,mfh,urb,0.125634328
PAS,mfh,sub,0.125634328
PAS,sfh,rur,0.087944029
PAS,sfh,urb,0.087944029
PAS,sfh,sub,0.087944029
SAS,mfh,rur,0.125634328
SAS,mfh,urb,0.125634328
SAS,mfh,sub,0.125634328
SAS,sfh,rur,0.087944029
SAS,sfh,urb,0.087944029
SAS,sfh,sub,0.087944029
WEU,mfh,rur,0.1
WEU,mfh,urb,0.1
WEU,mfh,sub,0.1
WEU,sfh,rur,0.07
WEU,sfh,urb,0.07
WEU,sfh,sub,0.07
