region_gea,arch,tenr,urt,value
AFR,mfh,own,rur,0.112314086
AFR,mfh,own,urb,0.112314086
AFR,mfh,own,sub,0.112314086
AFR,mfh,rent,rur,0.449256345
AFR,mfh,rent,urb,0.449256345
AFR,mfh,rent,sub,0.449256345
AFR,sfh,own,rur,0.07861986
AFR,sfh,own,urb,0.07861986
AFR,sfh,own,sub,0.07861986
AFR,sfh,rent,rur,0.393099302
AFR,sfh,rent,urb,0.393099302
AFR,sfh,rent,sub,0.393099302
CPA,mfh,own,rur,0.117637784
CPA,mfh,own,urb,0.117637784
CPA,mfh,own,sub,0.117637784
CPA,mfh,rent,rur,0.470551135
CPA,mfh,rent,urb,0.470551135
CPA,mfh,rent,sub,0.470551135
CPA,sfh,own,rur,0.082346449
CPA,sfh,own,urb,0.082346449
CPA,sfh,own,sub,0.082346449
CPA,sfh,rent,rur,0.411732243
CPA,sfh,rent,urb,0.411732243
CPA,sfh,rent,sub,0.411732243
EEU,mfh,own,rur,0.1
EEU,mfh,own,urb,0.1
EEU,mfh,own,sub,0.1
EEU,mfh,rent,rur,0.4
EEU,mfh,rent,urb,0.4
EEU,mfh,rent,sub,0.4
EEU,sfh,own,rur,0.07
EEU,sfh,own,urb,0.07
EEU,sfh,own,sub,0.07
EEU,sfh,rent,rur,0.35
EEU,sfh,rent,urb,0.35
EEU,sfh,rent,sub,0.35
FSU,mfh,own,rur,0.1
FSU,mfh,own,urb,0.1
FSU,mfh,own,sub,0.1
FSU,mfh,rent,rur,0.4
FSU,mfh,rent,urb,0.4
FSU,mfh,rent,sub,0.4
FSU,sfh,own,rur,0.07
FSU,sfh,own,urb,0.07
FSU,sfh,own,sub,0.07
FSU,sfh,rent,rur,0.35
FSU,sfh,rent,urb,0.35
FSU,sfh,rent,sub,0.35
LAC,mfh,own,rur,0.12190203
LAC,mfh,own,urb,0.12190203
LAC,mfh,own,sub,0.12190203
LAC,mfh,rent,rur,0.487608121
LAC,mfh,rent,urb,0.487608121
LAC,mfh,rent,sub,0.487608121
LAC,sfh,own,rur,0.085331421
LAC,sfh,own,urb,0.085331421
LAC,sfh,own,sub,0.085331421
LAC,sfh,rent,rur,0.426657106
LAC,sfh,rent,urb,0.426657106
LAC,sfh,rent,sub,0.426657106
MEA,mfh,own,rur,0.133018871
MEA,mfh,own,urb,0.133018871
MEA,mfh,own,sub,0.133018871
MEA,mfh,rent,rur,0.532075485
MEA,mfh,rent,urb,0.532075485
MEA,mfh,rent,sub,0.532075485
MEA,sfh,own,rur,0.09311321
MEA,sfh,own,urb,0.09311321
MEA,sfh,own,sub,0.09311321
MEA,sfh,rent,rur,0.465566049
MEA,sfh,rent,urb,0.465566049
MEA,sfh,rent,sub,0.465566049
NAM,mfh,own,rur,0.1
NAM,mfh,own,urb,0.1
NAM,mfh,own,sub,0.1
NAM,mfh,rent,rur,0.4
NAM,mfh,rent,urb,0.4
NAM,mfh,rent,sub,0.4
NAM,sfh,own,rur,0.07
NAM,sfh,own,urb,0.07
NAM,sfh,own,sub,0.07
NAM,sfh,rent,rur,0.35
NAM,sfh,rent,urb,0.35
NAM,sfh,rent,sub,0.35
PAO,mfh,own,rur,0.1
PAO,mfh,own,urb,0.1
PAO,mfh,own,sub,0.1
PAO,mfh,rent,rur,0.4
PAO,mfh,rent,urb,0.4
PAO,mfh,rent,sub,0.4
PAO,sfh,own,rur,0.07
PAO,sfh,own,urb,0.07
PAO,sfh,own,sub,0.07
PAO,sfh,rent,rur,0.35
PAO,sfh,rent,urb,0.35
PAO,sfh,rent,sub,0.35
PAS,mfh,own,rur,0.125634328
PAS,mfh,own,urb,0.125634328
PAS,mfh,own,sub,0.125634328
PAS,mfh,rent,rur,0.502537311
PAS,mfh,rent,urb,0.502537311
PAS,mfh,rent,sub,0.502537311
PAS,sfh,own,rur,0.087944029
PAS,sfh,own,urb,0.087944029
PAS,sfh,own,sub,0.087944029
PAS,sfh,rent,rur,0.439720147
PAS,sfh,rent,urb,0.439720147
PAS,sfh,rent,sub,0.439720147
SAS,mfh,own,rur,0.125634328
SAS,mfh,own,urb,0.125634328
SAS,mfh,own,sub,0.125634328
SAS,mfh,rent,rur,0.502537311
SAS,mfh,rent,urb,0.502537311
SAS,mfh,rent,sub,0.502537311
SAS,sfh,own,rur,0.087944029
SAS,sfh,own,urb,0.087944029
SAS,sfh,own,sub,0.087944029
SAS,sfh,rent,rur,0.439720147
SAS,sfh,rent,urb,0.439720147
SAS,sfh,rent,sub,0.439720147
WEU,mfh,own,rur,0.1
WEU,mfh,own,urb,0.1
WEU,mfh,own,sub,0.1
WEU,mfh,rent,rur,0.4
WEU,mfh,rent,urb,0.4
WEU,mfh,rent,sub,0.4
WEU,sfh,own,rur,0.07
WEU,sfh,own,urb,0.07
WEU,sfh,own,sub,0.07
WEU,sfh,rent,rur,0.35
WEU,sfh,rent,urb,0.35
WEU,sfh,rent,sub,0.35
