region_gea,arch,tenr,value
AFR,mfh,own,0.112314086
AFR,mfh,rent,0.449256345
AFR,sfh,own,0.07861986
AFR,sfh,rent,0.393099302
CPA,mfh,own,0.11763778399999998
CPA,mfh,rent,0.470551135
CPA,sfh,own,0.082346449
CPA,sfh,rent,0.41173224300000005
EEU,mfh,own,0.10000000000000002
EEU,mfh,rent,0.4000000000000001
EEU,sfh,own,0.07
EEU,sfh,rent,0.3499999999999999
FSU,mfh,own,0.10000000000000002
FSU,mfh,rent,0.4000000000000001
FSU,sfh,own,0.07
FSU,sfh,rent,0.3499999999999999
LAC,mfh,own,0.12190203
LAC,mfh,rent,0.487608121
LAC,sfh,own,0.085331421
LAC,sfh,rent,0.426657106
MEA,mfh,own,0.133018871
MEA,mfh,rent,0.532075485
MEA,sfh,own,0.09311321
MEA,sfh,rent,0.465566049
NAM,mfh,own,0.10000000000000002
NAM,mfh,rent,0.4000000000000001
NAM,sfh,own,0.07
NAM,sfh,rent,0.3499999999999999
PAO,mfh,own,0.10000000000000002
PAO,mfh,rent,0.4000000000000001
PAO,sfh,own,0.07
PAO,sfh,rent,0.3499999999999999
PAS,mfh,own,0.125634328
PAS,mfh,rent,0.502537311
PAS,sfh,own,0.08794402900000002
PAS,sfh,rent,0.439720147
SAS,mfh,own,0.125634328
SAS,mfh,rent,0.502537311
SAS,sfh,own,0.08794402900000002
SAS,sfh,rent,0.439720147
WEU,mfh,own,0.10000000000000002
WEU,mfh,rent,0.4000000000000001
WEU,sfh,own,0.07
WEU,sfh,rent,0.3499999999999999
