region_bld,region_nuts,urt,arch,mat,year,value
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2015,34.39135740303677
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2020,37.098630973977386
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2025,39.7809889924828
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2030,38.6644733013086
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2035,37.5479576101344
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2040,36.4314419189602
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2045,35.314926227786
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2050,34.1984105366118
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2055,34.1984105366118
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2060,34.1984105366118
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2065,34.1984105366118
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2070,34.1984105366118
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2075,34.1984105366118
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2080,34.1984105366118
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2085,34.1984105366118
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2090,34.1984105366118
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2095,34.1984105366118
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2100,34.1984105366118
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,perm,2015,43.27488883209893
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,perm,2020,46.681470354466654
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,perm,2025,50.05670046979876
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,perm,2030,48.04775105457173
