region_bld,region_nuts,urt,arch,mat,year,value
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2015,34.39135740303677
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2020,37.098630973977386
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2025,39.7809889924828
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2030,35.599052063551454
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2035,31.41711513462011
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2040,27.23517820568877
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2045,23.053241276757426
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2050,18.871304347826086
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2055,18.871304347826086
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2060,18.871304347826086
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2065,18.871304347826086
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2070,18.871304347826086
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2075,18.871304347826086
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2080,18.871304347826086
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2085,18.871304347826086
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2090,18.871304347826086
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2095,18.871304347826086
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,perm,2100,18.871304347826086
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,perm,2015,43.27488883209893
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,perm,2020,46.681470354466654
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,perm,2025,50.05670046979876
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,perm,2030,43.83394292366444
