region_bld,region_nuts,urt,mat,arch,year,value
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2015,34.39135740303677
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2020,37.098630973977386
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2025,39.780988992482804
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2030,42.403248715916774
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2035,44.93362337184532
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2040,47.345139732250466
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2045,49.616559644942626
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2050,51.73276938684033
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2055,53.684677283511064
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2060,55.46871614657624
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2065,57.08607525934781
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2070,58.54178930517285
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2075,59.843794825831566
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2080,61.002038138363844
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2085,62.02768885074174
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2090,62.93248667239419
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2095,63.72822815303644
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2100,64.42638576871578
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2015,32.3393933303245
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2020,34.88513714196465
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2025,37.40745197401969
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2030,39.873254294505436
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2035,42.25265387267298
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2040,44.52028683480978
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2045,46.656182232757956
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2050,48.64612809964976
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2055,50.48157520226317
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2060,52.159169176984896
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2065,53.68002839533835
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2070,55.0488871042654
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2075,56.27320831357252
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2080,57.36234492341857
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2085,58.32680006751489
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2090,59.177613027049205
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2095,59.92587650842963
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2100,60.58237847259684
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2015,43.27488883209893
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2020,46.681470354466654
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2025,50.056700469798756
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2030,53.3563084820953
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2035,56.54029684344841
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2040,59.5747249677478
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2045,62.43286874256142
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2050,65.09571048003411
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2055,67.55181002989761
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2060,69.79667876848337
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2065,71.83181319527029
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2070,73.66354850215207
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2075,75.30187128430407
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2080,76.7592970511814
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2085,78.04988062152438
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2090,79.18839413739501
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2095,80.18968128343005
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2100,81.06817795428164
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2015,42.521833560677194
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2020,45.869134886745336
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2025,49.18563036501342
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2030,52.42781968758354
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2035,55.55640135281707
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2040,58.53802535075287
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2045,61.346432662984775
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2050,63.9629365062529
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2055,66.37629582751462
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2060,68.58210009970809
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2065,70.58181980805392
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2070,72.38167985637202
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2075,73.99149308397193
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2080,75.42355722341912
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2085,76.69168248136985
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2090,77.8103839526366
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2095,78.79424703647335
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2100,79.65745640758429
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2015,35.45572604611439
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2020,38.24678628076162
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2025,41.01215985840727
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2030,43.71557517540854
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2035,46.32426169927083
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2040,48.81041141497521
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2045,51.152128876612565
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2050,53.333832610650646
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2055,55.34614956693031
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2060,57.18540215714284
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2065,58.85281647140168
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2070,60.35358301008142
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2075,61.69588394080676
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2080,62.88997340644275
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2085,63.94736670008058
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2090,64.88016686018119
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2095,65.70053552462623
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2100,66.4203002279627
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2015,33.340256302773255
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2020,35.96478763811201
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2025,38.56516489683276
