region_bld,urt,arch,mat,year,value
C-EEU-BGR,rur,mfh,perm,2015,19.23461899
C-EEU-BGR,rur,mfh,perm,2020,20.74876032
C-EEU-BGR,rur,mfh,perm,2025,22.24896672
C-EEU-BGR,rur,mfh,perm,2030,21.67648598214156
C-EEU-BGR,rur,mfh,perm,2035,21.104005244283123
C-EEU-BGR,rur,mfh,perm,2040,20.531524506424685
C-EEU-BGR,rur,mfh,perm,2045,19.959043768566247
C-EEU-BGR,rur,mfh,perm,2050,19.38656303070781
C-EEU-BGR,rur,mfh,perm,2055,19.38656303070781
C-EEU-BGR,rur,mfh,perm,2060,19.38656303070781
C-EEU-BGR,rur,mfh,perm,2065,19.38656303070781
C-EEU-BGR,rur,mfh,perm,2070,19.38656303070781
C-EEU-BGR,rur,mfh,perm,2075,19.38656303070781
C-EEU-BGR,rur,mfh,perm,2080,19.38656303070781
C-EEU-BGR,rur,mfh,perm,2085,19.38656303070781
C-EEU-BGR,rur,mfh,perm,2090,19.38656303070781
C-EEU-BGR,rur,mfh,perm,2095,19.38656303070781
C-EEU-BGR,rur,mfh,perm,2100,19.38656303070781
C-EEU-BGR,rur,sfh,perm,2015,32.15558145
C-EEU-BGR,rur,sfh,perm,2020,34.68685565
C-EEU-BGR,rur,sfh,perm,2025,37.19483406
C-EEU-BGR,rur,sfh,perm,2030,35.60844143978387
C-EEU-BGR,rur,sfh,perm,2035,34.022048819567736
C-EEU-BGR,rur,sfh,perm,2040,32.435656199351605
C-EEU-BGR,rur,sfh,perm,2045,30.849263579135474
C-EEU-BGR,rur,sfh,perm,2050,29.262870958919343
C-EEU-BGR,rur,sfh,perm,2055,29.262870958919343
C-EEU-BGR,rur,sfh,perm,2060,29.262870958919343
C-EEU-BGR,rur,sfh,perm,2065,29.262870958919343
C-EEU-BGR,rur,sfh,perm,2070,29.262870958919343
C-EEU-BGR,rur,sfh,perm,2075,29.262870958919343
C-EEU-BGR,rur,sfh,perm,2080,29.262870958919343
C-EEU-BGR,rur,sfh,perm,2085,29.262870958919343
C-EEU-BGR,rur,sfh,perm,2090,29.262870958919343
C-EEU-BGR,rur,sfh,perm,2095,29.262870958919343
C-EEU-BGR,rur,sfh,perm,2100,29.262870958919343
C-EEU-BGR,urb,mfh,perm,2015,18.08698336
C-EEU-BGR,urb,mfh,perm,2020,19.51078329
C-EEU-BGR,urb,mfh,perm,2025,20.92147971
C-EEU-BGR,urb,mfh,perm,2030,20.40247518524366
C-EEU-BGR,urb,mfh,perm,2035,19.88347066048732
C-EEU-BGR,urb,mfh,perm,2040,19.364466135730982
C-EEU-BGR,urb,mfh,perm,2045,18.845461610974642
C-EEU-BGR,urb,mfh,perm,2050,18.3264570862183
C-EEU-BGR,urb,mfh,perm,2055,18.3264570862183
C-EEU-BGR,urb,mfh,perm,2060,18.3264570862183
C-EEU-BGR,urb,mfh,perm,2065,18.3264570862183
C-EEU-BGR,urb,mfh,perm,2070,18.3264570862183
C-EEU-BGR,urb,mfh,perm,2075,18.3264570862183
C-EEU-BGR,urb,mfh,perm,2080,18.3264570862183
C-EEU-BGR,urb,mfh,perm,2085,18.3264570862183
C-EEU-BGR,urb,mfh,perm,2090,18.3264570862183
C-EEU-BGR,urb,mfh,perm,2095,18.3264570862183
C-EEU-BGR,urb,mfh,perm,2100,18.3264570862183
C-EEU-BGR,urb,sfh,perm,2015,31.59602068
C-EEU-BGR,urb,sfh,perm,2020,34.08324649
C-EEU-BGR,urb,sfh,perm,2025,36.54758189
C-EEU-BGR,urb,sfh,perm,2030,34.99843896065829
C-EEU-BGR,urb,sfh,perm,2035,33.44929603131659
C-EEU-BGR,urb,sfh,perm,2040,31.90015310197489
C-EEU-BGR,urb,sfh,perm,2045,30.35101017263319
C-EEU-BGR,urb,sfh,perm,2050,28.801867243291486
C-EEU-BGR,urb,sfh,perm,2055,28.801867243291486
C-EEU-BGR,urb,sfh,perm,2060,28.801867243291486
C-EEU-BGR,urb,sfh,perm,2065,28.801867243291486
C-EEU-BGR,urb,sfh,perm,2070,28.801867243291486
C-EEU-BGR,urb,sfh,perm,2075,28.801867243291486
C-EEU-BGR,urb,sfh,perm,2080,28.801867243291486
C-EEU-BGR,urb,sfh,perm,2085,28.801867243291486
C-EEU-BGR,urb,sfh,perm,2090,28.801867243291486
C-EEU-BGR,urb,sfh,perm,2095,28.801867243291486
C-EEU-BGR,urb,sfh,perm,2100,28.801867243291486
C-EEU-CZE,rur,mfh,perm,2015,24.48894429
C-EEU-CZE,rur,mfh,perm,2020,25.61603207
