region_bld,urt,arch,mat,year,value
C-EEU-BGR,rur,mfh,perm,2015,19.23461899
C-EEU-BGR,rur,mfh,perm,2020,20.74876032
C-EEU-BGR,rur,mfh,perm,2025,22.24896672
C-EEU-BGR,rur,mfh,perm,2030,21.624514661757136
C-EEU-BGR,rur,mfh,perm,2035,21.000062603514273
C-EEU-BGR,rur,mfh,perm,2040,20.375610545271414
C-EEU-BGR,rur,mfh,perm,2045,19.75115848702855
C-EEU-BGR,rur,mfh,perm,2050,19.12670642878569
C-EEU-BGR,rur,mfh,perm,2055,19.12670642878569
C-EEU-BGR,rur,mfh,perm,2060,19.12670642878569
C-EEU-BGR,rur,mfh,perm,2065,19.12670642878569
C-EEU-BGR,rur,mfh,perm,2070,19.12670642878569
C-EEU-BGR,rur,mfh,perm,2075,19.12670642878569
C-EEU-BGR,rur,mfh,perm,2080,19.12670642878569
C-EEU-BGR,rur,mfh,perm,2085,19.12670642878569
C-EEU-BGR,rur,mfh,perm,2090,19.12670642878569
C-EEU-BGR,rur,mfh,perm,2095,19.12670642878569
C-EEU-BGR,rur,mfh,perm,2100,19.12670642878569
C-EEU-BGR,rur,sfh,perm,2015,32.15558145
C-EEU-BGR,rur,sfh,perm,2020,34.68685565
C-EEU-BGR,rur,sfh,perm,2025,37.19483406
C-EEU-BGR,rur,sfh,perm,2030,35.70207605891307
C-EEU-BGR,rur,sfh,perm,2035,34.20931805782615
C-EEU-BGR,rur,sfh,perm,2040,32.716560056739226
C-EEU-BGR,rur,sfh,perm,2045,31.2238020556523
C-EEU-BGR,rur,sfh,perm,2050,29.731044054565377
C-EEU-BGR,rur,sfh,perm,2055,29.731044054565377
C-EEU-BGR,rur,sfh,perm,2060,29.731044054565377
C-EEU-BGR,rur,sfh,perm,2065,29.731044054565377
C-EEU-BGR,rur,sfh,perm,2070,29.731044054565377
C-EEU-BGR,rur,sfh,perm,2075,29.731044054565377
C-EEU-BGR,rur,sfh,perm,2080,29.731044054565377
C-EEU-BGR,rur,sfh,perm,2085,29.731044054565377
C-EEU-BGR,rur,sfh,perm,2090,29.731044054565377
C-EEU-BGR,rur,sfh,perm,2095,29.731044054565377
C-EEU-BGR,rur,sfh,perm,2100,29.731044054565377
C-EEU-BGR,urb,mfh,perm,2015,18.08698336
C-EEU-BGR,urb,mfh,perm,2020,19.51078329
C-EEU-BGR,urb,mfh,perm,2025,20.92147971
C-EEU-BGR,urb,mfh,perm,2030,20.34318642767878
C-EEU-BGR,urb,mfh,perm,2035,19.764893145357565
C-EEU-BGR,urb,mfh,perm,2040,19.186599863036346
C-EEU-BGR,urb,mfh,perm,2045,18.60830658071513
C-EEU-BGR,urb,mfh,perm,2050,18.03001329839391
C-EEU-BGR,urb,mfh,perm,2055,18.03001329839391
C-EEU-BGR,urb,mfh,perm,2060,18.03001329839391
C-EEU-BGR,urb,mfh,perm,2065,18.03001329839391
C-EEU-BGR,urb,mfh,perm,2070,18.03001329839391
C-EEU-BGR,urb,mfh,perm,2075,18.03001329839391
C-EEU-BGR,urb,mfh,perm,2080,18.03001329839391
C-EEU-BGR,urb,mfh,perm,2085,18.03001329839391
C-EEU-BGR,urb,mfh,perm,2090,18.03001329839391
C-EEU-BGR,urb,mfh,perm,2095,18.03001329839391
C-EEU-BGR,urb,mfh,perm,2100,18.03001329839391
C-EEU-BGR,urb,sfh,perm,2015,31.59602068
C-EEU-BGR,urb,sfh,perm,2020,34.08324649
C-EEU-BGR,urb,sfh,perm,2025,36.54758189
C-EEU-BGR,urb,sfh,perm,2030,35.18733114849088
C-EEU-BGR,urb,sfh,perm,2035,33.82708040698176
C-EEU-BGR,urb,sfh,perm,2040,32.466829665472645
C-EEU-BGR,urb,sfh,perm,2045,31.106578923963525
C-EEU-BGR,urb,sfh,perm,2050,29.746328182454405
C-EEU-BGR,urb,sfh,perm,2055,29.746328182454405
C-EEU-BGR,urb,sfh,perm,2060,29.746328182454405
C-EEU-BGR,urb,sfh,perm,2065,29.746328182454405
C-EEU-BGR,urb,sfh,perm,2070,29.746328182454405
C-EEU-BGR,urb,sfh,perm,2075,29.746328182454405
C-EEU-BGR,urb,sfh,perm,2080,29.746328182454405
C-EEU-BGR,urb,sfh,perm,2085,29.746328182454405
C-EEU-BGR,urb,sfh,perm,2090,29.746328182454405
C-EEU-BGR,urb,sfh,perm,2095,29.746328182454405
C-EEU-BGR,urb,sfh,perm,2100,29.746328182454405
C-EEU-CZE,rur,mfh,perm,2015,24.48894429
C-EEU-CZE,rur,mfh,perm,2020,25.61603207
