region_bld,urt,arch,mat,year,value
C-EEU-BGR,rur,mfh,perm,2015,19.23461899
C-EEU-BGR,rur,mfh,perm,2020,20.74876032
C-EEU-BGR,rur,mfh,perm,2025,22.24896672
C-EEU-BGR,rur,mfh,perm,2030,21.75469610727621
C-EEU-BGR,rur,mfh,perm,2035,21.260425494552422
C-EEU-BGR,rur,mfh,perm,2040,20.76615488182863
C-EEU-BGR,rur,mfh,perm,2045,20.27188426910484
C-EEU-BGR,rur,mfh,perm,2050,19.777613656381053
C-EEU-BGR,rur,mfh,perm,2055,19.777613656381053
C-EEU-BGR,rur,mfh,perm,2060,19.777613656381053
C-EEU-BGR,rur,mfh,perm,2065,19.777613656381053
C-EEU-BGR,rur,mfh,perm,2070,19.777613656381053
C-EEU-BGR,rur,mfh,perm,2075,19.777613656381053
C-EEU-BGR,rur,mfh,perm,2080,19.777613656381053
C-EEU-BGR,rur,mfh,perm,2085,19.777613656381053
C-EEU-BGR,rur,mfh,perm,2090,19.777613656381053
C-EEU-BGR,rur,mfh,perm,2095,19.777613656381053
C-EEU-BGR,rur,mfh,perm,2100,19.777613656381053
C-EEU-BGR,rur,sfh,perm,2015,32.15558145
C-EEU-BGR,rur,sfh,perm,2020,34.68685565
C-EEU-BGR,rur,sfh,perm,2025,37.19483406
C-EEU-BGR,rur,sfh,perm,2030,35.966755703018094
C-EEU-BGR,rur,sfh,perm,2035,34.7386773460362
C-EEU-BGR,rur,sfh,perm,2040,33.510598989054294
C-EEU-BGR,rur,sfh,perm,2045,32.2825206320724
C-EEU-BGR,rur,sfh,perm,2050,31.054442275090494
C-EEU-BGR,rur,sfh,perm,2055,31.054442275090494
C-EEU-BGR,rur,sfh,perm,2060,31.054442275090494
C-EEU-BGR,rur,sfh,perm,2065,31.054442275090494
C-EEU-BGR,rur,sfh,perm,2070,31.054442275090494
C-EEU-BGR,rur,sfh,perm,2075,31.054442275090494
C-EEU-BGR,rur,sfh,perm,2080,31.054442275090494
C-EEU-BGR,rur,sfh,perm,2085,31.054442275090494
C-EEU-BGR,rur,sfh,perm,2090,31.054442275090494
C-EEU-BGR,rur,sfh,perm,2095,31.054442275090494
C-EEU-BGR,rur,sfh,perm,2100,31.054442275090494
C-EEU-BGR,urb,mfh,perm,2015,18.08698336
C-EEU-BGR,urb,mfh,perm,2020,19.51078329
C-EEU-BGR,urb,mfh,perm,2025,20.92147971
C-EEU-BGR,urb,mfh,perm,2030,20.484570953755643
C-EEU-BGR,urb,mfh,perm,2035,20.04766219751129
C-EEU-BGR,urb,mfh,perm,2040,19.610753441266933
C-EEU-BGR,urb,mfh,perm,2045,19.17384468502258
C-EEU-BGR,urb,mfh,perm,2050,18.736935928778223
C-EEU-BGR,urb,mfh,perm,2055,18.736935928778223
C-EEU-BGR,urb,mfh,perm,2060,18.736935928778223
C-EEU-BGR,urb,mfh,perm,2065,18.736935928778223
C-EEU-BGR,urb,mfh,perm,2070,18.736935928778223
C-EEU-BGR,urb,mfh,perm,2075,18.736935928778223
C-EEU-BGR,urb,mfh,perm,2080,18.736935928778223
C-EEU-BGR,urb,mfh,perm,2085,18.736935928778223
C-EEU-BGR,urb,mfh,perm,2090,18.736935928778223
C-EEU-BGR,urb,mfh,perm,2095,18.736935928778223
C-EEU-BGR,urb,mfh,perm,2100,18.736935928778223
C-EEU-BGR,urb,sfh,perm,2015,31.59602068
C-EEU-BGR,urb,sfh,perm,2020,34.08324649
C-EEU-BGR,urb,sfh,perm,2025,36.54758189
C-EEU-BGR,urb,sfh,perm,2030,35.456438426656256
C-EEU-BGR,urb,sfh,perm,2035,34.36529496331252
C-EEU-BGR,urb,sfh,perm,2040,33.27415149996878
C-EEU-BGR,urb,sfh,perm,2045,32.18300803662504
C-EEU-BGR,urb,sfh,perm,2050,31.091864573281303
C-EEU-BGR,urb,sfh,perm,2055,31.091864573281303
C-EEU-BGR,urb,sfh,perm,2060,31.091864573281303
C-EEU-BGR,urb,sfh,perm,2065,31.091864573281303
C-EEU-BGR,urb,sfh,perm,2070,31.091864573281303
C-EEU-BGR,urb,sfh,perm,2075,31.091864573281303
C-EEU-BGR,urb,sfh,perm,2080,31.091864573281303
C-EEU-BGR,urb,sfh,perm,2085,31.091864573281303
C-EEU-BGR,urb,sfh,perm,2090,31.091864573281303
C-EEU-BGR,urb,sfh,perm,2095,31.091864573281303
C-EEU-BGR,urb,sfh,perm,2100,31.091864573281303
C-EEU-CZE,rur,mfh,perm,2015,24.48894429
C-EEU-CZE,rur,mfh,perm,2020,25.61603207
