region_bld,urt,arch,mat,year,value
C-EEU-BGR,rur,mfh,perm,2015,19.23461899
C-EEU-BGR,rur,mfh,perm,2020,20.74876032
C-EEU-BGR,rur,mfh,perm,2025,22.24896672
C-EEU-BGR,rur,mfh,perm,2030,21.488036401525758
C-EEU-BGR,rur,mfh,perm,2035,20.727106083051517
C-EEU-BGR,rur,mfh,perm,2040,19.966175764577276
C-EEU-BGR,rur,mfh,perm,2045,19.205245446103035
C-EEU-BGR,rur,mfh,perm,2050,18.444315127628794
C-EEU-BGR,rur,mfh,perm,2055,18.444315127628794
C-EEU-BGR,rur,mfh,perm,2060,18.444315127628794
C-EEU-BGR,rur,mfh,perm,2065,18.444315127628794
C-EEU-BGR,rur,mfh,perm,2070,18.444315127628794
C-EEU-BGR,rur,mfh,perm,2075,18.444315127628794
C-EEU-BGR,rur,mfh,perm,2080,18.444315127628794
C-EEU-BGR,rur,mfh,perm,2085,18.444315127628794
C-EEU-BGR,rur,mfh,perm,2090,18.444315127628794
C-EEU-BGR,rur,mfh,perm,2095,18.444315127628794
C-EEU-BGR,rur,mfh,perm,2100,18.444315127628794
C-EEU-BGR,rur,sfh,perm,2015,32.15558145
C-EEU-BGR,rur,sfh,perm,2020,34.68685565
C-EEU-BGR,rur,sfh,perm,2025,37.19483406
C-EEU-BGR,rur,sfh,perm,2030,35.017784762651544
C-EEU-BGR,rur,sfh,perm,2035,32.84073546530309
C-EEU-BGR,rur,sfh,perm,2040,30.663686167954634
C-EEU-BGR,rur,sfh,perm,2045,28.486636870606176
C-EEU-BGR,rur,sfh,perm,2050,26.309587573257723
C-EEU-BGR,rur,sfh,perm,2055,26.309587573257723
C-EEU-BGR,rur,sfh,perm,2060,26.309587573257723
C-EEU-BGR,rur,sfh,perm,2065,26.309587573257723
C-EEU-BGR,rur,sfh,perm,2070,26.309587573257723
C-EEU-BGR,rur,sfh,perm,2075,26.309587573257723
C-EEU-BGR,rur,sfh,perm,2080,26.309587573257723
C-EEU-BGR,rur,sfh,perm,2085,26.309587573257723
C-EEU-BGR,rur,sfh,perm,2090,26.309587573257723
C-EEU-BGR,rur,sfh,perm,2095,26.309587573257723
C-EEU-BGR,rur,sfh,perm,2100,26.309587573257723
C-EEU-BGR,urb,mfh,perm,2015,18.08698336
C-EEU-BGR,urb,mfh,perm,2020,19.51078329
C-EEU-BGR,urb,mfh,perm,2025,20.92147971
C-EEU-BGR,urb,mfh,perm,2030,20.276864880553408
C-EEU-BGR,urb,mfh,perm,2035,19.632250051106816
C-EEU-BGR,urb,mfh,perm,2040,18.987635221660227
C-EEU-BGR,urb,mfh,perm,2045,18.343020392213635
C-EEU-BGR,urb,mfh,perm,2050,17.698405562767043
C-EEU-BGR,urb,mfh,perm,2055,17.698405562767043
C-EEU-BGR,urb,mfh,perm,2060,17.698405562767043
C-EEU-BGR,urb,mfh,perm,2065,17.698405562767043
C-EEU-BGR,urb,mfh,perm,2070,17.698405562767043
C-EEU-BGR,urb,mfh,perm,2075,17.698405562767043
C-EEU-BGR,urb,mfh,perm,2080,17.698405562767043
C-EEU-BGR,urb,mfh,perm,2085,17.698405562767043
C-EEU-BGR,urb,mfh,perm,2090,17.698405562767043
C-EEU-BGR,urb,mfh,perm,2095,17.698405562767043
C-EEU-BGR,urb,mfh,perm,2100,17.698405562767043
C-EEU-BGR,urb,sfh,perm,2015,31.59602068
C-EEU-BGR,urb,sfh,perm,2020,34.08324649
C-EEU-BGR,urb,sfh,perm,2025,36.54758189
C-EEU-BGR,urb,sfh,perm,2030,34.689634089233785
C-EEU-BGR,urb,sfh,perm,2035,32.83168628846757
C-EEU-BGR,urb,sfh,perm,2040,30.97373848770136
C-EEU-BGR,urb,sfh,perm,2045,29.115790686935153
C-EEU-BGR,urb,sfh,perm,2050,27.25784288616894
C-EEU-BGR,urb,sfh,perm,2055,27.25784288616894
C-EEU-BGR,urb,sfh,perm,2060,27.25784288616894
C-EEU-BGR,urb,sfh,perm,2065,27.25784288616894
C-EEU-BGR,urb,sfh,perm,2070,27.25784288616894
C-EEU-BGR,urb,sfh,perm,2075,27.25784288616894
C-EEU-BGR,urb,sfh,perm,2080,27.25784288616894
C-EEU-BGR,urb,sfh,perm,2085,27.25784288616894
C-EEU-BGR,urb,sfh,perm,2090,27.25784288616894
C-EEU-BGR,urb,sfh,perm,2095,27.25784288616894
C-EEU-BGR,urb,sfh,perm,2100,27.25784288616894
C-EEU-CZE,rur,mfh,perm,2015,24.48894429
C-EEU-CZE,rur,mfh,perm,2020,25.61603207
