region_bld,urt,arch,mat,year,value
C-EEU-BGR,rur,mfh,perm,2015,19.23461899
C-EEU-BGR,rur,mfh,perm,2020,20.74876032
C-EEU-BGR,rur,mfh,perm,2025,22.24896672
C-EEU-BGR,rur,mfh,perm,2030,22.028929537679257
C-EEU-BGR,rur,mfh,perm,2035,21.808892355358516
C-EEU-BGR,rur,mfh,perm,2040,21.58885517303777
C-EEU-BGR,rur,mfh,perm,2045,21.36881799071703
C-EEU-BGR,rur,mfh,perm,2050,21.14878080839629
C-EEU-BGR,rur,mfh,perm,2055,21.14878080839629
C-EEU-BGR,rur,mfh,perm,2060,21.14878080839629
C-EEU-BGR,rur,mfh,perm,2065,21.14878080839629
C-EEU-BGR,rur,mfh,perm,2070,21.14878080839629
C-EEU-BGR,rur,mfh,perm,2075,21.14878080839629
C-EEU-BGR,rur,mfh,perm,2080,21.14878080839629
C-EEU-BGR,rur,mfh,perm,2085,21.14878080839629
C-EEU-BGR,rur,mfh,perm,2090,21.14878080839629
C-EEU-BGR,rur,mfh,perm,2095,21.14878080839629
C-EEU-BGR,rur,mfh,perm,2100,21.14878080839629
C-EEU-BGR,rur,sfh,perm,2015,32.15558145
C-EEU-BGR,rur,sfh,perm,2020,34.68685565
C-EEU-BGR,rur,sfh,perm,2025,37.19483406
C-EEU-BGR,rur,sfh,perm,2030,36.916365636918
C-EEU-BGR,rur,sfh,perm,2035,36.63789721383601
C-EEU-BGR,rur,sfh,perm,2040,36.359428790754016
C-EEU-BGR,rur,sfh,perm,2045,36.08096036767203
C-EEU-BGR,rur,sfh,perm,2050,35.80249194459003
C-EEU-BGR,rur,sfh,perm,2055,35.80249194459003
C-EEU-BGR,rur,sfh,perm,2060,35.80249194459003
C-EEU-BGR,rur,sfh,perm,2065,35.80249194459003
C-EEU-BGR,rur,sfh,perm,2070,35.80249194459003
C-EEU-BGR,rur,sfh,perm,2075,35.80249194459003
C-EEU-BGR,rur,sfh,perm,2080,35.80249194459003
C-EEU-BGR,rur,sfh,perm,2085,35.80249194459003
C-EEU-BGR,rur,sfh,perm,2090,35.80249194459003
C-EEU-BGR,rur,sfh,perm,2095,35.80249194459003
C-EEU-BGR,rur,sfh,perm,2100,35.80249194459003
C-EEU-BGR,urb,mfh,perm,2015,18.08698336
C-EEU-BGR,urb,mfh,perm,2020,19.51078329
C-EEU-BGR,urb,mfh,perm,2025,20.92147971
C-EEU-BGR,urb,mfh,perm,2030,20.69096796541838
C-EEU-BGR,urb,mfh,perm,2035,20.46045622083676
C-EEU-BGR,urb,mfh,perm,2040,20.22994447625514
C-EEU-BGR,urb,mfh,perm,2045,19.999432731673522
C-EEU-BGR,urb,mfh,perm,2050,19.768920987091903
C-EEU-BGR,urb,mfh,perm,2055,19.768920987091903
C-EEU-BGR,urb,mfh,perm,2060,19.768920987091903
C-EEU-BGR,urb,mfh,perm,2065,19.768920987091903
C-EEU-BGR,urb,mfh,perm,2070,19.768920987091903
C-EEU-BGR,urb,mfh,perm,2075,19.768920987091903
C-EEU-BGR,urb,mfh,perm,2080,19.768920987091903
C-EEU-BGR,urb,mfh,perm,2085,19.768920987091903
C-EEU-BGR,urb,mfh,perm,2090,19.768920987091903
C-EEU-BGR,urb,mfh,perm,2095,19.768920987091903
C-EEU-BGR,urb,mfh,perm,2100,19.768920987091903
C-EEU-BGR,urb,sfh,perm,2015,31.59602068
C-EEU-BGR,urb,sfh,perm,2020,34.08324649
C-EEU-BGR,urb,sfh,perm,2025,36.54758189
C-EEU-BGR,urb,sfh,perm,2030,36.23084242777556
C-EEU-BGR,urb,sfh,perm,2035,35.91410296555112
C-EEU-BGR,urb,sfh,perm,2040,35.59736350332669
C-EEU-BGR,urb,sfh,perm,2045,35.28062404110225
C-EEU-BGR,urb,sfh,perm,2050,34.96388457887782
C-EEU-BGR,urb,sfh,perm,2055,34.96388457887782
C-EEU-BGR,urb,sfh,perm,2060,34.96388457887782
C-EEU-BGR,urb,sfh,perm,2065,34.96388457887782
C-EEU-BGR,urb,sfh,perm,2070,34.96388457887782
C-EEU-BGR,urb,sfh,perm,2075,34.96388457887782
C-EEU-BGR,urb,sfh,perm,2080,34.96388457887782
C-EEU-BGR,urb,sfh,perm,2085,34.96388457887782
C-EEU-BGR,urb,sfh,perm,2090,34.96388457887782
C-EEU-BGR,urb,sfh,perm,2095,34.96388457887782
C-EEU-BGR,urb,sfh,perm,2100,34.96388457887782
C-EEU-CZE,rur,mfh,perm,2015,24.48894429
C-EEU-CZE,rur,mfh,perm,2020,25.61603207
