region_bld,urt,arch,mat,year,value
C-EEU-BGR,rur,mfh,perm,2015,19.23461899
C-EEU-BGR,rur,mfh,perm,2020,20.74876032
C-EEU-BGR,rur,mfh,perm,2025,22.24896672
C-EEU-BGR,rur,mfh,perm,2030,22.09588040177117
C-EEU-BGR,rur,mfh,perm,2035,21.942794083542342
C-EEU-BGR,rur,mfh,perm,2040,21.789707765313512
C-EEU-BGR,rur,mfh,perm,2045,21.636621447084686
C-EEU-BGR,rur,mfh,perm,2050,21.483535128855856
C-EEU-BGR,rur,mfh,perm,2055,21.483535128855856
C-EEU-BGR,rur,mfh,perm,2060,21.483535128855856
C-EEU-BGR,rur,mfh,perm,2065,21.483535128855856
C-EEU-BGR,rur,mfh,perm,2070,21.483535128855856
C-EEU-BGR,rur,mfh,perm,2075,21.483535128855856
C-EEU-BGR,rur,mfh,perm,2080,21.483535128855856
C-EEU-BGR,rur,mfh,perm,2085,21.483535128855856
C-EEU-BGR,rur,mfh,perm,2090,21.483535128855856
C-EEU-BGR,rur,mfh,perm,2095,21.483535128855856
C-EEU-BGR,rur,mfh,perm,2100,21.483535128855856
C-EEU-BGR,rur,sfh,perm,2015,32.15558145
C-EEU-BGR,rur,sfh,perm,2020,34.68685565
C-EEU-BGR,rur,sfh,perm,2025,37.19483406
C-EEU-BGR,rur,sfh,perm,2030,37.05096578500826
C-EEU-BGR,rur,sfh,perm,2035,36.90709751001652
C-EEU-BGR,rur,sfh,perm,2040,36.76322923502478
C-EEU-BGR,rur,sfh,perm,2045,36.61936096003304
C-EEU-BGR,rur,sfh,perm,2050,36.4754926850413
C-EEU-BGR,rur,sfh,perm,2055,36.4754926850413
C-EEU-BGR,rur,sfh,perm,2060,36.4754926850413
C-EEU-BGR,rur,sfh,perm,2065,36.4754926850413
C-EEU-BGR,rur,sfh,perm,2070,36.4754926850413
C-EEU-BGR,rur,sfh,perm,2075,36.4754926850413
C-EEU-BGR,rur,sfh,perm,2080,36.4754926850413
C-EEU-BGR,rur,sfh,perm,2085,36.4754926850413
C-EEU-BGR,rur,sfh,perm,2090,36.4754926850413
C-EEU-BGR,rur,sfh,perm,2095,36.4754926850413
C-EEU-BGR,rur,sfh,perm,2100,36.4754926850413
C-EEU-BGR,urb,mfh,perm,2015,18.08698336
C-EEU-BGR,urb,mfh,perm,2020,19.51078329
C-EEU-BGR,urb,mfh,perm,2025,20.92147971
C-EEU-BGR,urb,mfh,perm,2030,20.765511933746957
C-EEU-BGR,urb,mfh,perm,2035,20.60954415749391
C-EEU-BGR,urb,mfh,perm,2040,20.453576381240868
C-EEU-BGR,urb,mfh,perm,2045,20.297608604987822
C-EEU-BGR,urb,mfh,perm,2050,20.14164082873478
C-EEU-BGR,urb,mfh,perm,2055,20.14164082873478
C-EEU-BGR,urb,mfh,perm,2060,20.14164082873478
C-EEU-BGR,urb,mfh,perm,2065,20.14164082873478
C-EEU-BGR,urb,mfh,perm,2070,20.14164082873478
C-EEU-BGR,urb,mfh,perm,2075,20.14164082873478
C-EEU-BGR,urb,mfh,perm,2080,20.14164082873478
C-EEU-BGR,urb,mfh,perm,2085,20.14164082873478
C-EEU-BGR,urb,mfh,perm,2090,20.14164082873478
C-EEU-BGR,urb,mfh,perm,2095,20.14164082873478
C-EEU-BGR,urb,mfh,perm,2100,20.14164082873478
C-EEU-BGR,urb,sfh,perm,2015,31.59602068
C-EEU-BGR,urb,sfh,perm,2020,34.08324649
C-EEU-BGR,urb,sfh,perm,2025,36.54758189
C-EEU-BGR,urb,sfh,perm,2030,36.337783524472265
C-EEU-BGR,urb,sfh,perm,2035,36.12798515894453
C-EEU-BGR,urb,sfh,perm,2040,35.918186793416794
C-EEU-BGR,urb,sfh,perm,2045,35.70838842788906
C-EEU-BGR,urb,sfh,perm,2050,35.49859006236133
C-EEU-BGR,urb,sfh,perm,2055,35.49859006236133
C-EEU-BGR,urb,sfh,perm,2060,35.49859006236133
C-EEU-BGR,urb,sfh,perm,2065,35.49859006236133
C-EEU-BGR,urb,sfh,perm,2070,35.49859006236133
C-EEU-BGR,urb,sfh,perm,2075,35.49859006236133
C-EEU-BGR,urb,sfh,perm,2080,35.49859006236133
C-EEU-BGR,urb,sfh,perm,2085,35.49859006236133
C-EEU-BGR,urb,sfh,perm,2090,35.49859006236133
C-EEU-BGR,urb,sfh,perm,2095,35.49859006236133
C-EEU-BGR,urb,sfh,perm,2100,35.49859006236133
C-EEU-CZE,rur,mfh,perm,2015,24.48894429
C-EEU-CZE,rur,mfh,perm,2020,25.61603207
