region_bld,urt,mat,arch,year,value
C-EEU-BGR,rur,perm,mfh,2015,34.15443119020696
C-EEU-BGR,rur,perm,mfh,2020,36.84305402669879
C-EEU-BGR,rur,perm,mfh,2025,39.50795624495229
C-EEU-BGR,rur,perm,mfh,2030,35.34549543074444
C-EEU-BGR,rur,perm,mfh,2035,31.183034616536595
C-EEU-BGR,rur,perm,mfh,2040,27.020573802328745
C-EEU-BGR,rur,perm,mfh,2045,22.858112988120897
C-EEU-BGR,rur,perm,mfh,2050,18.695652173913047
C-EEU-BGR,rur,perm,mfh,2055,18.695652173913047
C-EEU-BGR,rur,perm,mfh,2060,18.695652173913047
C-EEU-BGR,rur,perm,mfh,2065,18.695652173913047
C-EEU-BGR,rur,perm,mfh,2070,18.695652173913047
C-EEU-BGR,rur,perm,mfh,2075,18.695652173913047
C-EEU-BGR,rur,perm,mfh,2080,18.695652173913047
C-EEU-BGR,rur,perm,mfh,2085,18.695652173913047
C-EEU-BGR,rur,perm,mfh,2090,18.695652173913047
C-EEU-BGR,rur,perm,mfh,2095,18.695652173913047
C-EEU-BGR,rur,perm,mfh,2100,18.695652173913047
C-EEU-BGR,rur,perm,sfh,2015,34.95934103202555
C-EEU-BGR,rur,perm,sfh,2020,37.71132603783137
C-EEU-BGR,rur,perm,sfh,2025,40.40159536555706
C-EEU-BGR,rur,perm,sfh,2030,36.060406727228255
C-EEU-BGR,rur,perm,sfh,2035,31.719218088899453
C-EEU-BGR,rur,perm,sfh,2040,27.37802945057065
C-EEU-BGR,rur,perm,sfh,2045,23.03684081224185
C-EEU-BGR,rur,perm,sfh,2050,18.695652173913047
C-EEU-BGR,rur,perm,sfh,2055,18.695652173913047
C-EEU-BGR,rur,perm,sfh,2060,18.695652173913047
C-EEU-BGR,rur,perm,sfh,2065,18.695652173913047
C-EEU-BGR,rur,perm,sfh,2070,18.695652173913047
C-EEU-BGR,rur,perm,sfh,2075,18.695652173913047
C-EEU-BGR,rur,perm,sfh,2080,18.695652173913047
C-EEU-BGR,rur,perm,sfh,2085,18.695652173913047
C-EEU-BGR,rur,perm,sfh,2090,18.695652173913047
C-EEU-BGR,rur,perm,sfh,2095,18.695652173913047
C-EEU-BGR,rur,perm,sfh,2100,18.695652173913047
C-EEU-BGR,urb,perm,mfh,2015,32.10619257870704
C-EEU-BGR,urb,perm,mfh,2020,34.633578922591504
C-EEU-BGR,urb,perm,mfh,2025,37.138260045190194
C-EEU-BGR,urb,perm,mfh,2030,33.44973847093476
C-EEU-BGR,urb,perm,mfh,2035,29.761216896679336
C-EEU-BGR,urb,perm,mfh,2040,26.072695322423904
C-EEU-BGR,urb,perm,mfh,2045,22.384173748168475
C-EEU-BGR,urb,perm,mfh,2050,18.695652173913047
C-EEU-BGR,urb,perm,mfh,2055,18.695652173913047
C-EEU-BGR,urb,perm,mfh,2060,18.695652173913047
C-EEU-BGR,urb,perm,mfh,2065,18.695652173913047
C-EEU-BGR,urb,perm,mfh,2070,18.695652173913047
C-EEU-BGR,urb,perm,mfh,2075,18.695652173913047
C-EEU-BGR,urb,perm,mfh,2080,18.695652173913047
C-EEU-BGR,urb,perm,mfh,2085,18.695652173913047
C-EEU-BGR,urb,perm,mfh,2090,18.695652173913047
C-EEU-BGR,urb,perm,mfh,2095,18.695652173913047
C-EEU-BGR,urb,perm,mfh,2100,18.695652173913047
C-EEU-BGR,urb,perm,sfh,2015,34.31648517608924
C-EEU-BGR,urb,perm,sfh,2020,37.01786483724634
C-EEU-BGR,urb,perm,sfh,2025,39.66061771030402
C-EEU-BGR,urb,perm,sfh,2030,35.467624603025826
C-EEU-BGR,urb,perm,sfh,2035,31.274631495747627
C-EEU-BGR,urb,perm,sfh,2040,27.081638388469436
C-EEU-BGR,urb,perm,sfh,2045,22.88864528119124
C-EEU-BGR,urb,perm,sfh,2050,18.695652173913047
C-EEU-BGR,urb,perm,sfh,2055,18.695652173913047
C-EEU-BGR,urb,perm,sfh,2060,18.695652173913047
C-EEU-BGR,urb,perm,sfh,2065,18.695652173913047
C-EEU-BGR,urb,perm,sfh,2070,18.695652173913047
C-EEU-BGR,urb,perm,sfh,2075,18.695652173913047
C-EEU-BGR,urb,perm,sfh,2080,18.695652173913047
C-EEU-BGR,urb,perm,sfh,2085,18.695652173913047
C-EEU-BGR,urb,perm,sfh,2090,18.695652173913047
C-EEU-BGR,urb,perm,sfh,2095,18.695652173913047
C-EEU-BGR,urb,perm,sfh,2100,18.695652173913047
C-EEU-CZE,rur,perm,mfh,2015,31.501975421328208
