region_bld,urt,mat,arch,year,value
C-EEU-BGR,rur,perm,mfh,2015,34.15443119020696
C-EEU-BGR,rur,perm,mfh,2020,36.84305402669879
C-EEU-BGR,rur,perm,mfh,2025,39.50795624495229
C-EEU-BGR,rur,perm,mfh,2030,38.491390207210955
C-EEU-BGR,rur,perm,mfh,2035,37.47482416946962
C-EEU-BGR,rur,perm,mfh,2040,36.45825813172829
C-EEU-BGR,rur,perm,mfh,2045,35.44169209398696
C-EEU-BGR,rur,perm,mfh,2050,34.425126056245624
C-EEU-BGR,rur,perm,mfh,2055,34.425126056245624
C-EEU-BGR,rur,perm,mfh,2060,34.425126056245624
C-EEU-BGR,rur,perm,mfh,2065,34.425126056245624
C-EEU-BGR,rur,perm,mfh,2070,34.425126056245624
C-EEU-BGR,rur,perm,mfh,2075,34.425126056245624
C-EEU-BGR,rur,perm,mfh,2080,34.425126056245624
C-EEU-BGR,rur,perm,mfh,2085,34.425126056245624
C-EEU-BGR,rur,perm,mfh,2090,34.425126056245624
C-EEU-BGR,rur,perm,mfh,2095,34.425126056245624
C-EEU-BGR,rur,perm,mfh,2100,34.425126056245624
C-EEU-BGR,rur,perm,sfh,2015,34.95934103202555
C-EEU-BGR,rur,perm,sfh,2020,37.71132603783137
C-EEU-BGR,rur,perm,sfh,2025,40.40159536555706
C-EEU-BGR,rur,perm,sfh,2030,38.678431535077586
C-EEU-BGR,rur,perm,sfh,2035,36.955267704598114
C-EEU-BGR,rur,perm,sfh,2040,35.23210387411864
C-EEU-BGR,rur,perm,sfh,2045,33.50894004363917
C-EEU-BGR,rur,perm,sfh,2050,31.785776213159696
C-EEU-BGR,rur,perm,sfh,2055,31.785776213159696
C-EEU-BGR,rur,perm,sfh,2060,31.785776213159696
C-EEU-BGR,rur,perm,sfh,2065,31.785776213159696
C-EEU-BGR,rur,perm,sfh,2070,31.785776213159696
C-EEU-BGR,rur,perm,sfh,2075,31.785776213159696
C-EEU-BGR,rur,perm,sfh,2080,31.785776213159696
C-EEU-BGR,rur,perm,sfh,2085,31.785776213159696
C-EEU-BGR,rur,perm,sfh,2090,31.785776213159696
C-EEU-BGR,rur,perm,sfh,2095,31.785776213159696
C-EEU-BGR,rur,perm,sfh,2100,31.785776213159696
C-EEU-BGR,urb,perm,mfh,2015,32.10619257870704
C-EEU-BGR,urb,perm,mfh,2020,34.633578922591504
C-EEU-BGR,urb,perm,mfh,2025,37.138260045190194
C-EEU-BGR,urb,perm,mfh,2030,36.216961682349336
C-EEU-BGR,urb,perm,mfh,2035,35.29566331950847
C-EEU-BGR,urb,perm,mfh,2040,34.37436495666761
C-EEU-BGR,urb,perm,mfh,2045,33.45306659382675
C-EEU-BGR,urb,perm,mfh,2050,32.53176823098589
C-EEU-BGR,urb,perm,mfh,2055,32.53176823098589
C-EEU-BGR,urb,perm,mfh,2060,32.53176823098589
C-EEU-BGR,urb,perm,mfh,2065,32.53176823098589
C-EEU-BGR,urb,perm,mfh,2070,32.53176823098589
C-EEU-BGR,urb,perm,mfh,2075,32.53176823098589
C-EEU-BGR,urb,perm,mfh,2080,32.53176823098589
C-EEU-BGR,urb,perm,mfh,2085,32.53176823098589
C-EEU-BGR,urb,perm,mfh,2090,32.53176823098589
C-EEU-BGR,urb,perm,mfh,2095,32.53176823098589
C-EEU-BGR,urb,perm,mfh,2100,32.53176823098589
C-EEU-BGR,urb,perm,sfh,2015,34.31648517608924
C-EEU-BGR,urb,perm,sfh,2020,37.01786483724634
C-EEU-BGR,urb,perm,sfh,2025,39.66061771030402
C-EEU-BGR,urb,perm,sfh,2030,37.97952248260435
C-EEU-BGR,urb,perm,sfh,2035,36.29842725490468
C-EEU-BGR,urb,perm,sfh,2040,34.617332027205016
C-EEU-BGR,urb,perm,sfh,2045,32.93623679950535
C-EEU-BGR,urb,perm,sfh,2050,31.255141571805684
C-EEU-BGR,urb,perm,sfh,2055,31.255141571805684
C-EEU-BGR,urb,perm,sfh,2060,31.255141571805684
C-EEU-BGR,urb,perm,sfh,2065,31.255141571805684
C-EEU-BGR,urb,perm,sfh,2070,31.255141571805684
C-EEU-BGR,urb,perm,sfh,2075,31.255141571805684
C-EEU-BGR,urb,perm,sfh,2080,31.255141571805684
C-EEU-BGR,urb,perm,sfh,2085,31.255141571805684
C-EEU-BGR,urb,perm,sfh,2090,31.255141571805684
C-EEU-BGR,urb,perm,sfh,2095,31.255141571805684
C-EEU-BGR,urb,perm,sfh,2100,31.255141571805684
C-EEU-CZE,rur,perm,mfh,2015,31.501975421328208
