region_bld,urt,mat,arch,year,value
C-EEU-BGR,rur,perm,mfh,2015,34.15443119020696
C-EEU-BGR,rur,perm,mfh,2020,36.84305402669879
C-EEU-BGR,rur,perm,mfh,2025,39.50795624495229
C-EEU-BGR,rur,perm,mfh,2030,38.76922672970616
C-EEU-BGR,rur,perm,mfh,2035,38.030497214460034
C-EEU-BGR,rur,perm,mfh,2040,37.2917676992139
C-EEU-BGR,rur,perm,mfh,2045,36.55303818396777
C-EEU-BGR,rur,perm,mfh,2050,35.814308668721644
C-EEU-BGR,rur,perm,mfh,2055,35.814308668721644
C-EEU-BGR,rur,perm,mfh,2060,35.814308668721644
C-EEU-BGR,rur,perm,mfh,2065,35.814308668721644
C-EEU-BGR,rur,perm,mfh,2070,35.814308668721644
C-EEU-BGR,rur,perm,mfh,2075,35.814308668721644
C-EEU-BGR,rur,perm,mfh,2080,35.814308668721644
C-EEU-BGR,rur,perm,mfh,2085,35.814308668721644
C-EEU-BGR,rur,perm,mfh,2090,35.814308668721644
C-EEU-BGR,rur,perm,mfh,2095,35.814308668721644
C-EEU-BGR,rur,perm,mfh,2100,35.814308668721644
C-EEU-BGR,rur,perm,sfh,2015,34.95934103202555
C-EEU-BGR,rur,perm,sfh,2020,37.71132603783137
C-EEU-BGR,rur,perm,sfh,2025,40.40159536555706
C-EEU-BGR,rur,perm,sfh,2030,39.0448568976922
C-EEU-BGR,rur,perm,sfh,2035,37.688118429827334
C-EEU-BGR,rur,perm,sfh,2040,36.331379961962476
C-EEU-BGR,rur,perm,sfh,2045,34.97464149409761
C-EEU-BGR,rur,perm,sfh,2050,33.61790302623275
C-EEU-BGR,rur,perm,sfh,2055,33.61790302623275
C-EEU-BGR,rur,perm,sfh,2060,33.61790302623275
C-EEU-BGR,rur,perm,sfh,2065,33.61790302623275
C-EEU-BGR,rur,perm,sfh,2070,33.61790302623275
C-EEU-BGR,rur,perm,sfh,2075,33.61790302623275
C-EEU-BGR,rur,perm,sfh,2080,33.61790302623275
C-EEU-BGR,rur,perm,sfh,2085,33.61790302623275
C-EEU-BGR,rur,perm,sfh,2090,33.61790302623275
C-EEU-BGR,rur,perm,sfh,2095,33.61790302623275
C-EEU-BGR,rur,perm,sfh,2100,33.61790302623275
C-EEU-BGR,urb,perm,mfh,2015,32.10619257870704
C-EEU-BGR,urb,perm,mfh,2020,34.633578922591504
C-EEU-BGR,urb,perm,mfh,2025,37.138260045190194
C-EEU-BGR,urb,perm,mfh,2030,36.47248346912319
C-EEU-BGR,urb,perm,mfh,2035,35.80670689305619
C-EEU-BGR,urb,perm,mfh,2040,35.14093031698919
C-EEU-BGR,urb,perm,mfh,2045,34.47515374092219
C-EEU-BGR,urb,perm,mfh,2050,33.809377164855185
C-EEU-BGR,urb,perm,mfh,2055,33.809377164855185
C-EEU-BGR,urb,perm,mfh,2060,33.809377164855185
C-EEU-BGR,urb,perm,mfh,2065,33.809377164855185
C-EEU-BGR,urb,perm,mfh,2070,33.809377164855185
C-EEU-BGR,urb,perm,mfh,2075,33.809377164855185
C-EEU-BGR,urb,perm,mfh,2080,33.809377164855185
C-EEU-BGR,urb,perm,mfh,2085,33.809377164855185
C-EEU-BGR,urb,perm,mfh,2090,33.809377164855185
C-EEU-BGR,urb,perm,mfh,2095,33.809377164855185
C-EEU-BGR,urb,perm,mfh,2100,33.809377164855185
C-EEU-BGR,urb,perm,sfh,2015,34.31648517608924
C-EEU-BGR,urb,perm,sfh,2020,37.01786483724634
C-EEU-BGR,urb,perm,sfh,2025,39.66061771030402
C-EEU-BGR,urb,perm,sfh,2030,38.36445156533309
C-EEU-BGR,urb,perm,sfh,2035,37.06828542036217
C-EEU-BGR,urb,perm,sfh,2040,35.77211927539125
C-EEU-BGR,urb,perm,sfh,2045,34.47595313042033
C-EEU-BGR,urb,perm,sfh,2050,33.179786985449404
C-EEU-BGR,urb,perm,sfh,2055,33.179786985449404
C-EEU-BGR,urb,perm,sfh,2060,33.179786985449404
C-EEU-BGR,urb,perm,sfh,2065,33.179786985449404
C-EEU-BGR,urb,perm,sfh,2070,33.179786985449404
C-EEU-BGR,urb,perm,sfh,2075,33.179786985449404
C-EEU-BGR,urb,perm,sfh,2080,33.179786985449404
C-EEU-BGR,urb,perm,sfh,2085,33.179786985449404
C-EEU-BGR,urb,perm,sfh,2090,33.179786985449404
C-EEU-BGR,urb,perm,sfh,2095,33.179786985449404
C-EEU-BGR,urb,perm,sfh,2100,33.179786985449404
C-EEU-CZE,rur,perm,mfh,2015,31.501975421328208
