region_bld,urt,mat,arch,year,value
C-EEU-BGR,rur,perm,mfh,2015,34.15443119020696
C-EEU-BGR,rur,perm,mfh,2020,36.84305402669879
C-EEU-BGR,rur,perm,mfh,2025,39.50795624495229
C-EEU-BGR,rur,perm,mfh,2030,38.163218746510786
C-EEU-BGR,rur,perm,mfh,2035,36.81848124806928
C-EEU-BGR,rur,perm,mfh,2040,35.47374374962778
C-EEU-BGR,rur,perm,mfh,2045,34.129006251186276
C-EEU-BGR,rur,perm,mfh,2050,32.78426875274477
C-EEU-BGR,rur,perm,mfh,2055,32.78426875274477
C-EEU-BGR,rur,perm,mfh,2060,32.78426875274477
C-EEU-BGR,rur,perm,mfh,2065,32.78426875274477
C-EEU-BGR,rur,perm,mfh,2070,32.78426875274477
C-EEU-BGR,rur,perm,mfh,2075,32.78426875274477
C-EEU-BGR,rur,perm,mfh,2080,32.78426875274477
C-EEU-BGR,rur,perm,mfh,2085,32.78426875274477
C-EEU-BGR,rur,perm,mfh,2090,32.78426875274477
C-EEU-BGR,rur,perm,mfh,2095,32.78426875274477
C-EEU-BGR,rur,perm,mfh,2100,32.78426875274477
C-EEU-BGR,rur,perm,sfh,2015,34.95934103202555
C-EEU-BGR,rur,perm,sfh,2020,37.71132603783137
C-EEU-BGR,rur,perm,sfh,2025,40.40159536555706
C-EEU-BGR,rur,perm,sfh,2030,39.02644095493461
C-EEU-BGR,rur,perm,sfh,2035,37.65128654431215
C-EEU-BGR,rur,perm,sfh,2040,36.2761321336897
C-EEU-BGR,rur,perm,sfh,2045,34.90097772306724
C-EEU-BGR,rur,perm,sfh,2050,33.52582331244479
C-EEU-BGR,rur,perm,sfh,2055,33.52582331244479
C-EEU-BGR,rur,perm,sfh,2060,33.52582331244479
C-EEU-BGR,rur,perm,sfh,2065,33.52582331244479
C-EEU-BGR,rur,perm,sfh,2070,33.52582331244479
C-EEU-BGR,rur,perm,sfh,2075,33.52582331244479
C-EEU-BGR,rur,perm,sfh,2080,33.52582331244479
C-EEU-BGR,rur,perm,sfh,2085,33.52582331244479
C-EEU-BGR,rur,perm,sfh,2090,33.52582331244479
C-EEU-BGR,rur,perm,sfh,2095,33.52582331244479
C-EEU-BGR,rur,perm,sfh,2100,33.52582331244479
C-EEU-BGR,urb,perm,mfh,2015,32.10619257870704
C-EEU-BGR,urb,perm,mfh,2020,34.633578922591504
C-EEU-BGR,urb,perm,mfh,2025,37.138260045190194
C-EEU-BGR,urb,perm,mfh,2030,35.874180207701265
C-EEU-BGR,urb,perm,mfh,2035,34.61010037021233
C-EEU-BGR,urb,perm,mfh,2040,33.3460205327234
C-EEU-BGR,urb,perm,mfh,2045,32.08194069523447
C-EEU-BGR,urb,perm,mfh,2050,30.81786085774554
C-EEU-BGR,urb,perm,mfh,2055,30.81786085774554
C-EEU-BGR,urb,perm,mfh,2060,30.81786085774554
C-EEU-BGR,urb,perm,mfh,2065,30.81786085774554
C-EEU-BGR,urb,perm,mfh,2070,30.81786085774554
C-EEU-BGR,urb,perm,mfh,2075,30.81786085774554
C-EEU-BGR,urb,perm,mfh,2080,30.81786085774554
C-EEU-BGR,urb,perm,mfh,2085,30.81786085774554
C-EEU-BGR,urb,perm,mfh,2090,30.81786085774554
C-EEU-BGR,urb,perm,mfh,2095,30.81786085774554
C-EEU-BGR,urb,perm,mfh,2100,30.81786085774554
C-EEU-BGR,urb,perm,sfh,2015,34.31648517608924
C-EEU-BGR,urb,perm,sfh,2020,37.01786483724634
C-EEU-BGR,urb,perm,sfh,2025,39.66061771030402
C-EEU-BGR,urb,perm,sfh,2030,38.31068405350513
C-EEU-BGR,urb,perm,sfh,2035,36.96075039670624
C-EEU-BGR,urb,perm,sfh,2040,35.61081673990734
C-EEU-BGR,urb,perm,sfh,2045,34.26088308310845
C-EEU-BGR,urb,perm,sfh,2050,32.910949426309564
C-EEU-BGR,urb,perm,sfh,2055,32.910949426309564
C-EEU-BGR,urb,perm,sfh,2060,32.910949426309564
C-EEU-BGR,urb,perm,sfh,2065,32.910949426309564
C-EEU-BGR,urb,perm,sfh,2070,32.910949426309564
C-EEU-BGR,urb,perm,sfh,2075,32.910949426309564
C-EEU-BGR,urb,perm,sfh,2080,32.910949426309564
C-EEU-BGR,urb,perm,sfh,2085,32.910949426309564
C-EEU-BGR,urb,perm,sfh,2090,32.910949426309564
C-EEU-BGR,urb,perm,sfh,2095,32.910949426309564
C-EEU-BGR,urb,perm,sfh,2100,32.910949426309564
C-EEU-CZE,rur,perm,mfh,2015,31.501975421328208
