region_bld,urt,mat,arch,year,value
C-EEU-BGR,rur,perm,mfh,2015,34.15443119020696
C-EEU-BGR,rur,perm,mfh,2020,36.84305402669879
C-EEU-BGR,rur,perm,mfh,2025,39.50795624495229
C-EEU-BGR,rur,perm,mfh,2030,38.39910364498178
C-EEU-BGR,rur,perm,mfh,2035,37.29025104501127
C-EEU-BGR,rur,perm,mfh,2040,36.18139844504075
C-EEU-BGR,rur,perm,mfh,2045,35.07254584507024
C-EEU-BGR,rur,perm,mfh,2050,33.963693245099726
C-EEU-BGR,rur,perm,mfh,2055,33.963693245099726
C-EEU-BGR,rur,perm,mfh,2060,33.963693245099726
C-EEU-BGR,rur,perm,mfh,2065,33.963693245099726
C-EEU-BGR,rur,perm,mfh,2070,33.963693245099726
C-EEU-BGR,rur,perm,mfh,2075,33.963693245099726
C-EEU-BGR,rur,perm,mfh,2080,33.963693245099726
C-EEU-BGR,rur,perm,mfh,2085,33.963693245099726
C-EEU-BGR,rur,perm,mfh,2090,33.963693245099726
C-EEU-BGR,rur,perm,mfh,2095,33.963693245099726
C-EEU-BGR,rur,perm,mfh,2100,33.963693245099726
C-EEU-BGR,rur,perm,sfh,2015,34.95934103202555
C-EEU-BGR,rur,perm,sfh,2020,37.71132603783137
C-EEU-BGR,rur,perm,sfh,2025,40.40159536555706
C-EEU-BGR,rur,perm,sfh,2030,38.780138884763936
C-EEU-BGR,rur,perm,sfh,2035,37.158682403970815
C-EEU-BGR,rur,perm,sfh,2040,35.537225923177694
C-EEU-BGR,rur,perm,sfh,2045,33.91576944238457
C-EEU-BGR,rur,perm,sfh,2050,32.29431296159145
C-EEU-BGR,rur,perm,sfh,2055,32.29431296159145
C-EEU-BGR,rur,perm,sfh,2060,32.29431296159145
C-EEU-BGR,rur,perm,sfh,2065,32.29431296159145
C-EEU-BGR,rur,perm,sfh,2070,32.29431296159145
C-EEU-BGR,rur,perm,sfh,2075,32.29431296159145
C-EEU-BGR,rur,perm,sfh,2080,32.29431296159145
C-EEU-BGR,rur,perm,sfh,2085,32.29431296159145
C-EEU-BGR,rur,perm,sfh,2090,32.29431296159145
C-EEU-BGR,rur,perm,sfh,2095,32.29431296159145
C-EEU-BGR,rur,perm,sfh,2100,32.29431296159145
C-EEU-BGR,urb,perm,mfh,2015,32.10619257870704
C-EEU-BGR,urb,perm,mfh,2020,34.633578922591504
C-EEU-BGR,urb,perm,mfh,2025,37.138260045190194
C-EEU-BGR,urb,perm,mfh,2030,36.11171667450468
C-EEU-BGR,urb,perm,mfh,2035,35.08517330381917
C-EEU-BGR,urb,perm,mfh,2040,34.05862993313365
C-EEU-BGR,urb,perm,mfh,2045,33.03208656244814
C-EEU-BGR,urb,perm,mfh,2050,32.00554319176263
C-EEU-BGR,urb,perm,mfh,2055,32.00554319176263
C-EEU-BGR,urb,perm,mfh,2060,32.00554319176263
C-EEU-BGR,urb,perm,mfh,2065,32.00554319176263
C-EEU-BGR,urb,perm,mfh,2070,32.00554319176263
C-EEU-BGR,urb,perm,mfh,2075,32.00554319176263
C-EEU-BGR,urb,perm,mfh,2080,32.00554319176263
C-EEU-BGR,urb,perm,mfh,2085,32.00554319176263
C-EEU-BGR,urb,perm,mfh,2090,32.00554319176263
C-EEU-BGR,urb,perm,mfh,2095,32.00554319176263
C-EEU-BGR,urb,perm,mfh,2100,32.00554319176263
C-EEU-BGR,urb,perm,sfh,2015,34.31648517608924
C-EEU-BGR,urb,perm,sfh,2020,37.01786483724634
C-EEU-BGR,urb,perm,sfh,2025,39.66061771030402
C-EEU-BGR,urb,perm,sfh,2030,38.18450405628654
C-EEU-BGR,urb,perm,sfh,2035,36.708390402269075
C-EEU-BGR,urb,perm,sfh,2040,35.2322767482516
C-EEU-BGR,urb,perm,sfh,2045,33.756163094234125
C-EEU-BGR,urb,perm,sfh,2050,32.28004944021666
C-EEU-BGR,urb,perm,sfh,2055,32.28004944021666
C-EEU-BGR,urb,perm,sfh,2060,32.28004944021666
C-EEU-BGR,urb,perm,sfh,2065,32.28004944021666
C-EEU-BGR,urb,perm,sfh,2070,32.28004944021666
C-EEU-BGR,urb,perm,sfh,2075,32.28004944021666
C-EEU-BGR,urb,perm,sfh,2080,32.28004944021666
C-EEU-BGR,urb,perm,sfh,2085,32.28004944021666
C-EEU-BGR,urb,perm,sfh,2090,32.28004944021666
C-EEU-BGR,urb,perm,sfh,2095,32.28004944021666
C-EEU-BGR,urb,perm,sfh,2100,32.28004944021666
C-EEU-CZE,rur,perm,mfh,2015,31.501975421328208
