region_bld,urt,mat,arch,year,value
C-EEU-BGR,rur,perm,mfh,2015,34.15443119020696
C-EEU-BGR,rur,perm,mfh,2020,36.84305402669879
C-EEU-BGR,rur,perm,mfh,2025,39.50795624495229
C-EEU-BGR,rur,perm,mfh,2030,38.630269564648906
C-EEU-BGR,rur,perm,mfh,2035,37.75258288434553
C-EEU-BGR,rur,perm,mfh,2040,36.874896204042145
C-EEU-BGR,rur,perm,mfh,2045,35.99720952373877
C-EEU-BGR,rur,perm,mfh,2050,35.119522843435384
C-EEU-BGR,rur,perm,mfh,2055,35.119522843435384
C-EEU-BGR,rur,perm,mfh,2060,35.119522843435384
C-EEU-BGR,rur,perm,mfh,2065,35.119522843435384
C-EEU-BGR,rur,perm,mfh,2070,35.119522843435384
C-EEU-BGR,rur,perm,mfh,2075,35.119522843435384
C-EEU-BGR,rur,perm,mfh,2080,35.119522843435384
C-EEU-BGR,rur,perm,mfh,2085,35.119522843435384
C-EEU-BGR,rur,perm,mfh,2090,35.119522843435384
C-EEU-BGR,rur,perm,mfh,2095,35.119522843435384
C-EEU-BGR,rur,perm,mfh,2100,35.119522843435384
C-EEU-BGR,rur,perm,sfh,2015,34.95934103202555
C-EEU-BGR,rur,perm,sfh,2020,37.71132603783137
C-EEU-BGR,rur,perm,sfh,2025,40.40159536555706
C-EEU-BGR,rur,perm,sfh,2030,39.06763794620298
C-EEU-BGR,rur,perm,sfh,2035,37.73368052684889
C-EEU-BGR,rur,perm,sfh,2040,36.399723107494815
C-EEU-BGR,rur,perm,sfh,2045,35.06576568814073
C-EEU-BGR,rur,perm,sfh,2050,33.73180826878665
C-EEU-BGR,rur,perm,sfh,2055,33.73180826878665
C-EEU-BGR,rur,perm,sfh,2060,33.73180826878665
C-EEU-BGR,rur,perm,sfh,2065,33.73180826878665
C-EEU-BGR,rur,perm,sfh,2070,33.73180826878665
C-EEU-BGR,rur,perm,sfh,2075,33.73180826878665
C-EEU-BGR,rur,perm,sfh,2080,33.73180826878665
C-EEU-BGR,rur,perm,sfh,2085,33.73180826878665
C-EEU-BGR,rur,perm,sfh,2090,33.73180826878665
C-EEU-BGR,rur,perm,sfh,2095,33.73180826878665
C-EEU-BGR,rur,perm,sfh,2100,33.73180826878665
C-EEU-BGR,urb,perm,mfh,2015,32.10619257870704
C-EEU-BGR,urb,perm,mfh,2020,34.633578922591504
C-EEU-BGR,urb,perm,mfh,2025,37.138260045190194
C-EEU-BGR,urb,perm,mfh,2030,36.36269200553247
C-EEU-BGR,urb,perm,mfh,2035,35.58712396587475
C-EEU-BGR,urb,perm,mfh,2040,34.81155592621703
C-EEU-BGR,urb,perm,mfh,2045,34.03598788655931
C-EEU-BGR,urb,perm,mfh,2050,33.26041984690159
C-EEU-BGR,urb,perm,mfh,2055,33.26041984690159
C-EEU-BGR,urb,perm,mfh,2060,33.26041984690159
C-EEU-BGR,urb,perm,mfh,2065,33.26041984690159
C-EEU-BGR,urb,perm,mfh,2070,33.26041984690159
C-EEU-BGR,urb,perm,mfh,2075,33.26041984690159
C-EEU-BGR,urb,perm,mfh,2080,33.26041984690159
C-EEU-BGR,urb,perm,mfh,2085,33.26041984690159
C-EEU-BGR,urb,perm,mfh,2090,33.26041984690159
C-EEU-BGR,urb,perm,mfh,2095,33.26041984690159
C-EEU-BGR,urb,perm,mfh,2100,33.26041984690159
C-EEU-BGR,urb,perm,sfh,2015,34.31648517608924
C-EEU-BGR,urb,perm,sfh,2020,37.01786483724634
C-EEU-BGR,urb,perm,sfh,2025,39.66061771030402
C-EEU-BGR,urb,perm,sfh,2030,38.476533250297265
C-EEU-BGR,urb,perm,sfh,2035,37.292448790290514
C-EEU-BGR,urb,perm,sfh,2040,36.10836433028377
C-EEU-BGR,urb,perm,sfh,2045,34.92427987027702
C-EEU-BGR,urb,perm,sfh,2050,33.74019541027027
C-EEU-BGR,urb,perm,sfh,2055,33.74019541027027
C-EEU-BGR,urb,perm,sfh,2060,33.74019541027027
C-EEU-BGR,urb,perm,sfh,2065,33.74019541027027
C-EEU-BGR,urb,perm,sfh,2070,33.74019541027027
C-EEU-BGR,urb,perm,sfh,2075,33.74019541027027
C-EEU-BGR,urb,perm,sfh,2080,33.74019541027027
C-EEU-BGR,urb,perm,sfh,2085,33.74019541027027
C-EEU-BGR,urb,perm,sfh,2090,33.74019541027027
C-EEU-BGR,urb,perm,sfh,2095,33.74019541027027
C-EEU-BGR,urb,perm,sfh,2100,33.74019541027027
C-EEU-CZE,rur,perm,mfh,2015,31.501975421328208
