region_bld,urt,mat,arch,year,value
C-EEU-BGR,rur,perm,mfh,2015,34.15443119020696
C-EEU-BGR,rur,perm,mfh,2020,36.84305402669879
C-EEU-BGR,rur,perm,mfh,2025,39.50795624495229
C-EEU-BGR,rur,perm,mfh,2030,39.11723161127409
C-EEU-BGR,rur,perm,mfh,2035,38.72650697759589
C-EEU-BGR,rur,perm,mfh,2040,38.33578234391769
C-EEU-BGR,rur,perm,mfh,2045,37.94505771023949
C-EEU-BGR,rur,perm,mfh,2050,37.55433307656129
C-EEU-BGR,rur,perm,mfh,2055,37.55433307656129
C-EEU-BGR,rur,perm,mfh,2060,37.55433307656129
C-EEU-BGR,rur,perm,mfh,2065,37.55433307656129
C-EEU-BGR,rur,perm,mfh,2070,37.55433307656129
C-EEU-BGR,rur,perm,mfh,2075,37.55433307656129
C-EEU-BGR,rur,perm,mfh,2080,37.55433307656129
C-EEU-BGR,rur,perm,mfh,2085,37.55433307656129
C-EEU-BGR,rur,perm,mfh,2090,37.55433307656129
C-EEU-BGR,rur,perm,mfh,2095,37.55433307656129
C-EEU-BGR,rur,perm,mfh,2100,37.55433307656129
C-EEU-BGR,rur,perm,sfh,2015,34.95934103202555
C-EEU-BGR,rur,perm,sfh,2020,37.71132603783137
C-EEU-BGR,rur,perm,sfh,2025,40.40159536555706
C-EEU-BGR,rur,perm,sfh,2030,40.099118722341096
C-EEU-BGR,rur,perm,sfh,2035,39.796642079125135
C-EEU-BGR,rur,perm,sfh,2040,39.49416543590918
C-EEU-BGR,rur,perm,sfh,2045,39.19168879269322
C-EEU-BGR,rur,perm,sfh,2050,38.88921214947726
C-EEU-BGR,rur,perm,sfh,2055,38.88921214947726
C-EEU-BGR,rur,perm,sfh,2060,38.88921214947726
C-EEU-BGR,rur,perm,sfh,2065,38.88921214947726
C-EEU-BGR,rur,perm,sfh,2070,38.88921214947726
C-EEU-BGR,rur,perm,sfh,2075,38.88921214947726
C-EEU-BGR,rur,perm,sfh,2080,38.88921214947726
C-EEU-BGR,rur,perm,sfh,2085,38.88921214947726
C-EEU-BGR,rur,perm,sfh,2090,38.88921214947726
C-EEU-BGR,rur,perm,sfh,2095,38.88921214947726
C-EEU-BGR,rur,perm,sfh,2100,38.88921214947726
C-EEU-BGR,urb,perm,mfh,2015,32.10619257870704
C-EEU-BGR,urb,perm,mfh,2020,34.633578922591504
C-EEU-BGR,urb,perm,mfh,2025,37.138260045190194
C-EEU-BGR,urb,perm,mfh,2030,36.72907268213524
C-EEU-BGR,urb,perm,mfh,2035,36.319885319080285
C-EEU-BGR,urb,perm,mfh,2040,35.91069795602533
C-EEU-BGR,urb,perm,mfh,2045,35.50151059297038
C-EEU-BGR,urb,perm,mfh,2050,35.09232322991542
C-EEU-BGR,urb,perm,mfh,2055,35.09232322991542
C-EEU-BGR,urb,perm,mfh,2060,35.09232322991542
C-EEU-BGR,urb,perm,mfh,2065,35.09232322991542
C-EEU-BGR,urb,perm,mfh,2070,35.09232322991542
C-EEU-BGR,urb,perm,mfh,2075,35.09232322991542
C-EEU-BGR,urb,perm,mfh,2080,35.09232322991542
C-EEU-BGR,urb,perm,mfh,2085,35.09232322991542
C-EEU-BGR,urb,perm,mfh,2090,35.09232322991542
C-EEU-BGR,urb,perm,mfh,2095,35.09232322991542
C-EEU-BGR,urb,perm,mfh,2100,35.09232322991542
C-EEU-BGR,urb,perm,sfh,2015,34.31648517608924
C-EEU-BGR,urb,perm,sfh,2020,37.01786483724634
C-EEU-BGR,urb,perm,sfh,2025,39.66061771030402
C-EEU-BGR,urb,perm,sfh,2030,39.31689913644981
C-EEU-BGR,urb,perm,sfh,2035,38.9731805625956
C-EEU-BGR,urb,perm,sfh,2040,38.6294619887414
C-EEU-BGR,urb,perm,sfh,2045,38.285743414887186
C-EEU-BGR,urb,perm,sfh,2050,37.94202484103298
C-EEU-BGR,urb,perm,sfh,2055,37.94202484103298
C-EEU-BGR,urb,perm,sfh,2060,37.94202484103298
C-EEU-BGR,urb,perm,sfh,2065,37.94202484103298
C-EEU-BGR,urb,perm,sfh,2070,37.94202484103298
C-EEU-BGR,urb,perm,sfh,2075,37.94202484103298
C-EEU-BGR,urb,perm,sfh,2080,37.94202484103298
C-EEU-BGR,urb,perm,sfh,2085,37.94202484103298
C-EEU-BGR,urb,perm,sfh,2090,37.94202484103298
C-EEU-BGR,urb,perm,sfh,2095,37.94202484103298
C-EEU-BGR,urb,perm,sfh,2100,37.94202484103298
C-EEU-CZE,rur,perm,mfh,2015,31.501975421328208
