region_bld,urt,mat,arch,year,value
C-EEU-BGR,rur,perm,mfh,2015,34.15443119020696
C-EEU-BGR,rur,perm,mfh,2020,36.84305402669879
C-EEU-BGR,rur,perm,mfh,2025,39.50795624495229
C-EEU-BGR,rur,perm,mfh,2030,42.112213000323756
C-EEU-BGR,rur,perm,mfh,2035,44.62440311017135
C-EEU-BGR,rur,perm,mfh,2040,47.01793419407
C-EEU-BGR,rur,perm,mfh,2045,49.272147920098945
C-EEU-BGR,rur,perm,mfh,2050,51.37242726240564
C-EEU-BGR,rur,perm,mfh,2055,53.30955700724653
C-EEU-BGR,rur,perm,mfh,2060,55.07968052356502
C-EEU-BGR,rur,perm,mfh,2065,56.68407066643487
C-EEU-BGR,rur,perm,mfh,2070,58.127833045677406
C-EEU-BGR,rur,perm,mfh,2075,59.41867099163308
C-EEU-BGR,rur,perm,mfh,2080,60.566631564768585
C-EEU-BGR,rur,perm,mfh,2085,61.58332224290636
C-EEU-BGR,rur,perm,mfh,2090,62.48064115784202
C-EEU-BGR,rur,perm,mfh,2095,63.27071565312691
C-EEU-BGR,rur,perm,mfh,2100,63.96435522816186
C-EEU-BGR,rur,perm,sfh,2015,34.95934103202555
C-EEU-BGR,rur,perm,sfh,2020,37.71132603783137
C-EEU-BGR,rur,perm,sfh,2025,40.401595365557064
C-EEU-BGR,rur,perm,sfh,2030,43.03032941819191
C-EEU-BGR,rur,perm,sfh,2035,45.56294148851106
C-EEU-BGR,rur,perm,sfh,2040,47.97290140309701
C-EEU-BGR,rur,perm,sfh,2045,50.23990393934817
C-EEU-BGR,rur,perm,sfh,2050,52.349877040706254
C-EEU-BGR,rur,perm,sfh,2055,54.29299032974145
C-EEU-BGR,rur,perm,sfh,2060,56.06552571562028
C-EEU-BGR,rur,perm,sfh,2065,57.669927452811834
C-EEU-BGR,rur,perm,sfh,2070,59.11293777955153
C-EEU-BGR,rur,perm,sfh,2075,60.40371048848768
C-EEU-BGR,rur,perm,sfh,2080,61.55354855559917
C-EEU-BGR,rur,perm,sfh,2085,62.57425110217474
C-EEU-BGR,rur,perm,sfh,2090,63.477202314971954
C-EEU-BGR,rur,perm,sfh,2095,64.27339090400399
C-EEU-BGR,rur,perm,sfh,2100,64.97246281529536
C-EEU-BGR,urb,perm,mfh,2015,32.10619257870704
C-EEU-BGR,urb,perm,mfh,2020,34.633578922591504
C-EEU-BGR,urb,perm,mfh,2025,37.138260045190194
C-EEU-BGR,urb,perm,mfh,2030,39.58595784735341
C-EEU-BGR,urb,perm,mfh,2035,41.94713894717062
C-EEU-BGR,urb,perm,mfh,2040,44.196794419752685
C-EEU-BGR,urb,perm,mfh,2045,46.31549577111257
C-EEU-BGR,urb,perm,mfh,2050,48.289491034954274
C-EEU-BGR,urb,perm,mfh,2055,50.11015500042978
C-EEU-BGR,urb,perm,mfh,2060,51.773916199550875
C-EEU-BGR,urb,perm,mfh,2065,53.28197915966794
C-EEU-BGR,urb,perm,mfh,2070,54.6391261668424
C-EEU-BGR,urb,perm,mfh,2075,55.85254419795177
C-EEU-BGR,urb,perm,mfh,2080,56.931666178977395
C-EEU-BGR,urb,perm,mfh,2085,57.8874187565568
C-EEU-BGR,urb,perm,mfh,2090,58.73098062944763
C-EEU-BGR,urb,perm,mfh,2095,59.47372423496674
C-EEU-BGR,urb,perm,mfh,2100,60.12584320003657
C-EEU-BGR,urb,perm,sfh,2015,34.31648517608924
C-EEU-BGR,urb,perm,sfh,2020,37.01786483724634
C-EEU-BGR,urb,perm,sfh,2025,39.660617710304024
C-EEU-BGR,urb,perm,sfh,2030,42.243110227867405
C-EEU-BGR,urb,perm,sfh,2035,44.731373381173256
C-EEU-BGR,urb,perm,sfh,2040,47.099408210353175
C-EEU-BGR,urb,perm,sfh,2045,49.32730905324951
C-EEU-BGR,urb,perm,sfh,2050,51.40115318123853
C-EEU-BGR,urb,perm,sfh,2055,53.311301263054965
C-EEU-BGR,urb,perm,sfh,2060,55.05400189412705
C-EEU-BGR,urb,perm,sfh,2065,56.631522223768386
C-EEU-BGR,urb,perm,sfh,2070,58.05046621048251
C-EEU-BGR,urb,perm,sfh,2075,59.31978376089012
C-EEU-BGR,urb,perm,sfh,2080,60.45053100190303
C-EEU-BGR,urb,perm,sfh,2085,61.45420780064963
C-EEU-BGR,urb,perm,sfh,2090,62.34208527061589
C-EEU-BGR,urb,perm,sfh,2095,63.12505474525983
C-EEU-BGR,urb,perm,sfh,2100,63.812671689505486
C-EEU-CZE,rur,perm,mfh,2015,31.501975421328208
