region_bld,urt,mat,arch,year,value
C-EEU-BGR,rur,perm,mfh,2015,32.598618536624805
C-EEU-BGR,rur,perm,mfh,2020,35.164768447350404
C-EEU-BGR,rur,perm,mfh,2025,37.66224858745395
C-EEU-BGR,rur,perm,mfh,2030,40.10169033945022
C-EEU-BGR,rur,perm,mfh,2035,42.453511320651025
C-EEU-BGR,rur,perm,mfh,2040,44.69280632213203
C-EEU-BGR,rur,perm,mfh,2045,46.800208880365595
C-EEU-BGR,rur,perm,mfh,2050,48.76208079563475
C-EEU-BGR,rur,perm,mfh,2055,50.56995354844245
C-EEU-BGR,rur,perm,mfh,2060,52.22033573800615
C-EEU-BGR,rur,perm,mfh,2065,53.714623289433
C-EEU-BGR,rur,perm,mfh,2070,55.05776637620532
C-EEU-BGR,rur,perm,mfh,2075,56.25709473819644
C-EEU-BGR,rur,perm,mfh,2080,57.32215618689518
C-EEU-BGR,rur,perm,mfh,2085,58.26404093328678
C-EEU-BGR,rur,perm,mfh,2090,59.09399933939761
C-EEU-BGR,rur,perm,mfh,2095,59.82346196063723
C-EEU-BGR,rur,perm,mfh,2100,60.4627035360497
C-EEU-BGR,urb,perm,mfh,2015,32.598618536624805
C-EEU-BGR,urb,perm,mfh,2020,35.164768447350404
C-EEU-BGR,urb,perm,mfh,2025,37.66224858745395
C-EEU-BGR,urb,perm,mfh,2030,40.10169033945022
C-EEU-BGR,urb,perm,mfh,2035,42.453511320651025
C-EEU-BGR,urb,perm,mfh,2040,44.69280632213203
C-EEU-BGR,urb,perm,mfh,2045,46.800208880365595
C-EEU-BGR,urb,perm,mfh,2050,48.76208079563475
C-EEU-BGR,urb,perm,mfh,2055,50.56995354844245
C-EEU-BGR,urb,perm,mfh,2060,52.22033573800615
C-EEU-BGR,urb,perm,mfh,2065,53.714623289433
C-EEU-BGR,urb,perm,mfh,2070,55.05776637620532
C-EEU-BGR,urb,perm,mfh,2075,56.25709473819644
C-EEU-BGR,urb,perm,mfh,2080,57.32215618689518
C-EEU-BGR,urb,perm,mfh,2085,58.26404093328678
C-EEU-BGR,urb,perm,mfh,2090,59.09399933939761
C-EEU-BGR,urb,perm,mfh,2095,59.82346196063723
C-EEU-BGR,urb,perm,mfh,2100,60.4627035360497
C-EEU-BGR,rur,perm,sfh,2015,34.471036949932945
C-EEU-BGR,rur,perm,sfh,2020,37.1845828622165
C-EEU-BGR,rur,perm,sfh,2025,39.8244631017365
C-EEU-BGR,rur,perm,sfh,2030,42.40382024735025
C-EEU-BGR,rur,perm,sfh,2035,44.88865450495721
C-EEU-BGR,rur,perm,sfh,2040,47.25298550708712
C-EEU-BGR,rur,perm,sfh,2045,49.4769197218163
C-EEU-BGR,rur,perm,sfh,2050,51.546585051578695
C-EEU-BGR,rur,perm,sfh,2055,53.452383629853706
C-EEU-BGR,rur,perm,sfh,2060,55.190600862857885
C-EEU-BGR,rur,perm,sfh,2065,56.763576263399415
