region_bld,region_nuts,urt,mat,arch,year,value
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2015,34.95727183716427
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2055,50.111318491032286
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2050,48.28933346122233
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2045,46.31398283930636
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2040,44.193753149216924
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2035,41.94275211829637
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2030,39.580804227378195
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2025,37.13308731688672
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2020,34.62927238118052
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2060,51.77660817178216
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2065,53.28631265613679
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2070,54.645131482034834
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2075,55.86047292098335
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2015,32.102200311164374
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2100,60.13803750552617
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2095,59.48635064916573
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2090,58.743575301127635
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2085,57.899002621727725
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,mfh,2080,56.94162126361748
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2095,61.21792157072966
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2100,65.4865306570012
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2095,64.77688476451772
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2090,63.96804924845866
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2085,63.04836285768635
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2080,62.00583492929217
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2070,59.50510236928332
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2065,58.025434352326414
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2100,61.888578190710255
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2055,54.568065915423055
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2050,52.58403910875709
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2045,50.433006843220674
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2040,48.1242104082328
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2035,45.673012229263705
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2030,43.10099991584827
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2025,40.43559054854342
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2020,37.709093969211004
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2075,60.82853255925439
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2060,56.3814613678635
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2085,59.58436789011716
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2080,58.59911839583012
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2075,57.486499219776675
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2065,54.83740847065244
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2060,53.283758436491254
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2055,51.56999432159474
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2050,49.69497365818623
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2045,47.6621231281489
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2040,45.48017628717811
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2035,43.163651520358194
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2070,56.235780759503285
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2025,38.213983581729586
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2030,40.73295037358332
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2090,60.453524990595795
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2020,35.637285823521516
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,mfh,2015,33.03665394582876
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2095,78.7087956511374
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2090,77.7259995562311
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2085,76.60851129953303
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2080,75.34176130604192
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2075,73.91125022665378
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2070,72.30318281999105
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2065,70.50527469489494
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2060,68.50772366324044
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2055,66.30431155682363
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2050,63.89356949435369
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2045,61.27990321537322
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2040,58.47454158871908
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2035,55.496151120307815
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2030,52.37096236776936
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2025,49.13228915766729
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2100,77.3203725878763
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2095,76.48248906764186
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2090,75.52749171362879
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2085,74.44161201404667
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2080,73.21069249956139
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2075,71.82064394037138
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2070,70.25806129846133
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2065,68.51100765109298
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2060,66.56995806855673
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2055,64.42887026577192
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2020,45.819390377127625
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2050,62.086316909283134
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2040,56.8205681562852
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2035,53.926422533106155
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2030,50.88963086804545
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2025,47.742564694104864
