region_bld,urt,clim,year,value
C-EEU-BGR,rur,Zone_4A Mixed Humid,2010,0.11459882991323894
C-EEU-BGR,rur,Zone_4A Mixed Humid,2015,0.1083960545073292
C-EEU-BGR,rur,Zone_4A Mixed Humid,2020,0.10379412990375807
C-EEU-BGR,rur,Zone_4A Mixed Humid,2025,0.09983712358600194
C-EEU-BGR,rur,Zone_4A Mixed Humid,2030,0.09643067214311749
C-EEU-BGR,rur,Zone_4A Mixed Humid,2035,0.09349062304938123
C-EEU-BGR,rur,Zone_4A Mixed Humid,2040,0.0909433060247597
C-EEU-BGR,rur,Zone_4A Mixed Humid,2045,0.08872483256451436
C-EEU-BGR,rur,Zone_4A Mixed Humid,2050,0.08677954620063605
C-EEU-BGR,rur,Zone_4A Mixed Humid,2055,0.08505791368544599
C-EEU-BGR,rur,Zone_4A Mixed Humid,2060,0.08351424733493891
C-EEU-BGR,rur,Zone_4A Mixed Humid,2065,0.08210466254828644
C-EEU-BGR,rur,Zone_4A Mixed Humid,2070,0.0807856157824122
C-EEU-BGR,rur,Zone_4A Mixed Humid,2075,0.07951327482164296
C-EEU-BGR,rur,Zone_4A Mixed Humid,2080,0.07824389161966662
C-EEU-BGR,rur,Zone_4A Mixed Humid,2085,0.07693532166514508
C-EEU-BGR,rur,Zone_4A Mixed Humid,2090,0.0755499017275728
C-EEU-BGR,rur,Zone_4A Mixed Humid,2095,0.0740591081606653
C-EEU-BGR,rur,Zone_4A Mixed Humid,2100,0.07245086180928449
C-EEU-BGR,rur,Zone_5A Cool Humid,2010,0.038838340743355376
C-EEU-BGR,rur,Zone_5A Cool Humid,2015,0.03627119834388295
C-EEU-BGR,rur,Zone_5A Cool Humid,2020,0.03388900785501748
C-EEU-BGR,rur,Zone_5A Cool Humid,2025,0.03186126892107718
C-EEU-BGR,rur,Zone_5A Cool Humid,2030,0.030120191882265536
C-EEU-BGR,rur,Zone_5A Cool Humid,2035,0.028610675675915888
C-EEU-BGR,rur,Zone_5A Cool Humid,2040,0.027290037842949207
C-EEU-BGR,rur,Zone_5A Cool Humid,2045,0.026126550396584604
C-EEU-BGR,rur,Zone_5A Cool Humid,2050,0.025097007315535134
C-EEU-BGR,rur,Zone_5A Cool Humid,2055,0.02418373636853236
C-EEU-BGR,rur,Zone_5A Cool Humid,2060,0.023371557936542282
C-EEU-BGR,rur,Zone_5A Cool Humid,2065,0.022645172627166265
C-EEU-BGR,rur,Zone_5A Cool Humid,2070,0.021987353588711497
C-EEU-BGR,rur,Zone_5A Cool Humid,2075,0.021378179900188404
C-EEU-BGR,rur,Zone_5A Cool Humid,2080,0.020795430509825664
C-EEU-BGR,rur,Zone_5A Cool Humid,2085,0.020216210417665754
C-EEU-BGR,rur,Zone_5A Cool Humid,2090,0.019619937864079576
C-EEU-BGR,rur,Zone_5A Cool Humid,2095,0.018993023118047334
C-EEU-BGR,rur,Zone_5A Cool Humid,2100,0.018335994391843018
C-EEU-BGR,sub,Zone_4A Mixed Humid,2010,0.040899907424748846
C-EEU-BGR,sub,Zone_4A Mixed Humid,2015,0.040137770777062313
C-EEU-BGR,sub,Zone_4A Mixed Humid,2020,0.03935836020054401
C-EEU-BGR,sub,Zone_4A Mixed Humid,2025,0.038551422177677624
C-EEU-BGR,sub,Zone_4A Mixed Humid,2030,0.037723715313783775
C-EEU-BGR,sub,Zone_4A Mixed Humid,2035,0.03688225793501374
C-EEU-BGR,sub,Zone_4A Mixed Humid,2040,0.036034228194824616
C-EEU-BGR,sub,Zone_4A Mixed Humid,2045,0.035186873673690194
C-EEU-BGR,sub,Zone_4A Mixed Humid,2050,0.034347429779367895
C-EEU-BGR,sub,Zone_4A Mixed Humid,2055,0.0335230477924767
C-EEU-BGR,sub,Zone_4A Mixed Humid,2060,0.03272073510104326
C-EEU-BGR,sub,Zone_4A Mixed Humid,2065,0.03194731202339722
C-EEU-BGR,sub,Zone_4A Mixed Humid,2070,0.031209391521544283
C-EEU-BGR,sub,Zone_4A Mixed Humid,2075,0.030513389795105053
C-EEU-BGR,sub,Zone_4A Mixed Humid,2080,0.029865576762850003
C-EEU-BGR,sub,Zone_4A Mixed Humid,2085,0.029272175124188535
C-EEU-BGR,sub,Zone_4A Mixed Humid,2090,0.028739514247922083
C-EEU-BGR,sub,Zone_4A Mixed Humid,2095,0.028274239815402325
C-EEU-BGR,sub,Zone_4A Mixed Humid,2100,0.027883571605739087
C-EEU-BGR,sub,Zone_5A Cool Humid,2010,0.04262239723210296
C-EEU-BGR,sub,Zone_5A Cool Humid,2015,0.041873349888692936
C-EEU-BGR,sub,Zone_5A Cool Humid,2020,0.041063550985432705
C-EEU-BGR,sub,Zone_5A Cool Humid,2025,0.040146763037951394
C-EEU-BGR,sub,Zone_5A Cool Humid,2030,0.03914188727879574
C-EEU-BGR,sub,Zone_5A Cool Humid,2035,0.038068040318610136
C-EEU-BGR,sub,Zone_5A Cool Humid,2040,0.03694448497835607
C-EEU-BGR,sub,Zone_5A Cool Humid,2045,0.03579056741442861
C-EEU-BGR,sub,Zone_5A Cool Humid,2050,0.034625659606956766
C-EEU-BGR,sub,Zone_5A Cool Humid,2055,0.03346910724354888
C-EEU-BGR,sub,Zone_5A Cool Humid,2060,0.03234018409803679
C-EEU-BGR,sub,Zone_5A Cool Humid,2065,0.03125805519525249
C-EEU-BGR,sub,Zone_5A Cool Humid,2070,0.030241752328088022
C-EEU-BGR,sub,Zone_5A Cool Humid,2075,0.02931016672190425
C-EEU-BGR,sub,Zone_5A Cool Humid,2080,0.028482064572504188
C-EEU-BGR,sub,Zone_5A Cool Humid,2085,0.02777613142806144
C-EEU-BGR,sub,Zone_5A Cool Humid,2090,0.027211050439224983
C-EEU-BGR,sub,Zone_5A Cool Humid,2095,0.026805616845603286
C-EEU-BGR,sub,Zone_5A Cool Humid,2100,0.02657888636220854
C-EEU-BGR,urb,Zone_4A Mixed Humid,2010,0.08562350098789626
C-EEU-BGR,urb,Zone_4A Mixed Humid,2015,0.08376894034134547
C-EEU-BGR,urb,Zone_4A Mixed Humid,2020,0.08161806413546074
C-EEU-BGR,urb,Zone_4A Mixed Humid,2025,0.0791745652395463
C-EEU-BGR,urb,Zone_4A Mixed Humid,2030,0.07649361829190857
C-EEU-BGR,urb,Zone_4A Mixed Humid,2035,0.07363033080082448
C-EEU-BGR,urb,Zone_4A Mixed Humid,2040,0.07063962820728195
C-EEU-BGR,urb,Zone_4A Mixed Humid,2045,0.06757611680810312
C-EEU-BGR,urb,Zone_4A Mixed Humid,2050,0.06449391797641152
C-EEU-BGR,urb,Zone_4A Mixed Humid,2055,0.06144647021890393
C-EEU-BGR,urb,Zone_4A Mixed Humid,2060,0.05848630218537105
C-EEU-BGR,urb,Zone_4A Mixed Humid,2065,0.05566479203953877
C-EEU-BGR,urb,Zone_4A Mixed Humid,2070,0.05303194895416551
C-EEU-BGR,urb,Zone_4A Mixed Humid,2075,0.05063628190100525
C-EEU-BGR,urb,Zone_4A Mixed Humid,2080,0.04852485594716673
C-EEU-BGR,urb,Zone_4A Mixed Humid,2085,0.04674366445102001
C-EEU-BGR,urb,Zone_4A Mixed Humid,2090,0.04533844138145974
C-EEU-BGR,urb,Zone_4A Mixed Humid,2095,0.04435596632082471
C-EEU-BGR,urb,Zone_4A Mixed Humid,2100,0.043845750801840305
C-EEU-BGR,urb,Zone_5A Cool Humid,2010,0.4359244016931153
C-EEU-BGR,urb,Zone_5A Cool Humid,2015,0.4252988639784746
C-EEU-BGR,urb,Zone_5A Cool Humid,2020,0.4117222589323978
C-EEU-BGR,urb,Zone_5A Cool Humid,2025,0.3964615724875836
C-EEU-BGR,urb,Zone_5A Cool Humid,2030,0.37984097990697063
C-EEU-BGR,urb,Zone_5A Cool Humid,2035,0.3621845840419433
C-EEU-BGR,urb,Zone_5A Cool Humid,2040,0.3438162451158564
C-EEU-BGR,urb,Zone_5A Cool Humid,2045,0.3250593672190046
C-EEU-BGR,urb,Zone_5A Cool Humid,2050,0.30623662740606755
C-EEU-BGR,urb,Zone_5A Cool Humid,2055,0.28766963622393366
C-EEU-BGR,urb,Zone_5A Cool Humid,2060,0.2696785268097762
C-EEU-BGR,urb,Zone_5A Cool Humid,2065,0.25258148751205745
C-EEU-BGR,urb,Zone_5A Cool Humid,2070,0.2366942852594505
C-EEU-BGR,urb,Zone_5A Cool Humid,2075,0.2223298773886607
C-EEU-BGR,urb,Zone_5A Cool Humid,2080,0.20979827594413308
C-EEU-BGR,urb,Zone_5A Cool Humid,2085,0.1994068935629224
C-EEU-BGR,urb,Zone_5A Cool Humid,2090,0.19146162322324023
