index,region_bld,urt,arch,mat,year,value
0,C-EEU-BGR,rur,mfh,perm,2015,19.629548145700568
1,C-EEU-BGR,sub,mfh,perm,2055,28.13899618786865
2,C-EEU-BGR,sub,mfh,perm,2050,27.115897387996696
3,C-EEU-BGR,sub,mfh,perm,2045,26.006679245397947
4,C-EEU-BGR,sub,mfh,perm,2040,24.816107195741953
5,C-EEU-BGR,sub,mfh,perm,2035,23.552103147648562
6,C-EEU-BGR,sub,mfh,perm,2030,22.225799136901273
7,C-EEU-BGR,sub,mfh,perm,2025,20.851333269960914
8,C-EEU-BGR,sub,mfh,perm,2020,19.445366692897615
9,C-EEU-BGR,urb,sfh,perm,2095,57.43263185848924
10,C-EEU-BGR,urb,sfh,perm,2090,56.71550023623835
11,C-EEU-BGR,urb,sfh,perm,2085,55.90008575654548
12,C-EEU-BGR,urb,sfh,perm,2080,54.97575721827915
13,C-EEU-BGR,urb,sfh,perm,2075,53.93193466309561
14,C-EEU-BGR,urb,sfh,perm,2070,52.75855190953596
15,C-EEU-BGR,urb,sfh,perm,2065,51.446645220965756
16,C-EEU-BGR,urb,sfh,perm,2060,49.98906208720705
17,C-EEU-BGR,urb,sfh,perm,2055,48.381265203853964
18,C-EEU-BGR,urb,sfh,perm,2050,46.622182750181445
19,C-EEU-BGR,urb,sfh,perm,2045,44.715029528488564
20,C-EEU-BGR,urb,sfh,perm,2040,42.66799907654655
21,C-EEU-BGR,urb,sfh,perm,2035,40.494712064745784
22,C-EEU-BGR,urb,sfh,perm,2030,38.21430853896475
23,C-EEU-BGR,urb,sfh,perm,2025,35.8510971005611
24,C-EEU-BGR,sub,mfh,perm,2060,29.07410588742092
25,C-EEU-BGR,sub,mfh,perm,2065,29.921849870402845
26,C-EEU-BGR,sub,mfh,perm,2070,30.684867067182285
27,C-EEU-BGR,sub,mfh,perm,2075,31.367317442612954
28,C-EEU-BGR,sub,mfh,perm,2015,18.026340542999385
29,C-EEU-BGR,sub,sfh,perm,2100,56.41952029965474
30,C-EEU-BGR,sub,sfh,perm,2095,55.808129217377086
31,C-EEU-BGR,sub,sfh,perm,2090,55.111281920894896
32,C-EEU-BGR,sub,sfh,perm,2085,54.31893173292952
33,C-EEU-BGR,sub,sfh,perm,2080,53.42074815969577
34,C-EEU-BGR,sub,sfh,perm,2075,52.4064505007755
35,C-EEU-BGR,sub,sfh,perm,2070,51.2662573002715
36,C-EEU-BGR,sub,sfh,perm,2065,49.99145836406281
37,C-EEU-BGR,sub,sfh,perm,2060,48.57510349329345
38,C-EEU-BGR,sub,sfh,perm,2055,47.01278372284395
39,C-EEU-BGR,urb,sfh,perm,2020,33.43372437273404
40,C-EEU-BGR,sub,sfh,perm,2050,45.30345754882384
41,C-EEU-BGR,sub,sfh,perm,2040,41.46111938206194
42,C-EEU-BGR,sub,sfh,perm,2035,39.349304574760936
43,C-EEU-BGR,sub,sfh,perm,2030,37.13340308258966
44,C-EEU-BGR,sub,sfh,perm,2025,34.83703592937656
45,C-EEU-BGR,sub,sfh,perm,2020,32.48803945828424
46,C-EEU-BGR,sub,sfh,perm,2015,30.117223924796612
47,C-EEU-BGR,sub,mfh,perm,2100,33.76929721808729
48,C-EEU-BGR,sub,mfh,perm,2095,33.40335565999214
49,C-EEU-BGR,sub,mfh,perm,2090,32.98626520385842
50,C-EEU-BGR,sub,mfh,perm,2085,32.51201251760621
51,C-EEU-BGR,sub,mfh,perm,2080,31.97441440210219
52,C-EEU-BGR,sub,sfh,perm,2045,43.45024884169333
53,C-EEU-BGR,urb,sfh,perm,2015,30.993897457755036
54,C-EEU-BGR,urb,sfh,perm,2100,58.061819746390746
55,C-EEU-BGR,urb,mfh,perm,2095,34.37568424818587
56,C-EEU-BGR,rur,sfh,perm,2045,47.31458110126078
57,C-EEU-BGR,rur,sfh,perm,2040,45.14854455031869
58,C-EEU-BGR,rur,sfh,perm,2035,42.848911392061446
59,C-EEU-BGR,rur,sfh,perm,2030,40.43593439748235
60,C-EEU-BGR,rur,sfh,perm,2025,37.935335372035254
61,C-EEU-BGR,rur,sfh,perm,2020,35.377426338119086
62,C-EEU-BGR,rur,sfh,perm,2015,32.79575772112164
63,C-EEU-BGR,rur,mfh,perm,2100,36.77263524494703
64,C-EEU-BGR,rur,mfh,perm,2095,36.37414796373725
