region_bld,clim,urt,arch,eneff,region_nuts,value
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT111,903.5435379
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT111,872.4772788
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT112,773.331058
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT112,773.331058
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT113,903.5435379
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT113,872.4772788
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT121,903.5435379
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT121,872.4772788
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT122,903.5435379
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT122,872.4772788
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT123,903.5435379
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT123,872.4772788
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT124,903.5435379
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT124,872.4772788
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT125,903.5435379
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT125,872.4772788
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT126,903.5435379
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT126,872.4772788
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT127,773.331058
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT127,773.331058
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT130,773.331058
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT130,773.331058
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT211,1111.335806
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT211,1071.917369
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,C-WEU-AUT-AT212,1111.335806
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,C-WEU-AUT-AT212,1071.917369
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT213,903.5435379
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT213,872.4772788
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT221,1111.335806
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT221,1071.917369
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT222,1111.335806
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT222,1071.917369
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT223,1111.335806
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT223,1071.917369
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT224,773.331058
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT224,773.331058
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT225,903.5435379
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT225,872.4772788
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT226,1111.335806
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT226,1071.917369
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT311,903.5435379
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT311,872.4772788
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT312,903.5435379
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT312,872.4772788
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT313,903.5435379
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT313,872.4772788
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT314,1111.335806
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT314,1071.917369
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT315,1111.335806
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT315,1071.917369
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,C-WEU-AUT-AT321,1111.335806
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,C-WEU-AUT-AT321,1071.917369
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,C-WEU-AUT-AT322,1111.335806
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,C-WEU-AUT-AT322,1071.917369
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT323,1111.335806
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT323,1071.917369
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,C-WEU-AUT-AT331,1111.335806
