region_bld,clim,urt,arch,eneff,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,inf,ns,951.7244001999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s1,195.86510789999997
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s2,187.17838609999998
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s3,116.54414659999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s51_std,85.35658306999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s52_low,38.12468591
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr11_std,195.86510789999997
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr12_low,195.86510789999997
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr21_std,187.17838609999998
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr22_low,187.17838609999998
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr31_std,116.54414659999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr32_low,116.54414659999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,s1,475.86220009999994
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,s2,458.3352292999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,s3,287.3027961
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,s51_std,210.12581719999997
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,s52_low,87.90436547999998
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr11_std,475.86220009999994
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr12_low,475.86220009999994
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr21_std,458.3352292999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr22_low,458.3352292999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr31_std,287.3027961
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr32_low,287.3027961
C-EEU-BGR,Zone_4A Mixed Humid,urb,inf,ns,954.4672038
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s1,196.3847977
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s2,187.6672935
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s3,116.8155221
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s51_std,85.51459929
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s52_low,38.13822199
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr11_std,196.3847977
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr12_low,196.3847977
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr21_std,187.6672935
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr22_low,187.6672935
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr31_std,116.8155221
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr32_low,116.8155221
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s1,477.2336019
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s2,459.6499634
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s3,288.0926734
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s51_std,210.6721746
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s52_low,88.07080374
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr11_std,477.2336019
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr12_low,477.2336019
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr21_std,459.6499634
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr22_low,459.6499634
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr31_std,288.0926734
