region_bld,clim,urt,arch,eneff,value
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,1853.6577901181304
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,1853.6577901181304
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,1853.6577901181304
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,1853.6577901181304
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,1853.6577901181304
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,1853.6577901181304
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,1853.6577901181304
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,1853.6577901181304
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,1531.0187415191322
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,1531.0187415191322
C-WEU-BEL,Zone_5A Cool Humid,rur,inf,ns,1531.0187415191322
C-WEU-BEL,Zone_5A Cool Humid,urb,inf,ns,1531.0187415191322
C-EEU-BGR,Zone_4A Mixed Humid,rur,inf,ns,1029.2223503636237
C-EEU-BGR,Zone_4A Mixed Humid,urb,inf,ns,1029.2223503636237
C-EEU-BGR,Zone_5A Cool Humid,rur,inf,ns,1029.2223503636237
C-EEU-BGR,Zone_5A Cool Humid,urb,inf,ns,1029.2223503636237
C-WEU-CYP,Zone_3A Warm Humid,rur,inf,ns,572.6639935011
C-WEU-CYP,Zone_3A Warm Humid,urb,inf,ns,572.6639935011
C-EEU-CZE,Zone_5A Cool Humid,rur,inf,ns,1256.3795302872
C-EEU-CZE,Zone_5A Cool Humid,urb,inf,ns,1256.3795302872
C-WEU-DEU,Zone_5A Cool Humid,rur,inf,ns,1691.4868864558034
C-WEU-DEU,Zone_5A Cool Humid,urb,inf,ns,1691.4868864558034
C-WEU-DEU,Zone_4A Mixed Humid,rur,inf,ns,1691.4868864558034
C-WEU-DEU,Zone_4A Mixed Humid,urb,inf,ns,1691.4868864558034
C-WEU-DEU,Zone_6A Cold Humid,rur,inf,ns,1691.4868864558034
C-WEU-DEU,Zone_6A Cold Humid,urb,inf,ns,1691.4868864558034
C-WEU-DNK,Zone_5A Cool Humid,rur,inf,ns,1897.7749906783679
C-WEU-DNK,Zone_5A Cool Humid,urb,inf,ns,1897.7749906783679
C-EEU-EST,Zone_6A Cold Humid,rur,inf,ns,1543.0856898512002
C-EEU-EST,Zone_6A Cold Humid,urb,inf,ns,1543.0856898512002
C-WEU-GRC,Zone_3A Warm Humid,rur,inf,ns,929.1142225613642
C-WEU-GRC,Zone_3A Warm Humid,urb,inf,ns,929.1142225613642
C-WEU-GRC,Zone_4A Mixed Humid,rur,inf,ns,929.1142225613642
C-WEU-GRC,Zone_4A Mixed Humid,urb,inf,ns,929.1142225613642
C-WEU-GRC,Zone_4C Mixed Marine,rur,inf,ns,929.1142225613642
C-WEU-GRC,Zone_4C Mixed Marine,urb,inf,ns,929.1142225613642
C-WEU-GRC,Zone_5C Cool Marine,rur,inf,ns,929.1142225613642
C-WEU-GRC,Zone_5C Cool Marine,urb,inf,ns,929.1142225613642
C-WEU-GRC,Zone_5A Cool Humid,rur,inf,ns,929.1142225613642
C-WEU-GRC,Zone_5A Cool Humid,urb,inf,ns,929.1142225613642
C-WEU-ESP,Zone_3C Warm Marine,rur,inf,ns,831.1817162621337
C-WEU-ESP,Zone_3C Warm Marine,urb,inf,ns,831.1817162621337
C-WEU-ESP,Zone_4C Mixed Marine,rur,inf,ns,831.1817162621337
C-WEU-ESP,Zone_4C Mixed Marine,urb,inf,ns,831.1817162621337
C-WEU-ESP,Zone_4A Mixed Humid,rur,inf,ns,831.1817162621337
C-WEU-ESP,Zone_4A Mixed Humid,urb,inf,ns,831.1817162621337
C-WEU-ESP,Zone_3A Warm Humid,rur,inf,ns,831.1817162621337
C-WEU-ESP,Zone_3A Warm Humid,urb,inf,ns,831.1817162621337
