region_bld,clim,arch,eneff,urt,value
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,951.7244002
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,sub,953.0958020000002
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,954.4672038
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s1,rur,195.8651079
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s1,sub,196.12495280000002
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s1,urb,196.38479770000004
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s2,rur,187.1783861
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s2,sub,187.4228398
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s2,urb,187.66729350000003
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s3,rur,116.5441466
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s3,sub,116.67983435000001
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s3,urb,116.8155221
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s51_std,rur,85.35658307
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s51_std,sub,85.43559118000002
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s51_std,urb,85.51459929000002
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s52_low,rur,38.12468591
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s52_low,sub,38.13145395
C-EEU-BGR,Zone_4A Mixed Humid,mfh,s52_low,urb,38.13822199
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr11_std,rur,195.8651079
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr11_std,sub,196.12495280000002
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr11_std,urb,196.38479770000004
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr12_low,rur,195.8651079
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr12_low,sub,196.12495280000002
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr12_low,urb,196.38479770000004
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr21_std,rur,187.1783861
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr21_std,sub,187.4228398
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr21_std,urb,187.66729350000003
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr22_low,rur,187.1783861
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr22_low,sub,187.4228398
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr22_low,urb,187.66729350000003
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr31_std,rur,116.5441466
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr31_std,sub,116.67983435000001
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr31_std,urb,116.8155221
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr32_low,rur,116.5441466
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr32_low,sub,116.67983435000001
C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr32_low,urb,116.8155221
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s1,rur,475.8622001
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s1,sub,476.5479010000001
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s1,urb,477.2336019
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s2,rur,458.3352293
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s2,sub,458.99259635
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s2,urb,459.64996340000005
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s3,rur,287.3027961
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s3,sub,287.69773475
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s3,urb,288.0926734
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s51_std,rur,210.1258172
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s51_std,sub,210.3989959
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s51_std,urb,210.6721746
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s52_low,rur,87.90436548
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s52_low,sub,87.98758461
C-EEU-BGR,Zone_4A Mixed Humid,sfh,s52_low,urb,88.07080374
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr11_std,rur,475.8622001
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr11_std,sub,476.5479010000001
C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr11_std,urb,477.2336019
