region_bld,arch,eneff,value
C-EEU-BGR,inf,ns,530.6410649249999
C-EEU-BGR,mfh,s1,218.100407475
C-EEU-BGR,mfh,s2,208.502439775
C-EEU-BGR,mfh,s3,129.784562725
C-EEU-BGR,mfh,s51_std,95.15975679
C-EEU-BGR,mfh,s52_low,42.601216234999995
C-EEU-BGR,mfh,sr11_std,218.100407475
C-EEU-BGR,mfh,sr12_low,218.100407475
C-EEU-BGR,mfh,sr21_std,208.502439775
C-EEU-BGR,mfh,sr22_low,208.502439775
C-EEU-BGR,mfh,sr31_std,129.784562725
C-EEU-BGR,mfh,sr32_low,129.784562725
C-EEU-BGR,sfh,s1,530.6410649249999
C-EEU-BGR,sfh,s2,511.67971842500003
C-EEU-BGR,sfh,s3,320.56540792500004
C-EEU-BGR,sfh,s51_std,234.2705426
C-EEU-BGR,sfh,s52_low,97.978156305
C-EEU-BGR,sfh,sr11_std,530.6410649249999
C-EEU-BGR,sfh,sr12_low,530.6410649249999
C-EEU-BGR,sfh,sr21_std,511.67971842500003
C-EEU-BGR,sfh,sr22_low,511.67971842500003
C-EEU-BGR,sfh,sr31_std,320.56540792500004
C-EEU-BGR,sfh,sr32_low,320.56540792500004
C-EEU-CZE,inf,ns,630.20177715
C-EEU-CZE,mfh,s1,261.4801997
C-EEU-CZE,mfh,s2,249.8833239
C-EEU-CZE,mfh,s3,157.26678675
C-EEU-CZE,mfh,s51_std,116.55651985
C-EEU-CZE,mfh,s52_low,55.143941765
C-EEU-CZE,mfh,sr11_std,261.4801997
C-EEU-CZE,mfh,sr12_low,261.4801997
C-EEU-CZE,mfh,sr21_std,249.8833239
C-EEU-CZE,mfh,sr22_low,249.8833239
C-EEU-CZE,mfh,sr31_std,157.26678675
C-EEU-CZE,mfh,sr32_low,157.26678675
C-EEU-CZE,sfh,s1,630.20177715
C-EEU-CZE,sfh,s2,606.21388345
C-EEU-CZE,sfh,s3,381.2577811
C-EEU-CZE,sfh,s51_std,279.85888294999995
C-EEU-CZE,sfh,s52_low,119.96762294999999
C-EEU-CZE,sfh,sr11_std,630.20177715
C-EEU-CZE,sfh,sr12_low,630.20177715
C-EEU-CZE,sfh,sr21_std,606.21388345
C-EEU-CZE,sfh,sr22_low,606.21388345
C-EEU-CZE,sfh,sr31_std,381.2577811
C-EEU-CZE,sfh,sr32_low,381.2577811
C-EEU-EST,inf,ns,770.88617935
C-EEU-EST,mfh,s1,320.38067164999995
C-EEU-EST,mfh,s2,305.99769385
C-EEU-EST,mfh,s3,193.1695609
C-EEU-EST,mfh,s51_std,143.9038462
