clim,region_gea,year,region_bld,value
Zone_5A Cool Humid,WEU,2015,C-WEU-AUT,6.52943114470298
Zone_4A Mixed Humid,WEU,2015,C-WEU-AUT,6.52943114470298
Zone_6A Cold Humid,WEU,2015,C-WEU-AUT,6.52943114470298
Zone_7A Very cold Humid,WEU,2015,C-WEU-AUT,6.52943114470298
Zone_4A Mixed Humid,WEU,2015,C-WEU-BEL,6.0
Zone_5A Cool Humid,WEU,2015,C-WEU-BEL,6.0
Zone_4A Mixed Humid,EEU,2015,C-EEU-BGR,6.0
Zone_5A Cool Humid,EEU,2015,C-EEU-BGR,6.0
Zone_3A Warm Humid,WEU,2015,C-WEU-CYP,2.0
Zone_5A Cool Humid,EEU,2015,C-EEU-CZE,6.0
Zone_5A Cool Humid,WEU,2015,C-WEU-DEU,6.0
Zone_4A Mixed Humid,WEU,2015,C-WEU-DEU,6.0
Zone_6A Cold Humid,WEU,2015,C-WEU-DEU,6.0
Zone_5A Cool Humid,WEU,2015,C-WEU-DNK,6.0
Zone_6A Cold Humid,EEU,2015,C-EEU-EST,6.0
Zone_3A Warm Humid,WEU,2015,C-WEU-GRC,3.3077313520435823
Zone_4A Mixed Humid,WEU,2015,C-WEU-GRC,3.3077313520435823
Zone_4C Mixed Marine,WEU,2015,C-WEU-GRC,3.3077313520435823
Zone_5C Cool Marine,WEU,2015,C-WEU-GRC,3.3077313520435823
Zone_5A Cool Humid,WEU,2015,C-WEU-GRC,3.3077313520435823
Zone_3C Warm Marine,WEU,2015,C-WEU-ESP,2.829512604339227
Zone_4C Mixed Marine,WEU,2015,C-WEU-ESP,2.829512604339227
Zone_4A Mixed Humid,WEU,2015,C-WEU-ESP,2.829512604339227
Zone_3A Warm Humid,WEU,2015,C-WEU-ESP,2.829512604339227
Zone_3B Warm Dry,WEU,2015,C-WEU-ESP,2.829512604339227
Zone_2B Hot Dry,WEU,2015,C-WEU-ESP,2.829512604339227
Zone_6A Cold Humid,WEU,2015,C-WEU-FIN,9.01384106180089
Zone_7A Very cold Humid,WEU,2015,C-WEU-FIN,9.01384106180089
Zone_4A Mixed Humid,WEU,2015,C-WEU-FRA,5.2011589132836065
Zone_5A Cool Humid,WEU,2015,C-WEU-FRA,5.2011589132836065
Zone_3A Warm Humid,WEU,2015,C-WEU-FRA,5.2011589132836065
Zone_7A Very cold Humid,WEU,2015,C-WEU-FRA,5.2011589132836065
Zone_4C Mixed Marine,WEU,2015,C-WEU-FRA,5.2011589132836065
Zone_3C Warm Marine,WEU,2015,C-WEU-FRA,5.2011589132836065
Zone_1A Very hot Humid,WEU,2015,C-WEU-FRA,5.2011589132836065
Zone_2A Hot Humid,WEU,2015,C-WEU-FRA,5.2011589132836065
Zone_0A Extremely hot Humid,WEU,2015,C-WEU-FRA,5.2011589132836065
Zone_4A Mixed Humid,EEU,2015,C-EEU-HRV,5.665706486858363
Zone_5A Cool Humid,EEU,2015,C-EEU-HRV,5.665706486858363
Zone_4C Mixed Marine,EEU,2015,C-EEU-HRV,5.665706486858363
Zone_3A Warm Humid,EEU,2015,C-EEU-HRV,5.665706486858363
Zone_4A Mixed Humid,EEU,2015,C-EEU-HUN,6.0
Zone_5A Cool Humid,EEU,2015,C-EEU-HUN,6.0
Zone_5A Cool Humid,WEU,2015,C-WEU-IRL,6.0
Zone_4A Mixed Humid,WEU,2015,C-WEU-IRL,6.0
Zone_4A Mixed Humid,WEU,2015,C-WEU-ITA,4.364157655655265
Zone_5A Cool Humid,WEU,2015,C-WEU-ITA,4.364157655655265
Zone_7A Very cold Humid,WEU,2015,C-WEU-ITA,4.364157655655265
Zone_6A Cold Humid,WEU,2015,C-WEU-ITA,4.364157655655265
