clim,region_gea,year,value,region_bld,region_nuts
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT111
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT112
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT113
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT121
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT122
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT123
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT124
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT125
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT126
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT127
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT130
Zone_6A Cold Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT211
Zone_7A Very cold Humid,WEU,2015,12.0,C-WEU-AUT,C-WEU-AUT-AT212
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT213
Zone_6A Cold Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT221
Zone_6A Cold Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT222
Zone_6A Cold Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT223
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT224
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT225
Zone_6A Cold Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT226
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT311
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT312
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT313
Zone_6A Cold Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT314
Zone_6A Cold Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT315
Zone_7A Very cold Humid,WEU,2015,12.0,C-WEU-AUT,C-WEU-AUT-AT321
Zone_7A Very cold Humid,WEU,2015,12.0,C-WEU-AUT,C-WEU-AUT-AT322
Zone_6A Cold Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT323
Zone_7A Very cold Humid,WEU,2015,12.0,C-WEU-AUT,C-WEU-AUT-AT331
Zone_7A Very cold Humid,WEU,2015,12.0,C-WEU-AUT,C-WEU-AUT-AT332
Zone_7A Very cold Humid,WEU,2015,12.0,C-WEU-AUT,C-WEU-AUT-AT333
Zone_7A Very cold Humid,WEU,2015,12.0,C-WEU-AUT,C-WEU-AUT-AT334
Zone_6A Cold Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT335
Zone_6A Cold Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT341
Zone_6A Cold Humid,WEU,2015,6.0,C-WEU-AUT,C-WEU-AUT-AT342
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE100
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE211
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE212
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE213
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE223
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE224
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE225
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE231
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE232
