clim,region_gea,year,region_bld,value
Zone_0A Extremely hot Humid,WEU,2015,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2020,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2025,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2030,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2035,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2040,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2045,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2050,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2055,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2060,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2065,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2070,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2075,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2080,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2085,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2090,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2095,C-WEU-FRA,0.0
Zone_0A Extremely hot Humid,WEU,2100,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2015,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2020,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2025,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2030,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2035,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2040,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2045,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2050,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2055,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2060,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2065,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2070,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2075,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2080,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2085,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2090,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2095,C-WEU-FRA,0.0
Zone_1A Very hot Humid,WEU,2100,C-WEU-FRA,0.0
Zone_2A Hot Humid,WEU,2015,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2020,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2025,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2030,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2035,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2040,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2045,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2050,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2055,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2060,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2065,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2070,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2075,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2080,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2085,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2090,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2095,C-WEU-FRA,1.0
Zone_2A Hot Humid,WEU,2100,C-WEU-FRA,1.0
Zone_2B Hot Dry,WEU,2015,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2020,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2025,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2030,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2035,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2040,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2045,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2050,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2055,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2060,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2065,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2070,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2075,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2080,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2085,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2090,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2095,C-WEU-ESP,1.0
Zone_2B Hot Dry,WEU,2100,C-WEU-ESP,1.0
Zone_3A Warm Humid,EEU,2015,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2020,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2025,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2030,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2035,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2040,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2045,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2050,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2055,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2060,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2065,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2070,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2075,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2080,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2085,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2090,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2095,C-EEU-HRV,2.0
Zone_3A Warm Humid,EEU,2100,C-EEU-HRV,2.0
Zone_3A Warm Humid,WEU,2015,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2015,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2015,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2015,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2015,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2015,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2015,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2020,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2020,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2020,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2020,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2020,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2020,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2020,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2025,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2025,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2025,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2025,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2025,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2025,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2025,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2030,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2030,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2030,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2030,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2030,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2030,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2030,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2035,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2035,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2035,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2035,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2035,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2035,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2035,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2040,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2040,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2040,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2040,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2040,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2040,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2040,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2045,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2045,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2045,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2045,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2045,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2045,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2045,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2050,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2050,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2050,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2050,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2050,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2050,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2050,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2055,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2055,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2055,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2055,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2055,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2055,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2055,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2060,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2060,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2060,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2060,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2060,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2060,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2060,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2065,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2065,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2065,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2065,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2065,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2065,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2065,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2070,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2070,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2070,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2070,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2070,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2070,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2070,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2075,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2075,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2075,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2075,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2075,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2075,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2075,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2080,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2080,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2080,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2080,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2080,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2080,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2080,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2085,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2085,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2085,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2085,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2085,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2085,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2085,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2090,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2090,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2090,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2090,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2090,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2090,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2090,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2095,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2095,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2095,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2095,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2095,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2095,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2095,C-WEU-PRT,2.0
Zone_3A Warm Humid,WEU,2100,C-WEU-CYP,2.0
Zone_3A Warm Humid,WEU,2100,C-WEU-ESP,2.0
Zone_3A Warm Humid,WEU,2100,C-WEU-FRA,2.0
Zone_3A Warm Humid,WEU,2100,C-WEU-GRC,2.0
Zone_3A Warm Humid,WEU,2100,C-WEU-ITA,2.0
Zone_3A Warm Humid,WEU,2100,C-WEU-MLT,2.0
Zone_3A Warm Humid,WEU,2100,C-WEU-PRT,2.0
Zone_3B Warm Dry,WEU,2015,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2020,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2025,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2030,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2035,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2040,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2045,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2050,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2055,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2060,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2065,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2070,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2075,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2080,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2085,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2090,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2095,C-WEU-ESP,2.0
Zone_3B Warm Dry,WEU,2100,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2015,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2015,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2015,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2020,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2020,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2020,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2025,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2025,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2025,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2030,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2030,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2030,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2035,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2035,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2035,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2040,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2040,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2040,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2045,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2045,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2045,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2050,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2050,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2050,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2055,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2055,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2055,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2060,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2060,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2060,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2065,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2065,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2065,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2070,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2070,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2070,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2075,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2075,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2075,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2080,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2080,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2080,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2085,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2085,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2085,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2090,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2090,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2090,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2095,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2095,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2095,C-WEU-PRT,2.0
Zone_3C Warm Marine,WEU,2100,C-WEU-ESP,2.0
Zone_3C Warm Marine,WEU,2100,C-WEU-FRA,2.0
Zone_3C Warm Marine,WEU,2100,C-WEU-PRT,2.0
Zone_4A Mixed Humid,EEU,2015,C-EEU-BGR,6.0
Zone_4A Mixed Humid,EEU,2015,C-EEU-HRV,6.0
Zone_4A Mixed Humid,EEU,2015,C-EEU-HUN,6.0
Zone_4A Mixed Humid,EEU,2015,C-EEU-ROU,6.0
Zone_4A Mixed Humid,EEU,2015,C-EEU-SVN,6.0
Zone_4A Mixed Humid,EEU,2020,C-EEU-BGR,6.0
Zone_4A Mixed Humid,EEU,2020,C-EEU-HRV,6.0
Zone_4A Mixed Humid,EEU,2020,C-EEU-HUN,6.0
Zone_4A Mixed Humid,EEU,2020,C-EEU-ROU,6.0
Zone_4A Mixed Humid,EEU,2020,C-EEU-SVN,6.0
Zone_4A Mixed Humid,EEU,2025,C-EEU-BGR,6.0
Zone_4A Mixed Humid,EEU,2025,C-EEU-HRV,6.0
Zone_4A Mixed Humid,EEU,2025,C-EEU-HUN,6.0
