region_gea,year,region_bld,value
EEU,2015,C-EEU-BGR,5.0
EEU,2015,C-EEU-CZE,5.0
EEU,2015,C-EEU-EST,5.0
EEU,2015,C-EEU-HRV,5.0
EEU,2015,C-EEU-HUN,5.0
EEU,2015,C-EEU-LTU,5.0
EEU,2015,C-EEU-LVA,5.0
EEU,2015,C-EEU-POL,5.0
EEU,2015,C-EEU-ROU,5.0
EEU,2015,C-EEU-SVK,5.0
EEU,2015,C-EEU-SVN,5.0
EEU,2020,C-EEU-BGR,5.0
EEU,2020,C-EEU-CZE,5.0
EEU,2020,C-EEU-EST,5.0
EEU,2020,C-EEU-HRV,5.0
EEU,2020,C-EEU-HUN,5.0
EEU,2020,C-EEU-LTU,5.0
EEU,2020,C-EEU-LVA,5.0
EEU,2020,C-EEU-POL,5.0
EEU,2020,C-EEU-ROU,5.0
EEU,2020,C-EEU-SVK,5.0
EEU,2020,C-EEU-SVN,5.0
EEU,2025,C-EEU-BGR,5.0
EEU,2025,C-EEU-CZE,5.0
EEU,2025,C-EEU-EST,5.0
EEU,2025,C-EEU-HRV,5.0
EEU,2025,C-EEU-HUN,5.0
EEU,2025,C-EEU-LTU,5.0
EEU,2025,C-EEU-LVA,5.0
EEU,2025,C-EEU-POL,5.0
EEU,2025,C-EEU-ROU,5.0
EEU,2025,C-EEU-SVK,5.0
EEU,2025,C-EEU-SVN,5.0
EEU,2030,C-EEU-BGR,5.0
EEU,2030,C-EEU-CZE,5.0
EEU,2030,C-EEU-EST,5.0
EEU,2030,C-EEU-HRV,5.0
EEU,2030,C-EEU-HUN,5.0
EEU,2030,C-EEU-LTU,5.0
EEU,2030,C-EEU-LVA,5.0
EEU,2030,C-EEU-POL,5.0
EEU,2030,C-EEU-ROU,5.0
EEU,2030,C-EEU-SVK,5.0
EEU,2030,C-EEU-SVN,5.0
EEU,2035,C-EEU-BGR,5.0
EEU,2035,C-EEU-CZE,5.0
EEU,2035,C-EEU-EST,5.0
EEU,2035,C-EEU-HRV,5.0
EEU,2035,C-EEU-HUN,5.0
EEU,2035,C-EEU-LTU,5.0
