region_bld,urt,arch,year,value
C-EEU-BGR,rur,mfh,2015,2.305045987663972
C-EEU-BGR,rur,mfh,2020,2.305045987663972
C-EEU-BGR,rur,mfh,2025,2.304424639380294
C-EEU-BGR,rur,mfh,2030,2.304424639380294
C-EEU-BGR,rur,mfh,2035,2.304424639380294
C-EEU-BGR,rur,mfh,2040,2.304424639380294
C-EEU-BGR,rur,mfh,2045,2.304424639380294
C-EEU-BGR,rur,mfh,2050,2.304424639380294
C-EEU-BGR,rur,mfh,2055,2.304424639380294
C-EEU-BGR,rur,mfh,2060,2.304424639380294
C-EEU-BGR,rur,mfh,2065,2.304424639380294
C-EEU-BGR,rur,mfh,2070,2.304424639380294
C-EEU-BGR,rur,mfh,2075,2.304424639380294
C-EEU-BGR,rur,mfh,2080,2.304424639380294
C-EEU-BGR,rur,mfh,2085,2.304424639380294
C-EEU-BGR,rur,mfh,2090,2.304424639380294
C-EEU-BGR,rur,mfh,2095,2.304424639380294
C-EEU-BGR,rur,mfh,2100,2.304424639380294
C-EEU-BGR,rur,sfh,2015,2.674960211582658
C-EEU-BGR,rur,sfh,2020,2.674960211582658
C-EEU-BGR,rur,sfh,2025,2.680422771473732
C-EEU-BGR,rur,sfh,2030,2.680422771473732
C-EEU-BGR,rur,sfh,2035,2.680422771473732
C-EEU-BGR,rur,sfh,2040,2.680422771473732
C-EEU-BGR,rur,sfh,2045,2.680422771473732
C-EEU-BGR,rur,sfh,2050,2.680422771473732
C-EEU-BGR,rur,sfh,2055,2.680422771473732
C-EEU-BGR,rur,sfh,2060,2.680422771473732
C-EEU-BGR,rur,sfh,2065,2.680422771473732
C-EEU-BGR,rur,sfh,2070,2.680422771473732
C-EEU-BGR,rur,sfh,2075,2.680422771473732
C-EEU-BGR,rur,sfh,2080,2.680422771473732
C-EEU-BGR,rur,sfh,2085,2.680422771473732
C-EEU-BGR,rur,sfh,2090,2.680422771473732
C-EEU-BGR,rur,sfh,2095,2.680422771473732
C-EEU-BGR,rur,sfh,2100,2.680422771473732
C-EEU-BGR,urb,mfh,2015,2.3043575909492624
C-EEU-BGR,urb,mfh,2020,2.3043575909492624
C-EEU-BGR,urb,mfh,2025,2.3039020002601207
C-EEU-BGR,urb,mfh,2030,2.3039020002601207
C-EEU-BGR,urb,mfh,2035,2.3039020002601207
C-EEU-BGR,urb,mfh,2040,2.3039020002601207
C-EEU-BGR,urb,mfh,2045,2.3039020002601207
