region_bld,urt,arch,year,value
C-EEU-BGR,rur,mfh,2015,2.305045987663972
C-EEU-BGR,rur,mfh,2020,2.305045987663972
C-EEU-BGR,rur,mfh,2025,2.304424639380294
C-EEU-BGR,rur,mfh,2030,2.303835385547666
C-EEU-BGR,rur,mfh,2035,2.3032923336367874
C-EEU-BGR,rur,mfh,2040,2.302735694501993
C-EEU-BGR,rur,mfh,2045,2.3021414358343146
C-EEU-BGR,rur,mfh,2050,2.3015190602356452
C-EEU-BGR,rur,mfh,2055,2.3009152773142696
C-EEU-BGR,rur,mfh,2060,2.3003991894535933
C-EEU-BGR,rur,mfh,2065,2.300019935758172
C-EEU-BGR,rur,mfh,2070,2.299759518689256
C-EEU-BGR,rur,mfh,2075,2.299592517437048
C-EEU-BGR,rur,mfh,2080,2.2995130403195243
C-EEU-BGR,rur,mfh,2085,2.2995271024396287
C-EEU-BGR,rur,mfh,2090,2.2996259002293584
C-EEU-BGR,rur,mfh,2095,2.299777889140687
C-EEU-BGR,rur,mfh,2100,2.2999666111537027
C-EEU-BGR,rur,sfh,2015,2.674960211582658
C-EEU-BGR,rur,sfh,2020,2.674960211582658
C-EEU-BGR,rur,sfh,2025,2.6804227714737316
C-EEU-BGR,rur,sfh,2030,2.6851220212606637
C-EEU-BGR,rur,sfh,2035,2.68944527584232
C-EEU-BGR,rur,sfh,2040,2.693463718254717
C-EEU-BGR,rur,sfh,2045,2.697174038710915
C-EEU-BGR,rur,sfh,2050,2.7005685005537488
C-EEU-BGR,rur,sfh,2055,2.7036857714637996
C-EEU-BGR,rur,sfh,2060,2.706523104095388
C-EEU-BGR,rur,sfh,2065,2.7090575425437646
C-EEU-BGR,rur,sfh,2070,2.711237087681482
C-EEU-BGR,rur,sfh,2075,2.7130675397748996
C-EEU-BGR,rur,sfh,2080,2.7145734734862037
C-EEU-BGR,rur,sfh,2085,2.7158203878214175
C-EEU-BGR,rur,sfh,2090,2.7168925586627966
C-EEU-BGR,rur,sfh,2095,2.7178623919977816
C-EEU-BGR,rur,sfh,2100,2.71877721511117
C-EEU-BGR,urb,mfh,2015,2.3043575909492624
C-EEU-BGR,urb,mfh,2020,2.3043575909492624
C-EEU-BGR,urb,mfh,2025,2.3039020002601207
C-EEU-BGR,urb,mfh,2030,2.303459551930942
C-EEU-BGR,urb,mfh,2035,2.3030543742306557
C-EEU-BGR,urb,mfh,2040,2.3026316366821553
