region_bld,region_nuts,urt,arch,year,value
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2015,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2070,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2075,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2080,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2085,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2090,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2095,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2015,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2095,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2090,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2085,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2080,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2075,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2070,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2065,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2060,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2055,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2050,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2045,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2040,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2035,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2030,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2025,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2020,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2065,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2060,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2100,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2050,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2020,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2025,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2030,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2055,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2040,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2045,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2050,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2055,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2060,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2065,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2070,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2075,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2035,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2085,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2080,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2045,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2040,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2035,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2030,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,sub,mfh,2100,2.3768740225720975
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2020,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,urb,mfh,2015,2.1014422688834857
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2100,2.2850634380092276
C-EEU-BGR,C-EEU-BGR-BG311,rur,mfh,2095,2.2850634380092276
