region_bld,urt,arch,year,value
C-EEU-BGR,rur,mfh,2015,2.349810591497533
C-EEU-BGR,rur,mfh,2020,2.348969598325993
C-EEU-BGR,rur,mfh,2025,2.3482580376528848
C-EEU-BGR,rur,mfh,2030,2.347689913395614
C-EEU-BGR,rur,mfh,2035,2.347272711411659
C-EEU-BGR,rur,mfh,2040,2.3470063422030107
C-EEU-BGR,rur,mfh,2045,2.34688275835249
C-EEU-BGR,rur,mfh,2050,2.3468862826078696
C-EEU-BGR,rur,mfh,2055,2.3469945413799764
C-EEU-BGR,rur,mfh,2060,2.3471797829325753
C-EEU-BGR,rur,mfh,2065,2.3474102968875195
C-EEU-BGR,rur,mfh,2070,2.347651647018368
C-EEU-BGR,rur,mfh,2075,2.347867466000243
C-EEU-BGR,rur,mfh,2080,2.3480196084764917
C-EEU-BGR,rur,mfh,2085,2.3480674827865546
C-EEU-BGR,rur,mfh,2090,2.347966346579689
C-EEU-BGR,rur,mfh,2095,2.347664214363509
C-EEU-BGR,rur,mfh,2100,2.347096712329509
C-EEU-BGR,rur,sfh,2015,2.6465546455750726
C-EEU-BGR,rur,sfh,2020,2.6491770824738956
C-EEU-BGR,rur,sfh,2025,2.651469141632344
C-EEU-BGR,rur,sfh,2030,2.653388760064534
C-EEU-BGR,rur,sfh,2035,2.654911099588892
C-EEU-BGR,rur,sfh,2040,2.6560318075334126
C-EEU-BGR,rur,sfh,2045,2.656768492278922
C-EEU-BGR,rur,sfh,2050,2.657160263989745
C-EEU-BGR,rur,sfh,2055,2.6572655795745597
C-EEU-BGR,rur,sfh,2060,2.6571589621443814
C-EEU-BGR,rur,sfh,2065,2.6569273603560686
C-EEU-BGR,rur,sfh,2070,2.656666951975391
C-EEU-BGR,rur,sfh,2075,2.656481119684796
C-EEU-BGR,rur,sfh,2080,2.6564802174404907
C-EEU-BGR,rur,sfh,2085,2.656783700833211
C-EEU-BGR,rur,sfh,2090,2.65752532017472
C-EEU-BGR,rur,sfh,2095,2.6588625032873243
C-EEU-BGR,rur,sfh,2100,2.66099201570159
C-EEU-BGR,sub,mfh,2015,2.454419298501542
C-EEU-BGR,sub,mfh,2020,2.454518596495977
C-EEU-BGR,sub,mfh,2025,2.45463922690108
C-EEU-BGR,sub,mfh,2030,2.4547803165439794
C-EEU-BGR,sub,mfh,2035,2.4549408830092894
C-EEU-BGR,sub,mfh,2040,2.4551197517532075
C-EEU-BGR,sub,mfh,2045,2.4553154641680512
C-EEU-BGR,sub,mfh,2050,2.4555261761715528
C-EEU-BGR,sub,mfh,2055,2.4557495484181366
C-EEU-BGR,sub,mfh,2060,2.455982631423842
C-EEU-BGR,sub,mfh,2065,2.4562217518967726
C-EEU-BGR,sub,mfh,2070,2.456462410400907
C-EEU-BGR,sub,mfh,2075,2.456699204973042
C-EEU-BGR,sub,mfh,2080,2.4569257999357506
C-EEU-BGR,sub,mfh,2085,2.4571349628997563
C-EEU-BGR,sub,mfh,2090,2.4573186942822023
C-EEU-BGR,sub,mfh,2095,2.4574684706202943
C-EEU-BGR,sub,mfh,2100,2.4575756135876263
C-EEU-BGR,sub,sfh,2015,2.7675258115421144
C-EEU-BGR,sub,sfh,2020,2.7680831406068966
C-EEU-BGR,sub,sfh,2025,2.768590493916383
C-EEU-BGR,sub,sfh,2030,2.769053372235258
C-EEU-BGR,sub,sfh,2035,2.769476975707981
C-EEU-BGR,sub,sfh,2040,2.769866338605418
C-EEU-BGR,sub,sfh,2045,2.770226452344924
C-EEU-BGR,sub,sfh,2050,2.770562377387812
C-EEU-BGR,sub,sfh,2055,2.7708793424529006
