region_gea,arch,material,year,urt,value
AFR,mfh,aluminum,2015,rur,2.026666667
AFR,mfh,aluminum,2015,urb,2.08742268
AFR,mfh,aluminum,2015,sub,2.0570446735
AFR,mfh,aluminum,2020,rur,2.026666667
AFR,mfh,aluminum,2020,urb,2.08742268
AFR,mfh,aluminum,2020,sub,2.0570446735
AFR,mfh,aluminum,2025,rur,2.026666667
AFR,mfh,aluminum,2025,urb,2.08742268
AFR,mfh,aluminum,2025,sub,2.0570446735
AFR,mfh,aluminum,2030,rur,2.026666667
AFR,mfh,aluminum,2030,urb,2.08742268
AFR,mfh,aluminum,2030,sub,2.0570446735
AFR,mfh,aluminum,2035,rur,2.026666667
AFR,mfh,aluminum,2035,urb,2.08742268
AFR,mfh,aluminum,2035,sub,2.0570446735
AFR,mfh,aluminum,2040,rur,2.026666667
AFR,mfh,aluminum,2040,urb,2.08742268
AFR,mfh,aluminum,2040,sub,2.0570446735
AFR,mfh,aluminum,2045,rur,2.026666667
AFR,mfh,aluminum,2045,urb,2.08742268
AFR,mfh,aluminum,2045,sub,2.0570446735
AFR,mfh,aluminum,2050,rur,2.026666667
AFR,mfh,aluminum,2050,urb,2.08742268
AFR,mfh,aluminum,2050,sub,2.0570446735
AFR,mfh,aluminum,2055,rur,2.026666667
AFR,mfh,aluminum,2055,urb,2.08742268
AFR,mfh,aluminum,2055,sub,2.0570446735
AFR,mfh,aluminum,2060,rur,2.026666667
AFR,mfh,aluminum,2060,urb,2.08742268
AFR,mfh,aluminum,2060,sub,2.0570446735
AFR,mfh,aluminum,2065,rur,2.026666667
AFR,mfh,aluminum,2065,urb,2.08742268
AFR,mfh,aluminum,2065,sub,2.0570446735
AFR,mfh,aluminum,2070,rur,2.026666667
AFR,mfh,aluminum,2070,urb,2.08742268
AFR,mfh,aluminum,2070,sub,2.0570446735
AFR,mfh,aluminum,2075,rur,2.026666667
AFR,mfh,aluminum,2075,urb,2.08742268
AFR,mfh,aluminum,2075,sub,2.0570446735
AFR,mfh,aluminum,2080,rur,2.026666667
AFR,mfh,aluminum,2080,urb,2.08742268
AFR,mfh,aluminum,2080,sub,2.0570446735
AFR,mfh,aluminum,2085,rur,2.026666667
AFR,mfh,aluminum,2085,urb,2.08742268
AFR,mfh,aluminum,2085,sub,2.0570446735
AFR,mfh,aluminum,2090,rur,2.026666667
AFR,mfh,aluminum,2090,urb,2.08742268
AFR,mfh,aluminum,2090,sub,2.0570446735
AFR,mfh,aluminum,2095,rur,2.026666667
AFR,mfh,aluminum,2095,urb,2.08742268
AFR,mfh,aluminum,2095,sub,2.0570446735
AFR,mfh,aluminum,2100,rur,2.026666667
AFR,mfh,aluminum,2100,urb,2.08742268
AFR,mfh,aluminum,2100,sub,2.0570446735
AFR,mfh,concrete,2015,rur,967.35
AFR,mfh,concrete,2015,urb,947.3215464
AFR,mfh,concrete,2015,sub,957.3357732
AFR,mfh,concrete,2020,rur,967.35
AFR,mfh,concrete,2020,urb,947.3215464
