region_gea,arch,material,year,value
AFR,mfh,aluminum,2015,2.0570446735
AFR,mfh,aluminum,2020,2.0570446735
AFR,mfh,aluminum,2025,2.0570446735
AFR,mfh,aluminum,2030,2.0570446735
AFR,mfh,aluminum,2035,2.0570446735
AFR,mfh,aluminum,2040,2.0570446735
AFR,mfh,aluminum,2045,2.0570446735
AFR,mfh,aluminum,2050,2.0570446735
AFR,mfh,aluminum,2055,2.0570446735
AFR,mfh,aluminum,2060,2.0570446735
AFR,mfh,aluminum,2065,2.0570446735
AFR,mfh,aluminum,2070,2.0570446735
AFR,mfh,aluminum,2075,2.0570446735
AFR,mfh,aluminum,2080,2.0570446735
AFR,mfh,aluminum,2085,2.0570446735
AFR,mfh,aluminum,2090,2.0570446735
AFR,mfh,aluminum,2095,2.0570446735
AFR,mfh,aluminum,2100,2.0570446735
AFR,mfh,concrete,2015,957.3357732
AFR,mfh,concrete,2020,957.3357732
AFR,mfh,concrete,2025,957.3357732
AFR,mfh,concrete,2030,957.3357732
AFR,mfh,concrete,2035,957.3357732
AFR,mfh,concrete,2040,957.3357732
AFR,mfh,concrete,2045,957.3357732
AFR,mfh,concrete,2050,957.3357732
AFR,mfh,concrete,2055,957.3357732
AFR,mfh,concrete,2060,957.3357732
AFR,mfh,concrete,2065,957.3357732
AFR,mfh,concrete,2070,957.3357732
AFR,mfh,concrete,2075,957.3357732
AFR,mfh,concrete,2080,957.3357732
AFR,mfh,concrete,2085,957.3357732
AFR,mfh,concrete,2090,957.3357732
AFR,mfh,concrete,2095,957.3357732
AFR,mfh,concrete,2100,957.3357732
AFR,mfh,copper,2015,0.17588433150000002
AFR,mfh,copper,2020,0.17588433150000002
AFR,mfh,copper,2025,0.17588433150000002
AFR,mfh,copper,2030,0.17588433150000002
AFR,mfh,copper,2035,0.17588433150000002
AFR,mfh,copper,2040,0.17588433150000002
AFR,mfh,copper,2045,0.17588433150000002
AFR,mfh,copper,2050,0.17588433150000002
AFR,mfh,copper,2055,0.17588433150000002
AFR,mfh,copper,2060,0.17588433150000002
AFR,mfh,copper,2065,0.17588433150000002
AFR,mfh,copper,2070,0.17588433150000002
AFR,mfh,copper,2075,0.17588433150000002
AFR,mfh,copper,2080,0.17588433150000002
AFR,mfh,copper,2085,0.17588433150000002
AFR,mfh,copper,2090,0.17588433150000002
AFR,mfh,copper,2095,0.17588433150000002
AFR,mfh,copper,2100,0.17588433150000002
AFR,mfh,glass,2015,5.481168385
AFR,mfh,glass,2020,5.481168385
AFR,mfh,glass,2025,5.481168385
AFR,mfh,glass,2030,5.481168385
AFR,mfh,glass,2035,5.481168385
AFR,mfh,glass,2040,5.481168385
AFR,mfh,glass,2045,5.481168385
AFR,mfh,glass,2050,5.481168385
AFR,mfh,glass,2055,5.481168385
AFR,mfh,glass,2060,5.481168385
AFR,mfh,glass,2065,5.481168385
AFR,mfh,glass,2070,5.481168385
AFR,mfh,glass,2075,5.481168385
AFR,mfh,glass,2080,5.481168385
AFR,mfh,glass,2085,5.481168385
AFR,mfh,glass,2090,5.481168385
AFR,mfh,glass,2095,5.481168385
AFR,mfh,glass,2100,5.481168385
AFR,mfh,steel,2015,87.188320535
AFR,mfh,steel,2020,87.188320535
AFR,mfh,steel,2025,87.188320535
AFR,mfh,steel,2030,87.188320535
AFR,mfh,steel,2035,87.188320535
AFR,mfh,steel,2040,87.188320535
AFR,mfh,steel,2045,87.188320535
AFR,mfh,steel,2050,87.188320535
AFR,mfh,steel,2055,87.188320535
AFR,mfh,steel,2060,87.188320535
AFR,mfh,steel,2065,87.188320535
AFR,mfh,steel,2070,87.188320535
AFR,mfh,steel,2075,87.188320535
AFR,mfh,steel,2080,87.188320535
AFR,mfh,steel,2085,87.188320535
AFR,mfh,steel,2090,87.188320535
AFR,mfh,steel,2095,87.188320535
AFR,mfh,steel,2100,87.188320535
AFR,mfh,wood,2015,46.27820136
AFR,mfh,wood,2020,46.27820136
AFR,mfh,wood,2025,46.27820136
AFR,mfh,wood,2030,46.27820136
AFR,mfh,wood,2035,46.27820136
AFR,mfh,wood,2040,46.27820136
AFR,mfh,wood,2045,46.27820136
AFR,mfh,wood,2050,46.27820136
AFR,mfh,wood,2055,46.27820136
AFR,mfh,wood,2060,46.27820136
AFR,mfh,wood,2065,46.27820136
AFR,mfh,wood,2070,46.27820136
AFR,mfh,wood,2075,46.27820136
AFR,mfh,wood,2080,46.27820136
AFR,mfh,wood,2085,46.27820136
AFR,mfh,wood,2090,46.27820136
AFR,mfh,wood,2095,46.27820136
AFR,mfh,wood,2100,46.27820136
AFR,sfh,aluminum,2015,2.606161014
AFR,sfh,aluminum,2020,2.606161014
AFR,sfh,aluminum,2025,2.606161014
AFR,sfh,aluminum,2030,2.606161014
AFR,sfh,aluminum,2035,2.606161014
AFR,sfh,aluminum,2040,2.606161014
AFR,sfh,aluminum,2045,2.606161014
AFR,sfh,aluminum,2050,2.606161014
AFR,sfh,aluminum,2055,2.606161014
AFR,sfh,aluminum,2060,2.606161014
AFR,sfh,aluminum,2065,2.606161014
AFR,sfh,aluminum,2070,2.606161014
AFR,sfh,aluminum,2075,2.606161014
AFR,sfh,aluminum,2080,2.606161014
AFR,sfh,aluminum,2085,2.606161014
AFR,sfh,aluminum,2090,2.606161014
AFR,sfh,aluminum,2095,2.606161014
AFR,sfh,aluminum,2100,2.606161014
AFR,sfh,concrete,2015,855.6631412
AFR,sfh,concrete,2020,855.6631412
AFR,sfh,concrete,2025,855.6631412
AFR,sfh,concrete,2030,855.6631412
AFR,sfh,concrete,2035,855.6631412
AFR,sfh,concrete,2040,855.6631412
AFR,sfh,concrete,2045,855.6631412
AFR,sfh,concrete,2050,855.6631412
AFR,sfh,concrete,2055,855.6631412
AFR,sfh,concrete,2060,855.6631412
AFR,sfh,concrete,2065,855.6631412
AFR,sfh,concrete,2070,855.6631412
AFR,sfh,concrete,2075,855.6631412
AFR,sfh,concrete,2080,855.6631412
AFR,sfh,concrete,2085,855.6631412
AFR,sfh,concrete,2090,855.6631412
AFR,sfh,concrete,2095,855.6631412
AFR,sfh,concrete,2100,855.6631412
AFR,sfh,copper,2015,1.355200154
AFR,sfh,copper,2020,1.355200154
AFR,sfh,copper,2025,1.355200154
AFR,sfh,copper,2030,1.355200154
AFR,sfh,copper,2035,1.355200154
AFR,sfh,copper,2040,1.355200154
AFR,sfh,copper,2045,1.355200154
